Time (s),X (km),Y (km),Z (km)
0.100000,-19947.068703,11684.247031,43511.237139
160.300000,-20074.912519,11401.426497,43541.421327
639.700000,-20447.199816,10549.361617,43609.519362
1433.100000,-21028.872650,9121.811577,43648.992644
2532.600000,-21761.896158,7112.560149,43552.554167
3926.700000,-22564.257918,4524.617801,43176.791076
5601.100000,-23329.841746,1378.344257,42347.588087
7538.800000,-23926.881559,-2277.345874,40865.175184
9719.800000,-24194.757773,-6350.198688,38508.722870
12121.700000,-23938.150990,-10685.775083,35039.072583
14719.900000,-22915.326767,-15034.922036,30200.567903
17487.700000,-20816.391076,-18990.937249,23726.163918
20396.700000,-17224.389869,-21852.069561,15364.014955
23417.100000,-11562.838027,-22279.892428,5021.936721
26517.900000,-3221.295856,-17445.633495,-6415.991324
29667.200000,6278.577496,-3116.809096,-13304.707540
32832.800000,9815.982428,14226.474759,-7514.242483
35982.100000,7504.807719,24299.721912,3595.100014
39082.900000,3293.086433,28577.297894,14043.116103
42103.300000,-1246.237193,29443.441208,22698.300347
45012.300000,-5556.303002,28267.914637,29525.983114
47780.100000,-9417.267129,25867.059056,34704.264402
50378.300000,-12743.955843,22774.872998,38453.782108
52780.200000,-15517.081269,19366.591525,41001.272323
54961.200000,-17755.345995,15917.238043,42571.373016
56898.900000,-19501.522590,12632.110188,43382.828043
58573.300000,-20813.754896,9663.844240,43645.001438
59967.400000,-21758.760291,7122.545541,43552.868527
61066.900000,-22404.598990,5084.808888,43280.466524
61860.300000,-22813.853291,3600.984428,42973.851338
62339.700000,-23037.346031,2700.439241,42743.616109
62500.000000,-23108.001062,2398.804194,42659.043228
62500.000000,-23108.001062,2398.804194,42659.043228
62660.300000,-23176.591198,2096.954809,42570.658201
63139.700000,-23369.261002,1193.214136,42283.521234
63933.100000,-23646.267087,-304.237881,41732.822847
65032.600000,-23940.853717,-2377.511685,40812.592113
66426.700000,-24157.587540,-4989.412599,39379.420542
68101.100000,-24169.955385,-8073.138708,37255.369936
70038.800000,-23815.256214,-11515.147425,34230.834342
72219.800000,-22885.404912,-15127.168773,30067.702954
74621.700000,-21109.972206,-18598.190069,24502.688755
77219.900000,-18125.439094,-21394.246634,17262.527972
79987.700000,-13426.908373,-22524.424636,8141.177627
82896.700000,-6366.591889,-19948.778830,-2590.710278
85917.100000,2965.530592,-9673.187230,-11992.652830
89017.900000,9398.349435,8041.754145,-11069.002042
92167.200000,8817.256133,21147.713939,-910.604740
95332.800000,5015.015386,27434.204552,10212.040654
98482.100000,0.000000,0.000000,0.000000
101582.900000,0.000000,0.000000,0.000000
104603.300000,-8578.178218,26490.044354,33664.394078
107512.300000,-12365.260947,23173.339593,38071.160558
110280.100000,-15579.396489,19275.421807,41056.908557
112878.300000,-18205.263952,15125.394059,42823.647684
115280.200000,-20261.512414,10976.348080,43580.747302
117461.200000,-21792.407774,7023.926631,43542.996620
119398.900000,-22862.044075,3416.733286,42927.588411
121073.300000,-23549.204140,262.685574,41949.428516
122467.400000,-23941.611428,-2366.559177,40814.024035
123566.900000,-24128.570580,-4428.928181,39709.078998
124360.300000,-24192.792619,-5904.676692,38795.049935
124839.700000,-24201.725662,-6789.315025,38194.695849
125000.000000,-24199.567498,-7083.714986,37985.802434
125000.000000,-24199.567498,-7083.714986,37985.802434
125160.300000,-24194.794224,-7377.349404,37772.803881
125639.700000,-24164.688375,-8250.548576,37111.175086
126433.100000,-24061.343324,-9676.962673,35934.298852
127532.600000,-23802.717351,-11606.287948,34131.698262
128926.700000,-23268.810541,-13950.205954,31552.049898
130601.100000,-22294.255902,-16562.043954,28004.210250
132538.800000,-20654.907815,-19197.834916,23260.552635
134719.800000,-18044.639762,-21439.287668,17069.471303
137121.700000,-14037.148163,-22526.312463,9204.300567
139719.900000,-8060.801054,-20950.104456,-297.785677
142487.700000,233.124298,-13631.919049,-9910.116093
145396.700000,8067.751387,1978.976392,-12927.437772
148417.100000,9634.271657,17150.402230,-5130.404819
151517.900000,6709.155393,25586.120615,5938.102493
154667.200000,2257.094220,29017.764459,16226.020916
157832.800000,-2512.868442,29269.712591,24860.893666
160982.100000,-7101.642639,27447.681712,31728.481605
164082.900000,-11270.744370,24257.812088,36898.161833
167103.300000,-14895.966985,20195.230842,40494.789794
170012.300000,-17915.207611,15633.758768,42668.962002
172780.100000,-20307.230711,10869.468810,43589.399358
175378.300000,-22082.269636,6142.265600,43441.511431
177780.200000,-23277.660134,1646.080361,42426.719399
179961.200000,-23955.296137,-2467.195212,40760.687073
181898.900000,-24199.068485,-6086.244343,38669.799478
183573.300000,-24111.391388,-9139.873431,36385.317935
184967.400000,-23807.565743,-11596.037573,34134.063124
186066.900000,-23407.435673,-13455.985314,32127.700775
186860.300000,-23024.489279,-14744.650635,30550.110976
187339.700000,-22752.750300,-15497.800793,29543.102091
187500.000000,-22654.878495,-15744.925338,29197.237167
187500.000000,-22654.878495,-15744.925338,29197.237167
187660.300000,-22553.427026,-15989.561919,28846.758544
188139.700000,-22228.243634,-16705.535353,27770.888993
188933.100000,-21615.759885,-17833.859679,25898.019011
190032.600000,-20604.178335,-19261.317067,23108.818742
191426.700000,-19024.269382,-20789.155404,19241.741567
193101.100000,-16631.285010,-22073.219132,14102.692695
195038.800000,-13077.693906,-22493.458859,7507.665316
197219.800000,-7898.584304,-20857.208086,-536.216213
199621.700000,-738.853234,-14816.531004,-9021.217249
202219.900000,6845.138736,-1684.656092,-13311.695380
204987.700000,9835.696763,13521.260555,-8006.308982
