Time (s),Error (km)
0.0,0.0
160.3336440032764,0.014515579516164416
639.6893358595473,0.05647723461716633
1433.1482374984744,0.12199669262634372
2532.568386867794,0.20770216684277718
3926.6682454818097,0.31574920342183804
5601.142462272616,0.45957530959818166
7538.8086658502825,0.6651643087063056
9719.783778884792,0.9623218067531629
12121.688045385534,1.3661469942665343
14719.874677282425,1.8380945639594704
17487.682763823923,2.53405042595642
20396.710848599367,18.82011906609759
23417.108366914985,139.55830458711927
26517.881952981978,389.1053253183611
29667.21347379022,600.6962073792974
32832.78652620977,758.7831664555646
35982.11804701802,869.378871537157
39082.89163308501,939.6037406928571
42103.28915140063,975.9074318846858
45012.31723617607,984.4197506111221
47780.125322717584,971.3983972745006
50378.31195461445,943.5394327454771
52780.216221115195,908.071198736306
54961.19133414971,872.4818048596497
56898.85753772739,843.6798732368187
58573.33175451819,826.5679646414733
59967.431613132205,822.5551734524369
61066.85176250152,829.0333477418745
61860.31066414045,840.4550395491451
62339.66635599672,850.5329585105973
62500.0,854.4816461163472
62500.0,854.4816461163472
62660.33364400328,858.7319510502585
63139.68933585955,873.3076132678478
63933.14823749848,903.9818254722023
65032.568386867795,961.2267577499633
66426.66824548181,1061.0352634873761
68101.14246227262,1225.6448767378456
70038.80866585029,1485.191209710626
72219.7837788848,1882.1956586026731
74621.68804538553,2469.2901755974376
77219.87467728242,3163.5400368878786
79987.68276382392,3176.265025048176
82896.71084859937,2354.463990516176
85917.10836691498,1590.890812276618
89017.88195298197,1094.7159041805699
92167.21347379022,834.676907862664
95332.78652620976,751.9588837851189
98482.11804701801,761.8949119668139
101582.891633085,799.9491788109731
104603.28915140063,843.4661573138334
107512.31723617608,897.627354378703
110280.12532271759,979.9511470283114
112878.31195461444,1107.64998175798
115280.2162211152,1288.2563987273566
117461.19133414971,1517.2813183193682
119398.8575377274,1781.4385638294082
121073.33175451819,2062.351864691478
122467.43161313221,2338.67549651102
123566.85176250152,2587.4562544920436
124360.31066414044,2785.931097234278
124839.66635599671,2914.2408006539467
125000.0,2958.6527914532776
125000.0,2958.6527914532776
125160.33364400327,3003.839386777986
125639.68933585954,3143.7146686766723
126433.14823749848,3392.0039600028076
127532.56838686779,3774.5007740057845
128926.66824548181,4334.4807391152735
130601.14246227262,5140.480492174223
132538.8086658503,6275.965880873722
134719.7837788848,7628.514380162537
137121.68804538553,8060.387346679287
139719.87467728244,6704.836918579052
142487.68276382392,5033.53011491749
145396.71084859938,3708.7779705958274
148417.108366915,2689.718013397263
151517.881952982,1876.4048801420772
154667.2134737902,1203.822403283391
157832.78652620976,665.3382640738313
160982.118047018,492.1805888244202
164082.891633085,882.0740801065347
