Time (s),Error (km)
0.0,0.0
160.3336440032764,0.25523962302865466
639.6893358595473,3.985420621452233
1433.1482374984744,20.09460003118815
2532.568386867794,75.7156571495739
3926.6682454818097,228.15271964607086
5601.142462272616,501.48022852477516
7538.8086658502825,959.2418848158769
9719.783778884792,1833.4489953820691
12121.688045385534,4721.054214104221
14719.874677282425,7998.2400977821935
17487.682763823923,32819.31628801415
20396.710848599367,25968.053730953943
23417.108366914985,41464.20818453484
26517.881952981978,28286.07938805685
29667.21347379022,38180.45795679354
32832.78652620977,16373.485376710458
35982.11804701802,13997.591995853687
39082.89163308501,1123231.424521144
42103.28915140063,2414097.1050968417
45012.31723617607,3681861.3073469377
47780.125322717584,4865693.7934959065
50378.31195461445,5993828.310887032
52780.216221115195,7030791.826829388
54961.19133414971,7962917.652212602
56898.85753772739,8811046.934736488
58573.33175451819,9532519.223938845
59967.431613132205,10124758.062022535
61066.85176250152,10598212.246479904
61860.31066414045,10944997.593575882
62339.66635599672,11155412.205071531
62500.0,11225755.4707655
62500.0,11225755.4707655
62660.33364400328,11296027.025281867
63139.68933585955,11505412.700772872
63933.14823749848,11848576.793523282
65032.568386867795,12317189.49914363
66426.66824548181,12910936.08480273
68101.14246227262,13639966.303354312
70038.80866585029,14483452.493920675
72219.7837788848,15411754.244069245
74621.68804538553,16457670.919972574
77219.87467728242,17575956.925955113
79987.68276382392,18768701.894260455
82896.71084859937,20028503.697704338
85917.10836691498,21327015.2974276
89017.88195298197,22669591.608258903
92167.21347379022,24026037.523202647
95332.78652620976,25392831.818996377
98482.11804701801,26753549.35875242
101582.891633085,28088590.11913075
104603.28915140063,29395994.596011154
107512.31723617608,30648303.568762492
110280.12532271759,31843405.7998905
112878.31195461444,32968902.27912986
115280.2162211152,33995392.10905633
117461.19133414971,34949633.74451705
119398.8575377274,35779503.02243029
121073.33175451819,36495069.21574499
122467.43161313221,37104170.94696709
123566.85176250152,37584934.54244783
124360.31066414044,37927137.44517556
124839.66635599671,38131728.21213377
125000.0,38199896.15797605
125000.0,38199896.15797605
125160.33364400327,38267977.0352375
125639.68933585954,38471317.53509793
126433.14823749848,38809108.96663692
127532.56838686779,39283964.54468807
128926.66824548181,39894905.56472191
130601.14246227262,40619685.06039808
132538.8086658503,41443898.57083479
134719.7837788848,42393472.929113746
137121.68804538553,43430874.045278296
139719.87467728244,44544368.32786218
142487.68276382392,45750336.833542764
145396.71084859938,46992940.303227164
148417.108366915,48309659.19610065
151517.881952982,49635003.57391121
154667.2134737902,51006238.74456939
157832.78652620976,52361664.5925206
160982.118047018,53730093.84865863
164082.891633085,55060386.574703105
167103.28915140062,56371264.81012679
170012.31723617608,57618790.24848846
172780.1253227176,58823210.641147174
175378.31195461444,59931967.28113858
177780.2162211152,60982121.204005845
179961.1913341497,61914652.63714127
181898.8575377274,62747824.88423633
183573.3317545182,63481436.80220736
184967.4316131322,64082302.03245538
186066.85176250152,64549161.66095679
186860.31066414044,64887587.754541926
187339.6663559967,65094086.82710208
187500.0,65163551.647837505
187500.0,65163551.647837505
187660.3336440033,65233206.97987344
188139.68933585956,65442443.169488445
188933.14823749848,65790545.07608763
190032.5683868678,66270389.00064554
191426.66824548182,66867210.20320146
193101.1424622726,67580600.76138544
195038.8086658503,68426176.85185272
197219.7837788848,69368965.45031022
199621.68804538553,70395170.8918082
202219.87467728244,71530275.10293403
204987.68276382392,72710834.31648919
207896.71084859938,73979669.03090817
210917.108366915,75270094.36353578
214017.881952982,76621679.91489917
217167.2134737902,77967017.67031367
220332.78652620976,79347405.61299449
223482.118047018,80692332.55837284
226582.891633085,82044645.04526377
229603.28915140062,83334213.71123727
232512.31723617608,84603769.27633357
235280.1253227176,85784100.52150095
237878.31195461444,86918514.3206703
240280.2162211152,87946599.54834814
242461.1913341497,88886896.04493046
244398.8575377274,89733764.5829364
246073.3317545182,90448466.60820276
247467.4316131322,91043794.21709923
248566.85176250152,91522488.2958975
249360.31066414044,91870679.58285722
249839.6663559967,92080366.2017725
250000.0,92150221.14736556
250000.0,92150221.14736556
250160.3336440033,92219901.8522593
250639.68933585956,92427082.73658006
251433.14823749848,92766386.17397158
252532.5683868678,93233108.3845723
253926.66824548182,93832167.73388374
255601.1424622726,94565467.8769289
257538.8086658503,95400944.58602871
259719.7837788848,96331783.79750495
262121.68804538553,97381896.06040962
264719.8746772824,98492068.50763017
267487.68276382395,99694365.45513837
270396.7108485994,100944310.14949976
273417.10836691497,102252705.0941541
276517.881952982,103585416.09201467
279667.2134737902,104951592.05773616
282832.7865262098,106309004.64832364
285982.118047018,107678549.46124902
289082.89163308503,109005318.98310682
292103.2891514006,110320726.8544963
295012.31723617605,111564761.65026547
297780.1253227176,112768917.9639134
300378.3119546145,113884778.08297509
302780.2162211152,114919573.01282483
304961.1913341497,115870884.86087915
306898.8575377274,116695600.51388657
308573.3317545182,117418288.79845513
309967.4316131322,118029453.8044582
311066.8517625015,118505780.5239308
311860.31066414044,118844320.52358855
312339.66635599674,119047705.7409149
312500.0,119115724.29093304
312500.0,119115724.29093304
312660.33364400326,119183793.23653494
313139.68933585956,119387902.41997267
313933.1482374985,119729005.58311585
315032.5683868678,120208806.62986834
316426.6682454818,120818882.92127489
318101.1424622726,121536197.81540313
320038.80866585026,122364199.70258589
322219.7837788848,123318254.5361817
324621.6880453855,124346679.71223843
327219.8746772824,125469557.38179931
329987.68276382395,126667353.67191054
332896.7108485994,127917059.94283608
335917.10836691497,129227022.76599227
339017.881952982,130559463.75911082
342167.2134737902,131922861.33629103
345332.7865262098,133286926.40900286
348482.118047018,134646093.84248397
351582.89163308503,135985991.95211908
354603.2891514006,137287151.5695519
357512.31723617605,138544278.090094
360280.1253227176,139739740.7820751
362878.3119546145,140855475.6625324
365280.2162211152,141903098.6308854
367461.1913341497,142831480.42997324
369398.8575377274,143672998.37036365
371073.3317545182,144403592.7053008
372467.4316131322,144998512.9258077
373566.8517625015,145466251.21811974
374360.31066414044,145808313.2504584
374839.66635599674,146017189.59394482
375000.0,146087346.77283257
375000.0,146087346.77283257
375160.33364400326,146157609.01292512
375639.68933585956,146367995.1215952
376433.1482374985,146715402.04605034
377532.5683868678,147190346.63189965
378926.6682454818,147783016.809764
380601.1424622726,148502424.42601305
382538.80866585026,149350794.26676813
384719.7837788848,150284867.45307648
387121.6880453855,151319237.14777523
389719.8746772824,152449561.69702604
392487.68276382395,153631805.93793237
395396.7108485994,154900729.9006969
398417.10836691497,156190564.4734598
401517.881952982,157542255.15963957
404667.2134737902,158888637.81306335
407832.7865262098,160266529.63425413
410982.118047018,161615358.21634293
414082.89163308503,162962735.96178994
417103.2891514006,164257661.70793167
420012.31723617605,165522294.65521812
422780.1253227176,166705889.1455405
425378.3119546145,167840342.67858434
427780.2162211152,168863600.06377083
429961.1913341497,169812530.96864983
431898.8575377274,170653084.74483898
433573.3317545182,171364798.61142382
434967.4316131322,171966248.4588049
436066.8517625015,172448168.2109291
436860.31066414044,172795019.8529441
437339.66635599674,173002648.5765074
437500.0,173071703.5143551
437500.0,173071703.5143551
437660.33364400326,173140563.62436816
438139.68933585956,173345391.3352525
438933.1482374985,173682314.92554417
440032.5683868678,174150855.98294717
441426.6682454818,174756479.12124467
443101.1424622726,175488969.7568554
445038.80866585026,176316797.29813603
447219.7837788848,177255161.0425954
449621.6880453855,178303028.62297258
452219.8746772824,179410394.33997667
454987.68276382395,180618533.14768758
457896.7108485994,181861255.70420274
460917.10836691497,183177215.21276164
464017.881952982,184502692.11993137
467167.2134737902,185875262.8206382
470332.7865262098,187227481.3677729
473482.118047018,188600913.98409137
476582.89163308503,189924873.52459776
479603.2891514006,191242625.2772906
482512.31723617605,192483836.29806787
485280.1253227176,193692449.38944307
487878.3119546145,194801272.83030322
490280.2162211152,195845242.75920442
492461.1913341497,196788832.39299685
494398.8575377274,197613894.849626
496073.3317545182,198343698.967116
497467.4316131322,198952390.65022117
498566.8517625015,199423401.77367818
499360.31066414044,199760128.21130857
499839.66635599674,199963977.83785966
500000.0,200032410.59208757
500000.0,200032410.59208757
500160.33364400326,200101007.1238133
500639.68933585956,200307210.82536498
501433.1482374985,200652270.1312789
502532.5683868678,201134468.05578604
503926.6682454818,201739676.65887243
505601.1424622726,202452063.14356178
507538.80866585026,203287807.49465188
509719.7837788848,204240233.98766807
512121.6880453855,205263578.3902895
514719.8746772824,206395093.74628335
517487.68276382395,207583152.38232005
520396.7108485994,208842721.36526683
523417.10836691497,210142851.58594745
526517.8819529819,211485156.12607265
529667.2134737902,212838696.48540318
532832.7865262098,214212417.3724409
535982.1180470181,215562328.7080992
539082.891633085,216911032.4907479
542103.2891514007,218203608.75211677
545012.3172361761,219469544.49878612
547780.1253227176,220655599.42565262
550378.3119546145,221780989.01993564
552780.2162211152,222820822.23708847
554961.1913341497,223751201.45552945
556898.8575377273,224598543.93172508
558573.3317545182,225322347.56757176
559967.4316131322,225914527.29130957
561066.8517625015,226386375.17619398
561860.3106641405,226732258.93567947
562339.6663559967,226942554.75043094
562500.0,227012942.6738386
562500.0,227012942.6738386
562660.3336440033,227083299.8951229
563139.6893358595,227293156.355035
563933.1482374985,227637508.1951641
565032.5683868678,228107327.30661175
566426.6682454818,228700137.97147608
568101.1424622727,229427128.72675976
570038.8086658503,230272505.59788314
572219.7837788848,231201282.82465473
574621.6880453855,232244890.693435
577219.8746772824,233366131.0173169
579987.6827638239,234555936.15715998
582896.7108485993,235818519.6810067
585917.108366915,237114311.36885533
589017.8819529819,238459668.6182894
592167.2134737902,239813214.50347388
595332.7865262098,241183008.95406908
598482.1180470181,242540692.0299614
601582.891633085,243878750.87328443
604603.2891514007,245183156.09155938
607512.3172361761,246438480.840568
610280.1253227176,247630572.72792754
612878.3119546145,248758790.30422387
615280.2162211152,249783593.3070576
617461.1913341497,250737484.86133137
619398.8575377273,251569672.16217193
621073.3317545182,252283633.66711375
622467.4316131322,252891312.6251678
623566.8517625015,253372894.0148156
624360.3106641405,253716311.77921388
624839.6663559967,253921524.17996413
625000.0,253989844.0974019
625000.0,253989844.0974019
625160.3336440033,254058041.0079444
625639.6893358595,254261486.87082347
626433.1482374985,254598666.9779463
627532.5683868678,255071876.26356104
628926.6682454818,255682164.9714607
630601.1424622727,256409162.52203283
