Time (s),Error (km)
0.0,0.0
160.3336440032764,0.25744428040364914
639.6893358595473,5.471031911999953
1433.1482374984744,49.791960525122356
2532.568386867794,293.7788427655317
3926.6682454818097,1384.4821227344626
5601.142462272616,1412.836193634836
7538.8086658502825,11376.823982851456
9719.783778884792,154440.8372252212
12121.688045385534,503423.3436300034
14719.874677282425,853367.019412509
17487.682763823923,1253137.936417094
20396.710848599367,1649437.7832490047
23417.108366914985,2082721.5513212697
26517.881952981978,2505855.3772644885
29667.21347379022,2958635.3873207667
32832.78652620977,3388823.0704415357
35982.11804701802,3843398.1862303363
39082.89163308501,4263366.17528097
42103.28915140063,4700395.171892337
45012.31723617607,5093528.857888532
47780.125322717584,5494323.51004561
50378.31195461445,5847276.634467714
52780.216221115195,6188081.683492779
54961.19133414971,6498565.490223718
56898.85753772739,6757859.38899961
58573.33175451819,6997311.7906027995
59967.431613132205,7200780.043438867
61066.85176250152,7352865.11690103
61860.31066414045,7458523.629537696
62339.66635599672,7522263.278980961
62500.0,7543757.672017516
62500.0,7543757.672017516
62660.33364400328,7565385.997244451
63139.68933585955,7631049.494265785
63933.14823749848,7743505.786430554
65032.568386867795,7904719.338945127
66426.66824548181,8105341.980876995
68101.14246227262,8330584.8095474765
70038.80866585029,8598594.90277884
72219.7837788848,8916287.67001069
74621.68804538553,9240263.501294777
77219.87467728242,9611734.045319477
79987.68276382392,9995755.609543346
82896.71084859937,10403865.781284805
85917.10836691498,10826518.207770942
89017.88195298197,11261451.72702933
92167.21347379022,11699797.775161525
95332.78652620976,12147526.994501209
98482.11804701801,12581824.467497243
101582.891633085,13023899.515599502
104603.28915140063,13438123.17323798
107512.31723617608,13853336.220392222
110280.12532271759,14235120.712601574
112878.31195461444,14599760.801669696
115280.2162211152,14942139.988570413
117461.19133414971,15235249.21806773
119398.8575377274,15516173.402322842
121073.33175451819,15754166.256671865
122467.43161313221,15940239.88670972
123566.85176250152,16089933.838131383
124360.31066414044,16203304.448049532
124839.66635599671,16273517.487025421
125000.0,16297140.784233674
125000.0,16297140.784233674
125160.33364400327,16320780.170441745
125639.68933585954,16391223.690991601
126433.14823749848,16505399.327903308
127532.56838686779,16656151.14392399
128926.66824548181,16841897.91809721
130601.14246227262,17078219.668419655
