Time (s),Error (km)
0.100000,0.744570
0.100000,0.744570
0.100000,0.744570
0.100000,0.744570
0.100000,0.744570
0.100000,0.744570
0.100000,0.744570
0.100000,0.744570
0.100000,0.744570
0.100000,0.744570
0.100000,0.744570
0.100000,0.744570
0.100000,0.744570
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.200000,1.489140
0.300000,2.233710
0.300000,2.233710
0.300000,2.233710
0.300000,2.233710
0.300000,2.233710
0.300000,2.233710
0.300000,2.233710
0.300000,2.233710
0.300000,2.233710
0.300000,2.233710
0.400000,2.978281
0.400000,2.978281
0.400000,2.978281
0.400000,2.978281
0.400000,2.978281
0.400000,2.978281
0.400000,2.978281
0.400000,2.978281
0.500000,3.722851
0.500000,3.722851
0.500000,3.722851
0.500000,3.722851
0.500000,3.722851
0.500000,3.722851
0.500000,3.722851
0.600000,4.467422
0.600000,4.467422
0.600000,4.467422
0.600000,4.467422
0.600000,4.467422
0.700000,5.211993
0.700000,5.211993
0.700000,5.211993
0.700000,5.211993
0.800000,5.956564
0.800000,5.956564
0.800000,5.956564
0.800000,5.956564
0.900000,6.701135
0.900000,6.701135
0.900000,6.701135
0.900000,6.701135
1.000000,7.445706
1.000000,0.000018
1.000000,0.000018
1.100000,0.744554
1.100000,0.744554
1.100000,0.744554
1.200000,1.489125
1.200000,1.489125
1.200000,1.489125
1.300000,2.233697
1.300000,2.233697
1.400000,2.978269
1.400000,2.978269
1.500000,3.722841
1.500000,3.722841
1.600000,4.467413
1.600000,4.467413
1.700000,5.211986
1.700000,5.211986
1.800000,5.956558
1.800000,5.956558
1.900000,6.701131
1.900000,6.701131
2.000000,0.000037
2.100000,0.744537
2.100000,0.744537
2.200000,1.489110
2.300000,2.233684
2.300000,2.233684
2.400000,2.978257
2.500000,3.722830
2.600000,4.467404
2.700000,5.211978
2.700000,5.211978
2.800000,5.956552
2.900000,6.701126
3.000000,0.000056
3.100000,0.744521
3.200000,1.489095
3.300000,2.233670
3.400000,2.978245
3.500000,3.722820
3.600000,4.467395
3.800000,5.956546
3.900000,6.701121
4.000000,0.000075
4.100000,0.744504
4.300000,2.233656
4.400000,2.978233
4.500000,3.722809
4.700000,5.211963
4.800000,5.956540
5.000000,7.445694
5.200000,1.489066
5.300000,2.233644
5.500000,3.722800
5.700000,5.211956
5.800000,5.956534
6.000000,0.000112
6.200000,1.489050
6.400000,2.978209
6.600000,4.467368
6.800000,5.956528
7.100000,0.744455
7.300000,2.233616
7.500000,3.722778
7.800000,5.956522
8.000000,0.000149
8.300000,2.233603
8.500000,3.722768
8.800000,5.956516
9.100000,0.744422
9.400000,2.978173
9.700000,5.211926
10.000000,0.000186
10.300000,2.233576
10.700000,5.211918
11.000000,7.445676
11.300000,2.233563
11.700000,5.211911
12.100000,0.744373
12.500000,3.722726
12.900000,6.701081
13.300000,2.233536
13.700000,5.211896
14.100000,0.744340
14.600000,4.467296
15.100000,0.744324
15.600000,4.467287
16.100000,0.744308
16.600000,4.467279
17.100000,0.744290
17.600000,4.467269
18.200000,1.488871
18.800000,5.956455
19.400000,2.978053
20.000000,0.000372
20.700000,5.211843
21.300000,2.233428
22.000000,0.000410
22.700000,5.211827
23.400000,2.978005
24.200000,1.488781
25.000000,7.445632
25.800000,5.956411
26.600000,4.467187
27.400000,2.977956
28.300000,2.233333
29.200000,1.488706
30.200000,1.488691
31.100000,0.744059
32.100000,0.744043
33.200000,1.488646
34.200000,1.488630
35.300000,2.233237
36.400000,2.977846
37.600000,4.467084
38.800000,5.956328
40.100000,0.743910
41.300000,2.233154
42.700000,5.211670
44.000000,0.000820
45.500000,3.722374
46.900000,6.700917
48.400000,2.977702
50.000000,7.445544
51.600000,4.466954
53.200000,1.488345
54.900000,6.700876
56.700000,5.211560
58.500000,3.722234
60.400000,2.977554
62.300000,2.232870
64.300000,2.232843
66.400000,2.977482
68.500000,3.722126
70.700000,5.211448
72.900000,6.700782
75.300000,2.232694
77.700000,5.211392
80.200000,1.487941
82.800000,5.956040
85.400000,2.977251
88.100000,0.743126
91.000000,7.445386
93.900000,6.700671
96.900000,6.700654
100.000000,0.001854
103.200000,1.487602
106.500000,3.721718
109.900000,6.700584
113.400000,2.976914
117.100000,0.742664
120.800000,5.955787
124.700000,5.211016
128.700000,5.210985
132.800000,5.955708
137.100000,0.742354
141.500000,3.721352
146.000000,0.002684
150.700000,5.210815
155.500000,3.721211
160.500000,3.721161
165.600000,4.465906
171.000000,7.445068
176.400000,2.976197
182.100000,0.741689
