Time (s),Error (km)
0.0,0.0
160.3336440032764,0.11547749477465287
639.6893358595473,1.908089135127933
1433.1482374984744,10.489144628145036
2532.568386867794,39.43718114576677
3926.6682454818097,133.20541937329133
5601.142462272616,378.3801435102433
7538.8086658502825,784.8650209250899
9719.783778884792,1408.0273464295078
12121.688045385534,3943.7484081278617
14719.874677282425,41268.22973024058
17487.682763823923,79467.03493872241
20396.710848599367,146411.0551254817
23417.108366914985,187267.23832737812
26517.881952981978,257661.1710495658
29667.21347379022,301111.2056141669
32832.78652620977,371616.22174013563
35982.11804701802,416414.1955631043
39082.89163308501,484214.69715348625
42103.28915140063,527469.8647330436
45012.31723617607,592228.2097260087
47780.125322717584,628996.1663939458
50378.31195461445,690055.865876866
52780.216221115195,722067.308569353
54961.19133414971,764491.491106583
56898.85753772739,808122.5768672237
58573.33175451819,828786.2881489699
59967.431613132205,849620.7026423994
61066.85176250152,875142.0406458378
61860.31066414045,895088.8402720512
62339.66635599672,906020.5849960934
62500.0,909349.1545192446
62500.0,909349.1545192446
62660.33364400328,912490.1736810716
63139.68933585955,920721.8560678384
63933.14823749848,931037.2966951595
65032.568386867795,943312.8954518455
66426.66824548181,967674.4147052274
68101.14246227262,1008889.5774898211
70038.80866585029,1041351.3381048131
72219.7837788848,1071483.0317804646
74621.68804538553,1128552.6123586893
77219.87467728242,1163688.3684190242
79987.68276382392,1222254.5517697362
82896.71084859937,1268909.1544593954
85917.10836691498,1328456.8359946043
89017.88195298197,1379362.8492743226
92167.21347379022,1442619.1372018997
95332.78652620976,1492078.0040448208
98482.11804701801,1558206.4384959436
101582.891633085,1604179.37495974
104603.28915140063,1669100.4937157286
107512.31723617608,1712262.0938046991
110280.12532271759,1769241.0914184912
112878.31195461444,1814318.4021107643
115280.2162211152,1852155.7412150363
117461.19133414971,1903693.814050049
119398.8575377274,1929027.0799096432
121073.33175451819,1955569.0547598384
122467.43161313221,1989746.2063248947
123566.85176250152,2014104.1936042765
124360.31066414044,2026438.3435931262
124839.66635599671,2032103.4433766599
125000.0,2033839.8754804265
125000.0,2033839.8754804265
125160.33364400327,2035548.4703294672
125639.68933585954,2040812.9933100184
126433.14823749848,2051725.9623644378
127532.56838686779,2074173.8552849214
128926.66824548181,2108851.7080655615
130601.14246227262,2138402.024124636
132538.8086658503,2162085.7073775674
134719.7837788848,2211848.189328958
137121.68804538553,2253345.1715708706
139719.87467728244,2294639.5384943313
142487.68276382392,2354787.02430283
145396.71084859938,2395301.821365772
148417.108366915,2462598.0042999135
151517.881952982,2506107.120413297
154667.2134737902,2574931.6099733235
157832.78652620976,2621329.2584982705
160982.118047018,2687900.802499918
164082.891633085,2735264.1606352115
