Time (s),Error (km)
0.100000,0.307571
0.100000,0.307571
0.100000,0.307571
0.100000,0.307571
0.100000,0.307571
0.100000,0.307571
0.100000,0.307571
0.100000,0.307571
0.100000,0.307571
0.100000,0.307571
0.100000,0.307571
0.100000,0.307571
0.100000,0.307571
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.200000,0.615141
0.300000,0.922712
0.300000,0.922712
0.300000,0.922712
0.300000,0.922712
0.300000,0.922712
0.300000,0.922712
0.300000,0.922712
0.300000,0.922712
0.300000,0.922712
0.300000,0.922712
0.400000,1.230283
0.400000,1.230283
0.400000,1.230283
0.400000,1.230283
0.400000,1.230283
0.400000,1.230283
0.400000,1.230283
0.400000,1.230283
0.500000,1.537853
0.500000,1.537853
0.500000,1.537853
0.500000,1.537853
0.500000,1.537853
0.500000,1.537853
0.500000,1.537853
0.600000,1.845424
0.600000,1.845424
0.600000,1.845424
0.600000,1.845424
0.600000,1.845424
0.700000,2.152995
0.700000,2.152995
0.700000,2.152995
0.700000,2.152995
0.800000,2.460566
0.800000,2.460566
0.800000,2.460566
0.800000,2.460566
0.900000,2.768136
0.900000,2.768136
0.900000,2.768136
0.900000,2.768136
1.000000,3.075707
1.000000,0.000054
1.000000,0.000054
1.100000,0.307624
1.100000,0.307624
1.100000,0.307624
1.200000,0.615195
1.200000,0.615195
1.200000,0.615195
1.300000,0.922765
1.300000,0.922765
1.400000,1.230336
1.400000,1.230336
1.500000,1.537907
1.500000,1.537907
1.600000,1.845477
1.600000,1.845477
1.700000,2.153048
1.700000,2.153048
1.800000,2.460619
1.800000,2.460619
1.900000,2.768189
1.900000,2.768189
2.000000,0.000107
2.100000,0.307676
2.100000,0.307676
2.200000,0.615247
2.300000,0.922818
2.300000,0.922818
2.400000,1.230389
2.500000,1.537959
2.600000,1.845530
2.700000,2.153101
2.700000,2.153101
2.800000,2.460671
2.900000,2.768242
3.000000,0.000161
3.100000,0.307730
3.200000,0.615301
3.300000,0.922871
3.400000,1.230442
3.500000,1.538013
3.600000,1.845583
3.800000,2.460725
3.900000,2.768295
4.000000,0.000214
4.100000,0.307784
4.300000,0.922925
4.400000,1.230496
4.500000,1.538066
4.700000,2.153208
4.800000,2.460778
5.000000,3.075920
5.200000,0.615407
5.300000,0.922977
5.500000,1.538119
5.700000,2.153260
5.800000,2.460831
6.000000,0.000321
6.200000,0.615460
6.400000,1.230601
6.600000,1.845743
6.800000,2.460884
7.100000,0.307942
7.300000,0.923083
7.500000,1.538225
7.800000,2.460936
8.000000,0.000429
8.300000,0.923137
8.500000,1.538279
8.800000,2.460991
9.100000,0.308048
9.400000,1.230760
9.700000,2.153472
10.000000,0.000535
10.300000,0.923243
10.700000,2.153526
11.000000,3.076238
11.300000,0.923296
11.700000,2.153578
12.100000,0.308208
12.500000,1.538491
12.900000,2.768773
13.300000,0.923402
13.700000,2.153685
14.100000,0.308314
14.600000,1.846167
15.100000,0.308367
15.600000,1.846220
16.100000,0.308420
16.600000,1.846273
17.100000,0.308473
17.600000,1.846326
18.200000,0.616097
18.800000,2.461521
19.400000,1.231291
20.000000,0.001070
20.700000,2.154056
21.300000,0.923827
22.000000,0.001176
22.700000,2.154161
23.400000,1.231503
24.200000,0.616415
25.000000,3.076980
25.800000,2.461892
26.600000,1.846804
27.400000,1.231715
28.300000,0.924198
29.200000,0.616681
30.200000,0.616733
31.100000,0.309216
32.100000,0.309269
33.200000,0.616893
34.200000,0.616945
35.300000,0.924569
36.400000,1.232193
37.600000,1.847387
38.800000,2.462582
40.100000,0.309694
41.300000,0.924887
42.700000,2.155223
44.000000,0.002353
45.500000,1.540241
46.900000,2.770576
48.400000,1.232830
50.000000,3.078305
51.600000,1.848130
53.200000,0.617954
54.900000,2.771000
56.700000,2.155965
58.500000,1.540930
60.400000,1.233466
62.300000,0.926002
64.300000,0.926108
66.400000,1.233785
68.500000,1.541462
70.700000,2.156707
72.900000,2.771955
75.300000,0.926692
77.700000,2.157079
80.200000,0.619386
82.800000,2.464914
85.400000,1.234792
88.100000,0.312241
91.000000,3.080480
93.900000,2.773069
96.900000,2.773227
100.000000,0.005347
103.200000,0.620607
106.500000,1.543477
109.900000,2.773917
113.400000,1.236278
117.100000,0.313780
120.800000,2.466930
124.700000,2.159571
128.700000,2.159783
132.800000,2.467565
137.100000,0.314841
141.500000,1.545333
146.000000,0.007807
150.700000,2.160950
155.500000,1.546075
160.500000,1.546340
165.600000,1.854176
171.000000,3.084719
176.400000,1.239619
182.100000,0.317229
187.900000,2.778051
193.900000,2.778369
200.200000,0.625752
206.600000,1.856348
213.200000,0.626442
220.000000,0.011764
227.100000,0.319617
234.300000,0.935125
241.900000,2.780912
249.600000,1.858628
257.600000,1.859052
265.900000,2.782184
274.400000,1.244814
283.200000,0.630153
292.200000,0.630632
301.600000,1.861384
311.300000,0.939206
321.300000,0.939736
331.500000,1.555404
342.200000,0.633282
353.100000,0.326300
364.500000,1.557152
376.100000,0.327520
388.200000,0.635720
400.600000,1.866628
413.500000,1.559748
426.700000,2.175574
440.400000,1.253611
454.500000,1.561920
469.100000,0.332452
484.100000,0.333247
499.600000,1.871871
515.600000,1.872718
532.100000,0.335792
549.200000,0.644252
566.800000,2.490553
585.000000,3.106641
603.700000,2.184943
623.000000,0.033303
643.000000,0.034372
663.600000,1.880551
684.900000,2.804362
706.800000,2.497959
729.500000,1.576476
752.900000,2.807958
777.000000,3.116794
801.900000,2.810548
827.600000,1.889224
854.100000,0.352860
881.500000,1.584515
909.700000,2.201124
938.900000,2.817786
969.000000,3.126937
1000.000000,0.053444
1032.000000,0.055152
1065.100000,0.364037
1099.200000,0.673364
1134.500000,1.597883
1170.800000,2.522471
1208.300000,0.986675
1247.100000,0.373675
1287.000000,0.068769
1328.300000,0.993012
1370.800000,2.533020
1414.800000,2.535340
1460.100000,0.384949
1506.900000,2.847749
1555.200000,0.697461
1605.000000,0.085742
1656.400000,1.317866
1709.500000,1.628210
1764.300000,1.016016
1820.800000,2.556719
1879.200000,0.714560
1939.400000,1.332773
2001.600000,1.951130
2065.700000,2.262047
2131.900000,2.880622
2200.200000,0.731482
2270.700000,2.272815
2343.500000,1.661557
2418.600000,1.973036
2496.100000,0.439706
2576.100000,0.443929
2658.600000,1.985624
2743.800000,2.605162
2831.700000,2.302226
2922.500000,1.691924
3016.100000,0.467136
3112.800000,2.624462
3212.500000,1.707102
3315.500000,1.712487
3421.700000,2.333064
3531.400000,1.416280
3644.500000,1.729669
3761.300000,1.120849
3881.900000,2.972085
4006.300000,1.133647
4134.600000,2.062693
4267.100000,0.532956
4403.900000,2.999188
4545.000000,0.242140
4690.600000,2.091561
4841.000000,3.329324
4996.100000,0.571183
5156.200000,0.886343
5321.400000,1.509388
5491.900000,3.055396
5667.900000,3.064451
5849.600000,2.151431
6037.000000,0.320971
6230.500000,1.863637
6430.100000,0.646048
6636.200000,0.963114
6848.800000,2.817483
7068.300000,1.292249
7294.800000,2.840204
7528.600000,2.237362
7769.800000,2.864318
8018.800000,2.876923
8275.800000,2.889908
8541.000000,3.518030
8814.700000,2.609736
9097.100000,0.783764
9388.600000,2.331323
9689.500000,2.039293
10000.000000,0.527211
10320.400000,1.763942
10651.200000,1.167833
10992.500000,2.104200
11344.700000,2.735603
11708.300000,1.526444
12083.500000,2.157932
12470.700000,2.790643
12870.300000,1.583570
13282.700000,2.829925
13708.400000,1.930371
14147.700000,2.871373
14601.000000,0.757042
15068.900000,3.528926
15551.800000,3.244592
16050.200000,1.430906
16564.500000,2.371753
17095.300000,1.784533
17643.100000,1.201414
18208.500000,2.447031
18792.000000,4.006578
19394.200000,1.583990
20015.700000,3.140366
20657.100000,1.336023
21319.000000,1.063215
22002.200000,1.697215
22707.200000,1.726872
23434.900000,3.899803
24185.900000,3.930829
24960.900000,3.962469
25760.800000,3.687900
26586.300000,2.188667
27438.200000,1.916138
28317.500000,2.868176
29224.900000,4.130333
30161.400000,2.631541
31128.000000,4.509606
32125.500000,3.011455
33154.900000,4.278031
34217.400000,2.781453
35313.900000,4.357727
36445.500000,3.170476
37613.400000,2.906535
38818.700000,3.872798
40062.700000,3.919398
41346.500000,3.354360
42671.400000,3.099309
44038.800000,4.378632
45450.000000,1.994260
46906.500000,3.575396
48409.600000,3.942523
49960.900000,4.922519
51561.900000,4.988688
53214.200000,2.936263
54919.400000,3.611864
56679.300000,3.386351
58495.600000,4.367635
60370.100000,2.944317
62304.700000,4.827071
64301.200000,3.397099
66361.700000,4.988042
68488.300000,3.855010
70683.000000,3.027270
72948.100000,3.410292
75285.700000,5.335667
77698.200000,3.898267
80188.000000,3.388914
82757.700000,5.658239
85409.600000,5.478429
88146.600000,5.616276
