Time (s),Error (km)
0.0,0.0
160.3336440032764,0.008784964319428717
639.6893358595473,0.034916267664600285
1433.1482374984744,0.07757287808034202
2532.568386867794,6.219571095920577
3926.6682454818097,14.02501843195371
5601.142462272616,23.49451562608845
7538.8086658502825,35.124043126402626
9719.783778884792,49.67252459644626
12121.688045385534,68.28972561464724
14719.874677282425,92.55779814367439
17487.682763823923,124.55722064539236
20396.710848599367,166.88534283646646
23417.108366914985,222.5087215513571
26517.881952981978,294.381290018612
29667.21347379022,384.8805106343249
32832.78652620977,495.21358370911344
35982.11804701802,624.9618238723074
39082.89163308501,771.8812266079644
42103.28915140063,932.0055284798594
45012.31723617607,1100.0292910738851
47780.125322717584,1269.8922870955182
50378.31195461445,1435.4505731389163
52780.216221115195,1591.1104185501033
54961.19133414971,1732.3191190094462
56898.85753772739,1855.8449210154513
58573.33175451819,1959.8254988231163
59967.431613132205,2043.6088079103815
61066.85176250152,2107.4427871883277
61860.31066414045,2152.0871623327107
62339.66635599672,2178.4221123051625
62500.0,2187.1186802306765
62500.0,2187.1186802306765
62660.33364400328,2195.9401942579684
63139.68933585955,2221.927933996828
63933.14823749848,2263.6164115796664
65032.568386867795,2319.8051193121983
66426.66824548181,2385.4777214684264
68101.14246227262,2455.6593059336024
70038.80866585029,2524.278248643243
72219.7837788848,2584.5948767252844
74621.68804538553,2629.8228827904945
77219.87467728242,2653.978099515071
79987.68276382392,2652.8564312636236
82896.71084859937,2624.9817601107407
85917.10836691498,2572.3145898332173
89017.88195298197,2500.5270112286516
92167.21347379022,2418.7097103757565
95332.78652620976,2338.463411915422
98482.11804701801,2272.409016019086
101582.891633085,2232.2408326804357
104603.28915140063,2226.6198831691213
107512.31723617608,2259.465422823539
110280.12532271759,2329.300619810077
112878.31195461444,2429.933074916154
115280.2162211152,2552.092706190128
117461.19133414971,2685.2993629644243
119398.8575377274,2819.3953406885144
121073.33175451819,2945.5310186607835
122467.43161313221,3056.63297552209
123566.85176250152,3147.475923116257
124360.31066414044,3214.497324112755
124839.66635599671,3255.487603885826
125000.0,3269.2732398596895
125000.0,3269.2732398596895
125160.33364400327,3283.2817730526513
125639.68933585954,3325.3473376663633
126433.14823749848,3395.485250812749
127532.56838686779,3494.913720894053
128926.66824548181,3621.3161328962915
130601.14246227262,3772.436364975556
132538.8086658503,3944.3729699238447
134719.7837788848,4131.417513149797
137121.68804538553,4326.101936780993
139719.87467728244,4519.5555579118745
142487.68276382392,4702.188430495947
145396.71084859938,4864.656466010356
148417.108366915,4998.978825282912
151517.881952982,5099.617751682044
154667.2134737902,5164.300113961917
157832.78652620976,5194.383671314554
160982.118047018,5194.652144846745
164082.891633085,5172.54516077218
167103.28915140062,5136.95960639469
170012.31723617608,5096.860687166045
172780.1253227176,5059.984423710721
175378.31195461444,5031.884829873583
177780.2162211152,5015.484341159231
179961.1913341497,5011.151624099718
181898.8575377274,5017.199844548589
183573.3317545182,5030.615402453103
184967.4316131322,5047.8156589041055
186066.85176250152,5065.284853730313
186860.31066414044,5080.017201353961
187339.6663559967,5089.769821224395
187500.0,5093.174158559601
187500.0,5093.174158559601
187660.3336440033,5096.7128865326695
188139.68933585956,5107.706921307888
188933.14823749848,5127.247814059263
190032.5683868678,5157.829681088025
191426.66824548182,5200.873447977405
193101.1424622726,5258.657321309137
195038.8086658503,5333.225018645411
197219.7837788848,5426.174685201742
199621.68804538553,5538.391584920653
202219.87467728244,5669.847694354724
204987.68276382392,5819.483972227607
207896.71084859938,5985.199610300983
210917.108366915,6163.947746567656
214017.881952982,6351.927196033085
217167.2134737902,6544.845576952281
220332.78652620976,6738.219667418173
223482.118047018,6927.675294006339
226582.891633085,7109.2125692487725
229603.28915140062,7279.411960339201
232512.31723617608,7435.569738739129
235280.1253227176,7575.763995778649
237878.31195461444,7698.861101009318
240280.2162211152,7804.475440618249
242461.1913341497,7892.893098441046
244398.8575377274,7964.965462201012
246073.3317545182,8021.974915779019
247467.4316131322,8065.47435929589
248566.85176250152,8097.105898001169
249360.31066414044,8118.410220588983
249839.6663559967,8130.644278548096
250000.0,8134.628257525557
250000.0,8134.628257525557
250160.3336440033,8138.650188098801
250639.68933585956,8150.331264529458
251433.14823749848,8168.518717095538
252532.5683868678,8192.22789765938
253926.66824548182,8218.053761955507
255601.1424622726,8242.928516073984
257538.8086658503,8263.524780604632
259719.7837788848,8276.81504961967
262121.68804538553,8280.679396322466
264719.8746772824,8274.562126117435
267487.68276382395,8260.032057709464
270396.7108485994,8241.089844488804
273417.10836691497,8224.067141439948
276517.881952982,8217.03121091768
279667.2134737902,8228.71889827952
282832.7865262098,8267.158495098814
285982.118047018,8338.254567466349
289082.89163308503,8444.66051310354
292103.2891514006,8585.21203131763
295012.31723617605,8755.047947261395
297780.1253227176,8946.35683904233
300378.3119546145,9149.533602652047
302780.2162211152,9354.461470578031
304961.1913341497,9551.657263400186
306898.8575377274,9733.100001599654
308573.3317545182,9892.665378492316
309967.4316131322,10026.18060424688
311066.8517625015,10131.179939097014
311860.31066414044,10206.476653707741
312339.66635599674,10251.675260724038
312500.0,10266.735371270317
312500.0,10266.735371270317
312660.33364400326,10281.916996091242
313139.68933585956,10327.092047614562
313933.1482374985,10401.068956437572
315032.5683868678,10502.915724091088
316426.6682454818,10627.96604843379
318101.1424622726,10771.058294836956
320038.80866585026,10925.259987988531
322219.7837788848,11082.079260678996
324621.6880453855,11231.955804263122
327219.8746772824,11365.102097460986
329987.68276382395,11472.626929581294
