Time (s),Error (km)
0.100000,0.759238
0.100000,0.759238
0.100000,0.759238
0.100000,0.759238
0.100000,0.759238
0.100000,0.759238
0.100000,0.759238
0.100000,0.759238
0.100000,0.759238
0.100000,0.759238
0.100000,0.759238
0.100000,0.759238
0.100000,0.759238
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.200000,1.518475
0.300000,2.277713
0.300000,2.277713
0.300000,2.277713
0.300000,2.277713
0.300000,2.277713
0.300000,2.277713
0.300000,2.277713
0.300000,2.277713
0.300000,2.277713
0.300000,2.277713
0.400000,3.036950
0.400000,3.036950
0.400000,3.036950
0.400000,3.036950
0.400000,3.036950
0.400000,3.036950
0.400000,3.036950
0.400000,3.036950
0.500000,3.796188
0.500000,3.796188
0.500000,3.796188
0.500000,3.796188
0.500000,3.796188
0.500000,3.796188
0.500000,3.796188
0.600000,4.555425
0.600000,4.555425
0.600000,4.555425
0.600000,4.555425
0.600000,4.555425
0.700000,5.314662
0.700000,5.314662
0.700000,5.314662
0.700000,5.314662
0.800000,6.073900
0.800000,6.073900
0.800000,6.073900
0.800000,6.073900
0.900000,6.833137
0.900000,6.833137
0.900000,6.833137
0.900000,6.833137
1.000000,7.592375
1.000000,0.000011
1.000000,0.000011
1.100000,0.759245
1.100000,0.759245
1.100000,0.759245
1.200000,1.518482
1.200000,1.518482
1.200000,1.518482
1.300000,2.277720
1.300000,2.277720
1.400000,3.036957
1.400000,3.036957
1.500000,3.796195
1.500000,3.796195
1.600000,4.555432
1.600000,4.555432
1.700000,5.314670
1.700000,5.314670
1.800000,6.073907
1.800000,6.073907
1.900000,6.833145
1.900000,6.833145
2.000000,0.000021
2.100000,0.759251
2.100000,0.759251
2.200000,1.518489
2.300000,2.277726
2.300000,2.277726
2.400000,3.036964
2.500000,3.796201
2.600000,4.555439
2.700000,5.314677
2.700000,5.314677
2.800000,6.073914
2.900000,6.833152
3.000000,0.000032
3.100000,0.759258
3.200000,1.518496
3.300000,2.277733
3.400000,3.036971
3.500000,3.796208
3.600000,4.555446
3.800000,6.073921
3.900000,6.833159
4.000000,0.000042
4.100000,0.759264
4.300000,2.277739
4.400000,3.036977
4.500000,3.796215
4.700000,5.314690
4.800000,6.073928
5.000000,7.592403
5.200000,1.518508
5.300000,2.277746
5.500000,3.796221
5.700000,5.314697
5.800000,6.073935
6.000000,0.000063
6.200000,1.518514
6.400000,3.036990
6.600000,4.555465
6.800000,6.073941
7.100000,0.759282
7.300000,2.277757
7.500000,3.796233
7.800000,6.073946
8.000000,0.000085
8.300000,2.277764
8.500000,3.796240
8.800000,6.073953
9.100000,0.759294
9.400000,3.037008
9.700000,5.314721
10.000000,0.000106
10.300000,2.277776
10.700000,5.314727
11.000000,7.592441
11.300000,2.277782
11.700000,5.314733
12.100000,0.759312
12.500000,3.796264
12.900000,6.833215
13.300000,2.277793
13.700000,5.314745
14.100000,0.759323
14.600000,4.555514
15.100000,0.759329
15.600000,4.555519
16.100000,0.759334
16.600000,4.555525
17.100000,0.759340
17.600000,4.555531
18.200000,1.518584
18.800000,6.074013
19.400000,3.037066
20.000000,0.000218
20.700000,5.314786
21.300000,2.277839
22.000000,0.000240
22.700000,5.314797
23.400000,3.037088
24.200000,1.518617
25.000000,7.592523
25.800000,6.074052
26.600000,4.555581
27.400000,3.037110
28.300000,2.277876
29.200000,1.518643
30.200000,1.518647
31.100000,0.759414
32.100000,0.759419
33.200000,1.518663
34.200000,1.518667
35.300000,2.277911
36.400000,3.037154
37.600000,4.555636
38.800000,6.074117
40.100000,0.759455
41.300000,2.277938
42.700000,5.314898
44.000000,0.000515
45.500000,3.796433
46.900000,6.833392
48.400000,3.037206
50.000000,7.592644
51.600000,4.555696
53.200000,1.518747
54.900000,6.833425
56.700000,5.314953
58.500000,3.796483
60.400000,3.037250
62.300000,2.278017
64.300000,2.278024
66.400000,3.037268
68.500000,3.796513
70.700000,5.314997
72.900000,6.833482
75.300000,2.278052
77.700000,5.315015
80.200000,1.518825
82.800000,6.074265
85.400000,3.037312
88.100000,0.759599
91.000000,7.592757
93.900000,6.833521
96.900000,6.833524
100.000000,0.001410
103.200000,1.518853
106.500000,3.796572
109.900000,6.833530
113.400000,3.037332
117.100000,0.759613
120.800000,6.074286
124.700000,5.315042
128.700000,5.315038
132.800000,6.074271
137.100000,0.759589
141.500000,3.796536
146.000000,0.002414
150.700000,5.314990
155.500000,3.796495
160.500000,3.796477
165.600000,4.555697
171.000000,7.592630
176.400000,3.037168
182.100000,0.759426
187.900000,6.833303
193.900000,6.833267
200.200000,1.518554
