Time (s),Error (km)
0.0,0.0
160.3336440032764,0.14103835509388746
639.6893358595473,2.064139720867356
1433.1482374984744,6.945158883146632
2532.568386867794,23.172912106205423
3926.6682454818097,112.62786600751495
5601.142462272616,422.6050318166793
7538.8086658502825,33761.457561171075
9719.783778884792,133051.606389008
12121.688045385534,241396.85663758402
14719.874677282425,372643.00985962525
17487.682763823923,491859.4751712437
20396.710848599367,639910.158395779
23417.108366914985,771773.1367777582
26517.881952981978,925617.6189665782
29667.21347379022,1069236.6500828043
32832.78652620977,1218378.4287093412
35982.11804701802,1370553.3779697302
39082.89163308501,1508835.0291739407
42103.28915140063,1660746.8670979347
45012.31723617607,1786715.9185027727
47780.125322717584,1927469.418094931
50378.31195461445,2041194.5612522333
52780.216221115195,2157694.5649248925
54961.19133414971,2264868.208092266
56898.85753772739,2344523.4753639917
58573.33175451819,2430611.592261989
59967.431613132205,2502568.478770473
61066.85176250152,2549647.7482121726
61860.31066414045,2581162.611518992
62339.66635599672,2601192.09504053
62500.0,2608233.3738657483
62500.0,2608233.3738657483
62660.33364400328,2615476.5295037334
63139.68933585955,2638395.14157724
63933.14823749848,2679907.39085819
65032.568386867795,2739169.5401356807
66426.66824548181,2804159.950499538
68101.14246227262,2872082.185698646
70038.80866585029,2969846.3454874097
72219.7837788848,3076298.750161983
74621.68804538553,3178474.225609912
77219.87467728242,3313995.6386404433
79987.68276382392,3430365.8982581273
82896.71084859937,3581018.488270454
85917.10836691498,3709369.0091267982
89017.88195298197,3868253.9130338077
92167.21347379022,4005083.3611909137
95332.78652620976,4162289.067246593
98482.11804701801,4305885.640151987
101582.891633085,4452484.165472801
104603.28915140063,4596680.803601998
107512.31723617608,4729915.372315881
110280.12532271759,4863248.3126564585
112878.31195461444,4985060.637689937
115280.2162211152,5093142.680369225
117461.19133414971,5206562.876298832
119398.8575377274,5286248.288181499
121073.33175451819,5365973.8247803105
122467.43161313221,5440897.668894808
123566.85176250152,5492665.614500418
124360.31066414044,5524999.879660398
124839.66635599671,5544001.151957243
125000.0,5550481.749555854
125000.0,5550481.749555854
125160.33364400327,5557081.467452349
125639.68933585954,5577788.415682824
126433.14823749848,5616036.281334175
127532.56838686779,5675027.565439182
128926.66824548181,5745818.029486269
130601.14246227262,5814797.484148291
132538.8086658503,5905198.594158217
134719.7837788848,6018187.733116973
137121.68804538553,6117796.686354758
139719.87467728244,6252517.283143892
142487.68276382392,6371416.470914788
145396.71084859938,6519267.331252217
148417.108366915,6649514.2583754575
151517.881952982,6808311.399380518
154667.2134737902,6942821.033743134
157832.78652620976,7104803.918054248
160982.118047018,7241624.010720971
164082.891633085,7396232.30770147
167103.28915140062,7531887.791719799
170012.31723617608,7673794.851000918
172780.1253227176,7798485.039466066
175378.31195461444,7928513.394135884
177780.2162211152,8030157.217761161
179961.1913341497,8145497.544087215
181898.8575377274,8229753.836028452
183573.3317545182,8302766.623423735
184967.4316131322,8376934.946328633
186066.85176250152,8433341.636363829
186860.31066414044,8468467.333134608
187339.6663559967,8487851.97735988
187500.0,8494196.214581527
187500.0,8494196.214581527
187660.3336440033,8500530.49680034
188139.68933585956,8519772.527762469
188933.14823749848,8554406.645961577
190032.5683868678,8610233.406603878
191426.66824548182,8684724.114105025
193101.1424622726,8758630.602467606
195038.8086658503,8842006.584820159
197219.7837788848,8957364.475000935
199621.68804538553,9059727.697964361
202219.87467728244,9188687.267789645
204987.68276382392,9314570.251276687
207896.71084859938,9455268.162716549
210917.108366915,9592082.007916274
214017.881952982,9745654.918930154
217167.2134737902,9883263.16268548
220332.78652620976,10044787.258432556
223482.118047018,10179368.577373283
226582.891633085,10338441.189430749
229603.28915140062,10468165.049366204
232512.31723617608,10616654.773559617
235280.1253227176,10734952.664247502
237878.31195461444,10870022.384004356
240280.2162211152,10969780.004145589
242461.1913341497,11081967.749776132
244398.8575377274,11173469.38862009
246073.3317545182,11242113.07973927
247467.4316131322,11312123.336339518
248566.85176250152,11371266.734674033
249360.31066414044,11410019.838693464
249839.6663559967,11431035.948135607
250000.0,11437719.233413925
250000.0,11437719.233413925
250160.3336440033,11444268.702415774
250639.68933585956,11463369.635558445
251433.14823749848,11495493.294407867
252532.5683868678,11546548.286098903
253926.66824548182,11621178.584047576
255601.1424622726,11701874.765939761
257538.8086658503,11781373.520494562
259719.7837788848,11894018.468561713
262121.68804538553,12003299.258438624
264719.8746772824,12123884.065312413
267487.68276382395,12258373.272185452
270396.7108485994,12390462.632529493
273417.10836691497,12535844.23797627
276517.881952982,12681196.901029754
279667.2134737902,12826023.551827082
282832.7865262098,12982098.396116588
285982.118047018,13119819.954624154
289082.89163308503,13278066.853529366
292103.2891514006,13406807.08919388
295012.31723617605,13557183.275367072
297780.1253227176,13673865.337358106
300378.3119546145,13808827.280422585
302780.2162211152,13911942.498665549
304961.1913341497,14017221.364617104
306898.8575377274,14115724.028693926
308573.3317545182,14184053.680912556
309967.4316131322,14248199.078510225
311066.8517625015,14307117.177408505
311860.31066414044,14348878.236446414
312339.66635599674,14372104.677670248
312500.0,14379460.84172757
312500.0,14379460.84172757
312660.33364400326,14386614.096802944
313139.68933585956,14406936.308828041
313933.1482374985,14438636.181102246
315032.5683868678,14485241.350839991
316426.6682454818,14556433.519069225
318101.1424622726,14643055.851014722
320038.80866585026,14723327.224561566
322219.7837788848,14829323.414009796
324621.6880453855,14946874.997765971
327219.8746772824,15059836.937743118
329987.68276382395,15201110.230840884
332896.7108485994,15326577.969359115
335917.10836691497,15479093.190928139
339017.881952982,15616537.256445762
342167.2134737902,15769773.775726914
345332.7865262098,15917652.756398266
348482.118047018,16062561.210978156
351582.89163308503,16215107.567062117
354603.2891514006,16348123.965684006
357512.31723617605,16495015.420870082
360280.1253227176,16615422.089932904
362878.3119546145,16745254.102022432
365280.2162211152,16855545.115485128
367461.1913341497,16952960.575593475
369398.8575377274,17055450.030467708
371073.3317545182,17127574.861081436
372467.4316131322,17186512.461712167
373566.8517625015,17242372.02653281
374360.31066414044,17285347.55304838
374839.66635599674,17310474.86307765
375000.0,17318563.62497522
375000.0,17318563.62497522
375160.33364400326,17326461.702386267
375639.68933585956,17348858.006174434
376433.1482374985,17382353.25132917
377532.5683868678,17426596.11449643
378926.6682454818,17492188.88963336
380601.1424622726,17581545.103129953
382538.80866585026,17666846.786032874
384719.7837788848,17764960.998769954
387121.6880453855,17888835.89593328
389719.8746772824,17997942.921678934
392487.68276382395,18141514.73121713
395396.7108485994,18264943.327722862
398417.10836691497,18420348.81582271
401517.881952982,18553325.96505392
404667.2134737902,18712807.44961814
407832.7865262098,18853038.590161562
410982.118047018,19006260.04700273
414082.89163308503,19150584.02921073
417103.2891514006,19291339.634099737
420012.31723617605,19430863.47745894
422780.1253227176,19558751.23304486
425378.3119546145,19680560.4044769
427780.2162211152,19798929.819737688
429961.1913341497,19890663.52724289
431898.8575377274,19992609.322329402
433573.3317545182,20071047.52595516
434967.4316131322,20127488.391722415
436066.8517625015,20178716.1325694
436860.31066414044,20220669.189694006
437339.66635599674,20246648.170159627
437500.0,20255238.911087167
437500.0,20255238.911087167
437660.33364400326,20263725.107178885
438139.68933585956,20288206.43386942
438933.1482374985,20324957.95016839
440032.5683868678,20369817.726753756
441426.6682454818,20429914.387145463
443101.1424622726,20517797.580540568
445038.80866585026,20610303.18489597
447219.7837788848,20702449.218564175
449621.6880453855,20828238.27153301
452219.8746772824,20938707.747698013
454987.68276382395,21079277.53786334
457896.7108485994,21205958.166103933
460917.10836691497,21358956.972363528
464017.881952982,21492603.56545076
467167.2134737902,21653736.333081912
470332.7865262098,21789878.416677132
473482.118047018,21949228.269269567
476582.89163308503,22086109.02671382
479603.2891514006,22234934.92206085
482512.31723617605,22366203.9959533
485280.1253227176,22502291.2981119
487878.3119546145,22616416.147764064
490280.2162211152,22740559.085710995
492461.1913341497,22830992.57771803
494398.8575377274,22928180.35080848
496073.3317545182,23012895.62306601
497467.4316131322,23070472.6986896
498566.8517625015,23117367.21163598
499360.31066414044,23156507.13118485
499839.66635599674,23181979.56436454
500000.0,23190651.31512987
500000.0,23190651.31512987
500160.33364400326,23199342.90271214
500639.68933585956,23225100.548669588
501433.1482374985,23265243.392584357
502532.5683868678,23313383.453693118
503926.6682454818,23370261.241147216
505601.1424622726,23453138.56680027
507538.80866585026,23552127.480201554
509719.7837788848,23642535.051867776
512121.6880453855,23765180.68592431
514719.8746772824,23881558.16171885
517487.68276382395,24015144.693049952
520396.7108485994,24148949.505204916
523417.10836691497,24295332.64689924
526517.8819529819,24434388.978410337
529667.2134737902,24592045.516327005
532832.7865262098,24729180.942523334
535982.1180470181,24890107.891804174
539082.891633085,25023238.95874745
542103.2891514007,25177275.792213447
545012.3172361761,25302677.289632738
547780.1253227176,25444434.500010457
550378.3119546145,25554235.688494492
552780.2162211152,25679633.708037276
554961.1913341497,25773541.276285548
556898.8575377273,25863739.075124964
558573.3317545182,25952230.290247194
559967.4316131322,26014027.305247936
561066.8517625015,26058591.305248387
561860.3106641405,26094282.107840862
562339.6663559967,26118119.723846443
562500.0,26126430.283926167
562500.0,26126430.283926167
562660.3336440033,26134874.402778666
563139.6893358595,26160625.021890633
563933.1482374985,26202959.051331658
565032.5683868678,26255672.145124145
566426.6682454818,26312814.16365879
568101.1424622727,26389216.46605747
570038.8086658503,26491441.611472458
572219.7837788848,26584906.24190786
574621.6880453855,26700730.168264266
577219.8746772824,26825104.868495464
579987.6827638239,26950585.804585326
582896.7108485993,27092475.27490701
585917.108366915,27230757.766572863
589017.8819529819,27377698.35549078
592167.2134737902,27528274.581552904
595332.7865262098,27670943.95803166
598482.1180470181,27828411.038014047
601582.891633085,27962853.575319517
604603.2891514007,28117272.253174454
607512.3172361761,28241433.46562266
610280.1253227176,28384173.80222418
612878.3119546145,28494614.8222294
615280.2162211152,28616393.84922388
617461.1913341497,28717030.51486912
619398.8575377273,28800823.01158674
621073.3317545182,28889188.931246527
622467.4316131322,28956529.33243337
623566.8517625015,29001618.767602693
624360.3106641405,29034606.42305635
624839.6663559967,29056356.046672013
625000.0,29064016.613243587
625000.0,29064016.613243587
625160.3336440033,29071869.30223106
625639.6893358595,29096368.58046947
626433.1482374985,29138879.24830204
627532.5683868678,29195617.251238234
628926.6682454818,29256291.490400728
630601.1424622727,29327344.37044816
632538.8086658503,29428392.490912076
634719.7837788848,29528349.26059093
637121.6880453855,29636466.595740568
639719.8746772824,29767724.078411117
642487.6827638239,29887194.201819297
645396.7108485993,30034925.07555619
648417.108366915,30166847.097559754
651517.8819529819,30320973.565085955
654667.2134737902,30463762.712742228
657832.7865262098,30614184.116357736
660982.1180470181,30764687.113699965
664082.891633085,30904814.839337666
667103.2891514007,31054801.93673243
670012.3172361761,31182679.169114422
672780.1253227176,31321490.87962493
675378.3119546145,31437109.285449248
677780.2162211152,31551982.868607048
679961.1913341497,31659850.206170414
681898.8575377273,31740320.454150837
683573.3317545182,31824840.663945824
684967.4316131322,31896825.874581113
686066.8517625015,31944989.604779024
686860.3106641405,31977055.864577405
687339.6663559967,31997103.618167616
687500.0,32004091.030395754
687500.0,32004091.030395754
687660.3336440033,32011252.034917057
688139.6893358595,32033784.52897196
688933.1482374985,32074455.418192096
690032.5683868678,32133119.768486694
691426.6682454818,32199088.054276116
693101.1424622727,32267980.718869224
695038.8086658503,32364053.083269406
697219.7837788848,32471266.926004436
699621.6880453855,32573846.173986882
