Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-19946.988367229998402763,11684.423263959999530925,43511.217134669997903984
39.221841391009455435,-19978.446771540820918744,11615.271726562001276761,43518.951700606405211147
155.173182887974860478,-20070.847781345022667665,11410.492638120600531693,43540.512981940315512475
342.786394471210712709,-20218.451044915105740074,11078.075286633029463701,43571.271167663253436331
593.861878526457530825,-20412.275024859831319191,10631.191024456496961648,43604.448871191540092696
897.426431606658525197,-20640.901622136607329594,10087.915309547321157879,43632.355433184013236314
1240.212826077869522123,-20891.463320900602411712,9470.739881239389433176,43647.799139263908728026
1607.239651630081652911,-21150.693307112167531159,8805.825037096326923347,43645.430466553320002276
1982.466074796553130000,-21405.912143766174267512,8121.977196140590422146,43622.781770500710990746
2349.492900348765488161,-21645.835618985391192837,7449.383254126787505811,43580.820603749234578572
2692.279294819975802966,-21861.117363679219124606,6818.177321732753625838,43523.915926615009084344
2995.843847900176569965,-22044.583820700223441236,6256.945576832696133351,43459.215462520900473464
3246.919331955424240732,-22191.171948665418312885,5791.284454158784683386,43395.532730882514442783
3434.532543538660320337,-22297.632607790161273442,5442.516132462427776773,43341.927718074461154174
3550.483885035625462478,-22362.104261465621675598,5226.639297539211838739,43306.221042644050612580
3589.705726426635010284,-22383.682470232844934799,5153.562244214483143878,43293.696956042891542893
3628.927567817644558090,-22405.144092158741841558,5080.458348268706686213,43280.947359073776169680
3744.878909314609700232,-22467.907473645773279713,4864.188214219888322987,43241.936430864952853881
3932.492120897845779837,-22567.287598402330331737,4513.789897374470456271,43174.635900393826887012
4183.567604953092086362,-22696.050935003622726072,4044.026588622830786335,43076.476430762915697414
4487.132158033293308108,-22845.198777912584773730,3474.901709539966759621,42945.400279568493715487
4829.918552504504987155,-23004.915471037060342496,2830.929827017285788315,42781.036722449294757098
5196.945378056716435822,-23165.554478258163726423,2140.149986093597362924,42585.765536734863417223
5572.171801223188595031,-23318.528304848667175975,1432.901062535982646295,42365.444438540376722813
5939.198626775400043698,-23456.980584374348836718,740.418329675400968881,42129.625735737005015835
6281.985021246610813250,-23576.150674136610177811,93.344721267508802498,41891.168122622577357106
6585.549574326811125502,-23673.390272494703822304,-479.731501424801763278,41665.249451894749654457
6836.625058382059251016,-23747.851637829680839786,-953.604875574785637582,41467.890173689724178985
7024.238269965295330621,-23799.927992849392467178,-1307.563965431692849961,41314.187904509788495488
7140.189611462260472763,-23830.576077453471953049,-1526.241149707592285267,41216.524675912354723550
7179.411452853270020569,-23840.676025242049945518,-1600.194587214575221878,41183.026609902430209331
7218.633294244279568375,-23850.640545711128652329,-1674.138934697809872887,41149.294589518816792406
7334.584635741244710516,-23879.304295042882586131,-1892.682906687473405327,41048.203382861087447964
7522.197847324480790121,-23923.155762550766667118,-2246.089412191797237028,40880.292759477051731665
7773.273331379727096646,-23976.910696790047950344,-2718.568556271071884112,40647.165613091638078913
8076.837884459928318392,-24034.280329436631291173,-3288.947781016857788927,40352.385013337370764930
8419.624278931139997439,-24088.888150378777936567,-3931.619358615886994812,40002.441982743381231558
