Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-19946.988367229998402763,11684.423263959999530925,43511.217134669997903984
78.443682782018910871,-20009.802785008352657314,11546.060660124128844473,43526.463216927375469822
310.346365775949720955,-20193.097986411659803707,11135.647156579312650138,43566.317713994561927393
685.572788942421425418,-20482.008650264258903917,10467.395913738753733924,43614.288605723173532169
1187.723757052915061649,-20853.622819975680613425,9565.490570336809469154,43646.539722234439977910
1794.852863213317050395,-21279.549894179228431312,8464.397200645738848834,43636.663747043268813286
2480.425652155739044247,-21729.074855230523098726,7208.616182060772189288,43561.105908307690697256
3214.479303260163305822,-22172.496434262917318847,5851.521102573464304442,43404.279259715098305605
3964.932149593106259999,-22584.197746809524687706,4453.146882291845031432,43162.474737907723465469
4698.985800697530976322,-22945.006063365788577357,3077.054792961792827555,42845.868207714003801811
5384.558589639951605932,-23243.474563989479065640,1786.635662124045666133,42478.224288329060073011
5991.687695800353139930,-23475.867148829333018512,641.348712144767432619,42094.254398931785544846
6493.838663910848481464,-23644.840898486065270845,-306.605623466526481025,41734.965911743325705174
6869.065087077320640674,-23757.075004629448812921,-1014.817685657666629595,41441.695011936099035665
7100.967770071250924957,-23820.340934210984414676,-1452.279064010931733719,41249.788891731797775719
7179.411452853270020569,-23840.676016379169595893,-1600.194597271323573295,41183.026587185559037607
7257.855135635289116181,-23860.469388358924334170,-1748.073769244114373578,41115.328464358484779950
7489.757818629219400464,-23915.797754832641658140,-2185.002007476811741071,40909.710240313979738858
7864.984241795691559673,-23995.127223500021500513,-2890.997062239681781648,40559.601535029534716159
8367.135209906184172723,-24081.232681693560152780,-3833.318616186257258960,40057.204891281478921883
8974.264316066586616216,-24153.943199741530406754,-4967.551709994467273646,39397.613382769719464704
9659.837105009009974310,-24193.498170188260701252,-6239.486210660499637015,38583.458325691528443713
10393.890756113432871643,-24184.064668194721889449,-7587.930594073613065120,37629.193432614003540948
11144.343602446377190063,-24116.894805814026767621,-8948.404386713629719452,36564.129345358669525012
11878.397253550800087396,-23992.578935901743534487,-10257.399400112444709521,35433.468567871874256525
12563.970042493221626501,-23821.897346309538988862,-11456.652994628297165036,34296.845483795143081807
13171.099148653622251004,-23624.916183306821039878,-12496.722362785398217966,33224.237269860066589899
13673.250116764118502033,-23428.235230555910675321,-13339.180048486023224541,32289.554446392809040844
14048.476539930590661243,-23260.670842017319955630,-13957.035769359925325261,31562.688276643017161405
14280.379222924520945526,-23148.084621034442534437,-14333.510377994472946739,31101.188257835055992473
14358.822905706540041137,-23108.416355193796334788,-14459.882545944174125907,30942.946710229425661964
14437.266588488559136749,-23067.939905918479780667,-14585.748994175328334677,30783.622898076540877810
14669.169271482489421032,-22943.511132796000310918,-14954.811709185181825887,30306.265130930652958341
15044.395694648961580242,-22726.845973525523731951,-15541.908124761803264846,29513.670564098825707333
15546.546662759454193292,-22406.448777671037532855,-16306.658549110259627923,28413.518338504076382378
16153.675768919856636785,-21970.835831800617597764,-17196.009086024532734882,27022.320745466269727331
16839.248557862279994879,-21412.562173019476176705,-18148.107612797830370255,25369.872756575372477528
17573.302208966702892212,-20732.562505384295945987,-19097.616649920128111262,23503.259811369538510917
18323.755055299647210632,-19944.169271286446019076,-19982.318012637890205951,21489.394672529189847410
19057.808706404070107965,-19076.026786116435687291,-20750.442130194387573283,19415.091815797295566881
19743.381495346489828080,-18173.022578146323212422,-21367.581072809654870071,17383.913336669535055989
20350.510601506892271573,-17294.403630286928091664,-21821.449004604761285009,15509.516874476777957170
20852.661569617390341591,-16508.579189295283867978,-22122.462581581061385805,13906.031088520252524177
21227.887992783860681811,-15884.833250721268996131,-22298.630993938862957293,12676.904692722440813668
21459.790675777789147105,-15483.175599426900589606,-22384.949062141760805389,11904.274985072013805620
21538.234358559810061706,-15344.458030971096377471,-22410.049779254513850901,11640.712523803073054296
21616.678041341827338329,-15204.281762585003889399,-22433.020057652396644698,11376.043326972045178991
21848.580724335759441601,-14781.250294531007966725,-22488.108254921211482724,10587.206263803351248498
22223.807147502229781821,-14068.905034768818950397,-22534.555364104842738016,9291.081974365226415102
22725.958115612724213861,-13059.989054506755564944,-22507.014167183078825474,7520.231138235718390206
23333.087221773126657354,-11751.732080344088899437,-22320.237657106103142723,5329.012034813772515918
24018.660010715550015448,-10153.233292650154908188,-21877.384330617547675502,2800.905764978422212153
24752.713661819972912781,-8294.643376115494902479,-21083.847761184166301973,55.193306469537674275
25503.166508152917231200,-6236.982169778286333894,-19868.774062551572569646,-2750.584890159414499067
26237.220159257340128534,-4079.419172221259486832,-18214.901795712565217400,-5428.458826176043658052
26922.792948199763486627,-1957.793136818149378087,-16191.417715453309938312,-7785.505064186727395281
27529.922054360162292141,-27.089919114224585428,-13973.380433324582554633,-9668.455007099526483216
28032.073022470656724181,1571.817794054284149752,-11824.557961263857578160,-11010.793873087868632865
28407.299445637130702380,2744.418178661780075345,-10037.513208958982431795,-11848.325244770310746389
28639.202128631062805653,3450.689471736399354995,-8860.539027953844197327,-12282.771762074169600965
28717.645811413080082275,3685.367025911110431480,-8450.728932848049225868,-12414.096074391312868102
28796.089494195097358897,3917.601207909461663803,-8035.317436800542054698,-12537.186333475223364076
29027.992177189029462170,4588.060202134897735959,-6776.556698417040024651,-12851.164668576509939157
29403.218600355499802390,5612.037161965389714169,-4656.141832951106152905,-13192.955546626022623968
29905.369568465994234430,6836.145857097806583624,-1705.979151433211427502,-13312.525362654514538008
30512.498674626396677922,8047.492357369411365653,1919.770665185091729654,-12939.302472777928414871
31198.071463568816398038,9026.731312654483190272,5917.090268992226810951,-11895.575827970074897166
