Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-19946.988367229998402763,11684.423263959999530925,43511.217134669997903984
18.417619200557144410,-19961.773208398935821606,11651.958827017993826303,43514.876876229747722391
73.481487106210181537,-20005.841405931503686588,11554.820253208508802345,43525.525213391592842527
164.626573918928414741,-20078.341573998965031933,11393.774565807194449008,43542.184908683630055748
290.917607709004300887,-20177.879843352926400257,11170.109044862490918604,43563.277971245195658412
451.058671570677745422,-20302.556824071652954444,10885.643003993554884801,43586.699423857600777410
643.406501483244596784,-20450.017963548882107716,10542.741269511421705829,43609.916019281779881567
865.987348423600337810,-20617.515926052441500360,10144.326711384734153398,43630.085625957166485023
1116.517231702126764503,-20801.983255588445899775,9693.888882570699934149,43644.192152547599107493
1392.425375695287584676,-21000.113247139448503731,9195.485804355375876185,43649.190270383223833051
1690.880589482340383256,-21208.446654356586805079,8653.736183692128179246,43642.153838598431320861
2008.820318695395144459,-21423.461617211043630959,8073.799833097476039256,43620.421839748363709077
2342.982071471533345175,-21641.664013674373563845,7461.344735189104540041,43581.735782221185218077
2689.936896034168967162,-21859.675337037180725019,6822.499991790219610266,43524.362898689272697084
3046.124566378397503286,-22074.315185323423065711,6163.794756410510672140,43447.200040112569695339
3407.890115007557596982,-22282.675529912150523160,5492.084104618305900658,43349.853902844806725625
3771.521337845711514092,-22482.184113473289471585,4814.463590260916134866,43232.694102713023312390
4133.286886474872517283,-22670.654617103315104032,4138.174915286731447850,43096.876596703012182843
4489.474556819100143912,-22846.321635139738646103,3470.505664718378284306,42944.336024239819380455
4836.429381381736675394,-23007.859002441749908030,2818.686393479942125850,42777.746671361142944079
5170.591134157874876109,-23154.380627537924738135,2189.788475993131669384,42600.452927238846314140
5488.530863370930092060,-23285.423684629568015225,1590.626031803369642148,42416.371275812220119406
5786.986077157980616903,-23400.914788938782294281,1027.664923055720009870,42229.867013382296136115
6062.894221151142119197,-23501.120594885567697929,506.941299534830477569,42045.609967365511693060
6313.424104429669569072,-23586.585076371029572329,33.991478274692440209,41868.414467042814067099
6536.004951370025992219,-23658.056524412393628154,-386.205860703415794433,41703.069633861290640198
6728.352781282592331991,-23716.407973106233839644,-749.275034681895704125,41554.166664166041300632
6888.493845144265833369,-23762.555280370866967132,-1051.476967776298806712,41425.930120944452937692
7014.784878934341577406,-23797.377387656702921959,-1289.732445422581122330,41322.060290980516583659
7105.929965747060123249,-23821.643315386587346438,-1461.636913183589513210,41245.593371444054355379
