Time (s), X (km), Y (km), Z (km)
0.000000000000000000,2829.686181640000086190,6535.591658059999645047,663.934796949999963545
18.662431653593205994,2826.236505511885297892,6549.847736821354374115,525.318973868797343130
70.953403145674698749,2810.859274111200647894,6576.528915063962813292,136.030100498633089501
146.516046265558173900,2773.855639230219821911,6580.448028552081268572,-426.921387756405465552
230.384252828348536468,2712.594119271037925500,6536.874983969199092826,-1048.482006706678703267
305.946895948231997409,2639.590047265770408558,6454.722431955777210533,-1601.729084392344475418
358.237867440313493717,2579.432399908274419431,6374.340639483243649011,-1978.948801137558803021
376.900299093906710368,2556.093229063163562387,6341.044196286646183580,-2112.204989143905550009
395.562730747499927020,2531.784902479694665089,6305.343505993718281388,-2244.658209453175913950
447.853702239581423328,2458.593395776357738214,6192.627933433140242414,-2611.080049991762734862
523.416345359464912690,2339.972042766170034156,5997.310509953908876923,-3126.537722465941897099
607.284551922255218415,2191.343435260137994192,5737.004798317509084882,-3675.741899593792822998
682.847195042138764620,2043.063132753725994917,5464.883087716770205589,-4146.565728813314308354
735.138166534220204085,1932.977895802710918360,5256.628802700297455885,-4457.470367308943423268
753.800598187813420736,1892.282451784119530203,5178.492906430943548912,-4565.266453844601528544
772.463029841406637388,1850.871787654758009012,5098.399682688122084073,-4671.332387742268110742
824.754001333488076853,1731.167423479883154869,4863.821276138512075704,-4958.970003863550118695
900.316644453371623058,1549.218971592528532710,4499.563124972940386215,-5348.364692228135936602
984.184851016162042470,1336.101762773268319506,4062.782171854509670084,-5741.628385008783880039
1059.747494136045588675,1135.330831169532757485,3642.667870663266512565,-6058.493843151140026748
1112.038465628127141827,992.210423145537788514,3338.603568432876272709,-6255.913233953284361633
1130.700897281720244791,940.398526152713202464,3227.645677707527283928,-6321.907913241419009864
1149.363328935313347756,888.232268599008875753,3115.471627695550068893,-6385.514713423902321665
1201.654300427394900908,740.347132622887556863,2795.053641066747331934,-6550.819164050456492987
1277.216943547278333426,522.897502118643615177,2317.696597538225887547,-6755.284141696553888323
1361.085150110068752838,277.828849677709456500,1771.263042765314594362,-6933.271004833616643737
1436.647793229952185357,55.169721604707582685,1267.305746415132261973,-7048.463068843289875076
1488.938764722033738508,-99.196932901944236960,913.795394311647555696,-7102.715639956293671275
1507.601196375626841473,-154.242462698249170217,786.921665735082910942,-7116.995787300295887690
1526.263628029219944438,-209.230106528751207406,659.751847538704055296,-7128.593321987592389632
1578.554599521301497589,-362.816986695179593880,302.262431480263842332,-7146.767940271213774395
1654.117242641184930108,-582.747283475469657787,-215.622981066591108856,-7135.684673740284779342
1737.985449203975349519,-822.591454243750490605,-788.740031071563635123,-7071.805693377531497390
1813.548092323858782038,-1033.390971036532391736,-1300.100158898464997037,-6968.172886585675769311
