Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-1036.116801299999906405,177.153064249999999902,-7133.816749339999660151
8.283747401855542591,-977.791692740075745860,159.657400636726009679,-7142.382604192296639667
32.772950096130962550,-804.966535543446525480,107.872124257551760707,-7164.663796817214461043
72.397312412854034847,-524.295856442851459178,23.951187893889336777,-7191.058344098769339325
125.425059579998048775,-147.405117484638822134,-88.394579654328126139,-7207.640368002675131720
189.538624590996505503,308.758323476219175063,-223.844751370872415919,-7198.980867829905037070
261.935937003850540350,822.142909117767885618,-375.594833102130962743,-7151.471734964892675634
339.452886865269988448,1366.701564141271092012,-535.744303138740178838,-7056.520701458635812742
418.701611498716090409,1914.409927919570918675,-695.939977185312386609,-6912.922610317586077144
496.218561360135595351,2437.851039440647127776,-848.162347858419252589,-6727.840753239905097871
568.615873772989516510,2912.760840299428764411,-985.470330286814714782,-6516.150930674326446024
632.729438783987916395,3319.890379988017230062,-1102.515915527271999963,-6298.311785593108652392
685.757185951132100854,3645.752169563857023604,-1195.709495146363678941,-6097.273283740084480087
725.381548267855237100,3882.191515937990061502,-1263.030531948837506206,-5935.094184875546488911
749.870750962130614425,4025.104445121422486409,-1303.590356693161311341,-5829.879152567462369916
758.154498363986135701,4072.869929085487001430,-1317.123308744067799125,-5793.442020932132436428
766.438245765841656976,4120.338202849468871136,-1330.560146143494648641,-5756.581044018032116583
790.927448460117147988,4258.896728520838223631,-1369.711803079728952071,-5645.156314773412304930
830.551810776840170547,4477.296239127464104968,-1431.198958148289193559,-5457.251638031233596848
883.579557943984127633,4757.804642581337247975,-1509.725825111772110176,-5191.541128172251774231
947.693122954982641204,5077.858479455798260460,-1598.612493611606851118,-4849.551155701023162692
1020.090435367836676051,5412.465551075059011055,-1690.549506144885526737,-4437.862909950355060573
1097.607385229256124148,5737.164579886632964190,-1778.504372382235033001,-3969.567460298248533945
1176.856109862702169266,6031.084779917121522885,-1856.634784522010249930,-3464.462832714085834596
1254.373059724121731051,6279.471980635366890056,-1921.017454692528190208,-2947.841087920677637157
1326.770372136975765898,6475.073821031004627002,-1970.016931249216440847,-2448.137095290834167827
1390.883937147973938409,6618.029199204963333614,-2004.199795915990080175,-1994.034919552969313372
1443.911684315118236555,6714.299359551035195182,-2025.817936450233446521,-1611.720142537374613312
1483.536046631841372800,6773.057121190893667517,-2037.994285101886816847,-1322.801038694467706591
1508.025249326116863813,6803.683275040837543202,-2043.807547634304910389,-1143.093231976522474724
1516.308996727972271401,6813.054639818768919213,-2045.476965136310809612,-1082.132643328497579205
1524.592744129827906363,6821.925197305419715121,-2046.996025738582147824,-1021.092307612529111793
1549.081946824103170002,6845.214097925303576631,-2050.606431833900842321,-840.216147791539924583
1588.706309140826306248,6873.575097221269061265,-2053.656793241962986940,-546.456978654528711559
1641.734056307970377020,6893.430725846359564457,-2052.333104624266525207,-151.976068438250024428
1705.847621318968776905,6889.694962678468982631,-2042.475184750686594271,325.475839216543761268
1778.244933731822811751,6848.992401424209674587,-2020.529727697394264396,862.779244461766552377
1855.761883593242373536,6762.763993352780744317,-1984.452340213216530174,1432.612432743788758671
1935.010608226688418654,6629.582465466468420345,-1934.356943277094842415,2005.583997041839438680
2012.527558088107980439,6456.121364896507657249,-1872.753913196513167350,2552.964790890180665883
2084.924870500961787911,6256.532702568842069013,-1804.315923058976068205,3049.372967701614015823
2149.038435511960415170,6050.391662922861542029,-1735.231107908743069856,3474.727727021006103314
2202.066182679104713316,5859.708260299269568350,-1672.300490577164737260,3815.017083079575513693
2241.690544995827622188,5705.659509160475863609,-1621.975004233153413224,4061.824234232534763578
2266.179747690102885826,5605.634057876835868228,-1589.501782355275281589,4210.959004752630789881
2274.463495091958520788,5570.980487557761080097,-1578.285033418736475141,4260.796042612778364855
2282.747242493814155750,5535.917183647516139899,-1566.952205023771284687,4310.318906225315004122
2307.236445188089419389,5429.888781934790131345,-1532.778318848713752232,4454.850761562233856239
2346.860807504812328261,5250.970927617647248553,-1475.407295072250917656,4682.589062792095319310
2399.888554671956626407,4997.768368696028119302,-1394.764678851295684581,4974.941881973775707593
2464.002119682954798918,4671.608321406293725886,-1291.677785469044238198,5308.276874684493122913
2536.399432095809061138,4278.674610651313741982,-1168.463821168281810969,5656.458455604132723238
2613.916381957228622923,3831.416208752107195323,-1029.291722581232306766,5993.961305816214917286
2693.165106590674440667,3348.738988571056779620,-880.180579579343429941,6299.072931659999994736
2770.682056452094002452,2854.838776116537246708,-728.604624110906115675,6556.519082519364928885
2843.079368864947809925,2376.942345553538416425,-582.795584521856085303,6758.882028528813862067
2907.192933875946437183,1942.531347480559361429,-450.919930271826103763,6906.453015524039074080
2960.220681043090735329,1576.708007070303438013,-340.325964156355780688,7005.570511482047550089
2999.845043359813644201,1300.200151977477617038,-257.000636604524231643,7065.885796067993396719
3024.334246054088907840,1128.189709077688803518,-205.278469927026577579,7097.232137647455601837
3032.617993455944542802,1069.836276670914685383,-187.751469257371439880,7106.805372270665429824
3040.901740857800177764,1011.404487147414442916,-170.210717261492419539,7115.856752101190068061
3065.390943552075441403,838.246036943261174201,-118.287079570387746230,7139.557464939163764939
3105.015305868798350275,556.982042848799892454,-34.127050825060301520,7168.198216587516071741
3158.043053035942648421,179.200976978394606931,78.565610248941766258,7187.687336997886632162
3222.156618046940820932,-278.169976488535553472,214.471424493316646931,7182.391074925047178112
3294.553930459795083152,-793.066279772269467685,366.776340501163076624,7138.482647339260438457
3372.070880321214644937,-1339.388380317771179762,527.558440742450216021,7047.162713162794716482
3451.319604954660462681,-1889.024919627621557083,688.433301505197050574,6907.050315375107857108
3528.836554816080024466,-2414.450146825950923812,841.344485113085511330,6725.173454061869051657
3601.233867228933831939,-2891.283935743137135432,979.312769127277761072,6516.311619597886419797
3665.347432239932459197,-3300.165527987539917376,1096.954219157276838814,6300.857689055101218401
3718.375179407076757343,-3627.507086200461344561,1190.647529952601644254,6101.716501712552599201
3757.999541723799666215,-3865.069427889894541295,1258.345835899576741213,5940.914960896157936077
