Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-1036.116801299999906405,177.153064249999999902,-7133.816749339999660151
2.070936850463885648,-1021.542410514142943612,172.780304492786115134,-7136.006910114046149829
8.193237524032740637,-978.429379639204853447,159.848633848832207605,-7142.291816057958385500
18.099328103213508712,-908.589623354607510919,138.911555923387709299,-7151.859534136801812565
31.356264894999512194,-814.979664747995798280,110.870149809373018002,-7163.498865559810838022
47.384656147749126376,-701.599260597844477161,76.939478953692798768,-7175.788133828662466840
65.483984250962635087,-573.341809114106013112,38.600107225650560849,-7187.314507431990932673
84.863221716317497112,-435.795338430157926268,-2.464968186963919727,-7196.887411928436449671
104.675402874679022602,-294.997543865162867860,-44.446283533680443156,-7203.710367135844535369
124.054640340033898838,-157.157526095773221186,-85.492483960087426453,-7207.482296120062528644
142.153968443247379128,-28.363923708904923870,-123.797350311636691345,-7208.411750596057572693
158.182359695996979099,85.702893649308592217,-157.684008585245265976,-7207.143129749895706482
171.439296487783025214,180.030225364338690497,-185.679350252964638912,-7204.609423528558181715
181.345387066963809275,250.494299729759632100,-206.576274106296324362,-7201.839039435415543267
187.467687740532653606,294.030919036727198090,-219.480684225489511618,-7199.751859490878814540
189.538624590996533925,308.755157635966440921,-223.843813044776993593,-7198.981022220392333111
191.609561441460414244,323.477994581989094058,-228.205925682310123648,-7198.177420294396142708
197.731862115029286997,366.994173287319199517,-241.095475198042322518,-7195.610163182864198461
207.637952694210042637,437.373144055705722621,-261.930693425912636485,-7190.850063886725365592
220.894889485996031908,531.486059141315081433,-289.770658463109214154,-7183.308197385447783745
236.923280738745660301,645.140225518593638299,-323.358275730561160799,-7172.400455700140810222
255.022608841959169013,773.266569376662914692,-361.179388070665652322,-7157.732306439870626491
274.401846307314031037,910.154880045682830314,-401.535800690947496605,-7139.267751352187588054
294.214027465675542317,1049.727003318229890283,-442.628670392116134735,-7117.448145146207025391
313.593264931030432763,1185.827254658735682824,-482.645632093701749454,-7093.235488785150664626
331.692593034243941474,1312.513839064850799332,-519.846601785362622650,-7068.067026493033154111
347.720984286993484602,1424.325996796523668309,-552.640810474365821392,-7043.724980874354514526
360.977921078779559139,1516.513184438124881126,-579.651326444126880233,-7022.139314270589238731
370.884011657960343200,1585.215650890494771375,-599.764453802262437421,-7005.153642250398661417
377.006312331529215953,1627.594116890768191297,-612.163991714710277847,-6994.290675404296052875
379.077249181993067850,1641.914594800566874255,-616.352805790675461139,-6990.553083808169503754
381.148186032456976591,1656.227610621623853149,-620.538818680303506881,-6986.783639733552263351
387.270486706025792500,1698.496823270156028229,-632.897337269524200565,-6975.453944529644104477
397.176577285206576562,1766.746159738576807285,-652.840362592402016162,-6956.533944202276870783
410.433514076992594255,1857.792744306961367329,-679.422708792870253092,-6930.079537214487572783
426.461905329742194226,1967.409566066237175619,-711.392815687523579982,-6896.366723181496126927
444.561233432955702938,2090.543535099386190268,-747.260196418244618144,-6856.034989080604646006
463.940470898310593384,2221.579163222200349992,-785.375978945843257861,-6810.205030150003040035
483.752652056672104663,2354.627187848053836206,-824.019840586789314330,-6760.540607498975987255
503.131889522026995110,2483.819751960319990758,-861.487450296305951269,-6709.231633928015980928
521.231217625240446978,2603.587259862596511084,-896.170885117785587681,-6658.891001778421923518
537.259608877990103792,2708.896737338039201859,-926.626162208759637906,-6612.372701942914318352
550.516545669776178329,2795.440515110646629182,-951.624939777039458022,-6572.531856496074397000
560.422636248956905547,2859.769958797428444086,-970.189401805399484147,-6541.958560745113572921
566.544936922525721457,2899.379226287799156125,-981.612465496096206152,-6522.721500741655290767
568.615873772989630197,2912.751505340068433725,-985.467636997731460724,-6516.155413526815209480
570.686810623453538938,2926.110525177560248267,-989.318322525542953372,-6509.559588156571408035
576.809111297022354847,2965.525589978319658258,-1000.675678200102197479,-6489.886764651722842245
586.715201876203082065,3029.049883546085311536,-1018.967732312895577707,-6457.507519968801716459
599.972138667989156602,3113.567008209974574129,-1043.280832062219587897,-6413.121087739458744181
616.000529920738699730,3214.975673845349774638,-1072.416354567287044119,-6357.854064236932572385
634.099858023952265285,3328.430911233605911548,-1104.964178658231503505,-6293.356763298649639182
653.479095489307155731,3448.624430196290177264,-1139.387173469869367182,-6221.865667318402302044
673.291276647668610167,3570.080626741108517308,-1174.109228456172331789,-6146.205171956205049355
692.670514113023500613,3687.442791395275889954,-1207.598948191547151509,-6069.711612029674142832
710.769842216236952481,3795.725481720491643500,-1238.441806611329866428,-5996.076324205201672157
726.798233468986609296,3890.516078554388514021,-1265.395903071318798538,-5929.118158842858974822
740.055170260772683832,3968.115026013467286248,-1287.428649457973506287,-5872.510079209073410311
749.961260839953411050,4025.616629925798861223,-1303.735527908011590625,-5829.491665763679520751
756.083561513522226960,4060.944912506878154090,-1313.745816987692023758,-5802.599636832494070404
758.154498363986135701,4072.858569321153481724,-1317.120087261325124928,-5793.450543445936091302
760.225435214450044441,4084.753650459932941885,-1320.488350354788508412,-5784.274959556380053982
766.347735888018860351,4119.809838624039002752,-1330.410643778746589305,-5756.994728336496336851
776.253826467199587569,4176.183411053162672033,-1346.352727725471595477,-5712.367598637995797617
789.510763258985662105,4250.942821436731719587,-1367.467205208231689539,-5651.710526043429126730
