Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-1036.116801299999906405,177.153064249999999902,-7133.816749339999660151
1.944922775042783325,-1022.429377699251062950,173.046404245463406824,-7135.874568804336377070
7.759733560598185420,-981.483373773983657884,160.764499204891194495,-7141.856139029675432539
17.384764529310189118,-913.630594795511797201,140.422311881552616342,-7151.194286579242543667
30.721249838691868206,-819.466913673198860124,112.213766291371968009,-7162.971804180352592084
47.632339102320877089,-699.844915416362937322,76.414750392051345784,-7175.962778785462433007
67.944501659992269538,-555.888454107620191280,33.386415041111341395,-7188.688800745054322761
91.449307237116713054,-389.006336572325267298,-16.422026466545361245,-7199.488281271716914489
117.905564721388955718,-200.902038999842574185,-72.471873899672743846,-7206.596469871858062106
147.041797109983946257,6.423625351027368424,-134.135750653607857430,-7208.233103398172715970
178.559027230972787947,230.679619679803806775,-200.701394043436039283,-7202.693992162629911036
212.133845653687245658,469.303637644676712171,-271.378960476715519690,-7188.442332319064917101
247.421729307122035380,719.494009342301978904,-345.312093012790001012,-7164.195210312789640739
284.060576752856491112,978.254530833700869152,-421.592658938685190151,-7129.000710158729816612
321.674423835815218808,1242.450966782415434864,-499.278706606819298486,-7082.301301507963216864
359.877301585259431249,1508.876798918913436864,-577.414852066141293108,-7023.979795784684029059
398.277196778726590765,1774.324791162960536894,-655.054025171962280183,-6954.385087397861752834
436.480074528170916892,2035.660231399931035412,-731.279315209311334911,-6874.336082616158819292
474.093921611129530902,2289.891376739060888212,-805.224581509593008377,-6785.103558746610360686
510.732769056864071899,2534.232718391352591425,-876.092546105760902719,-6688.371065021521644667
546.020652710298918464,2766.157190376703510992,-943.169259624082087612,-6586.177241067799513985
579.595471133013461440,2983.434321123881545645,-1005.834110680892081291,-6480.842967586607301200
611.112701254001990492,3184.152475706985114812,-1063.564903715323453071,-6374.887484334583859891
640.248933642597080507,3366.724638072463221761,-1115.937923570156044661,-6270.937961602966424834
666.705191126869408436,3529.878504755475205457,-1162.623297805445645281,-6171.636989486592938192
690.209996703993851952,3672.632877304944031494,-1203.376322717710536381,-6079.552096407442149939
710.522159261665251506,3794.263343023603283655,-1238.025706002440074371,-5997.090803753654654429
727.433248525294288811,3894.260945952306883555,-1266.459876996470939048,-5926.423969461263368430
740.769733834676003426,3972.287930306913040113,-1288.612613980975538652,-5869.419379006135386589
750.394764803387943175,4028.134678728571998363,-1304.449236531969972930,-5827.586807231811690144
