Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-23760.532622380000248086,-33715.879108560002350714,-8669.038042340000174590
266.631463447162332159,-23079.099352329369139625,-34163.208700428673182614,-8758.843677449463939411
1013.716222432634936013,-21124.080616462160833180,-35347.209407236201514024,-8992.712175019118149066
2093.284978046058768086,-18189.710084388389077503,-36871.800082406349247321,-9283.303981789000317804
3291.515898196285434096,-14801.539884684836579254,-38295.896477999311173335,-9538.363318925532439607
4371.084653809708470362,-11651.344435670434904750,-39328.751336243127298076,-9705.817415712666843319
5118.169412795181415277,-9427.854418161821740796,-39901.072076891214237548,-9786.512433859605152975
5384.800876242344202183,-8627.174735540156689240,-40076.714786839060252532,-9808.283746663864803850
5651.432339689506989089,-7823.230834693553333636,-40237.193887075045495294,-9826.343676248015981400
6398.517098674979024509,-5555.841517069570727472,-40605.585405368510691915,-9857.125808043778306455
7478.085854288403425016,-2251.998214944582286989,-40924.697219146022689529,-9849.887029540010189521
8676.316774438630091026,1430.455366587154458102,-40981.800106337002944201,-9770.366393628710284247
9755.885530052051763050,4739.672815352090765373,-40765.254632603297068272,-9634.804271029524898040
10502.970289037526526954,7013.750115871832349512,-40467.329524103988660499,-9505.961948475149256410
10769.601752484688404365,7820.665643065428412228,-40331.853380856460717041,-9453.122093860416498501
11036.233215931850281777,8624.623127701823250391,-40181.122349690682312939,-9396.706478961194079602
11783.317974917323226691,10858.919080229990868247,-39678.040327139693545178,-9219.775176843211738742
12862.886730530746717704,14028.906013279762191814,-38743.453064216599159408,-8915.903316620744590182
14061.117650680973383714,17444.709334328810655279,-37425.321127758048532996,-8514.026017029864306096
15140.686406294396874728,20408.940720325903384946,-35992.784321508035645820,-8096.198359710670956702
15887.771165279868000653,22387.295104476041160524,-34870.288883244742464740,-7777.514178962843288900
16154.402628727031697053,23077.572939582270919345,-34444.434594057398498990,-7658.136531280611961847
16421.034092174195393454,23759.125390656794479582,-34005.557230019709095359,-7535.863208294659671083
17168.118851159666519379,25620.135696411896788049,-32707.919509926035971148,-7178.236209236322793004
18247.687606773091829382,28173.669060853168048197,-30662.389088645624724450,-6624.109595003559661563
19445.918526923316676402,30802.888721181920118397,-28170.208128386842872715,-5961.182546097330487100
20525.487282536741986405,32971.013816058075462934,-25740.208202719204564346,-5324.805212327763911162
21272.572041522213112330,34352.606214603467378765,-23964.315988278020086000,-4864.863696768338741094
21539.203504969376808731,34821.217654532018059399,-23313.012818571663956391,-4697.145407970134328934
21805.834968416540505132,35276.668359449628042057,-22652.898457301176676992,-4527.651693385329053854
22552.919727402011631057,36481.267275877136853524,-20758.507841005557565950,-4043.833137444379644876
23632.488483015436941059,38029.921621173780295067,-17913.764934625582100125,-3323.886352389996318379
24830.719403165661788080,39472.695562265435000882,-14627.232030007611683686,-2500.899376642210427235
25910.288158779087098083,40515.043009242042899132,-11569.904999439273524331,-1742.897478157340856342
26657.372917764558224007,41089.832563195319380611,-9411.072383407341476413,-1211.740475104501228998
26924.004381211721920408,41265.542469816231459845,-8633.500562913235626183,-1021.220343044979017577
27190.635844658885616809,41425.660544939855753910,-7852.666647629577710177,-830.314322822209874175
27937.720603644356742734,41790.761626125800830778,-5649.963270368689336465,-293.967631963812721096
29017.289359257782052737,42099.204959168033383321,-2439.088002646392396855,482.198448667145839863
30215.520279408006899757,42136.354812223558838014,1141.538663487870735480,1339.976515591936504279
31295.089035021432209760,41894.636659479358058888,4360.889195184426171181,2104.240837628566623607
32042.173794006903335685,41575.374587012651318219,6574.136679197342346015,2625.782909152668707975
32308.805257454067032086,41431.520193355157971382,7359.654472265314325341,2810.113310869044653373
32575.436720901227090508,41272.013997283858770970,8142.391970380178463529,2993.382042568859560561
33322.521479886694578454,40742.256858634646050632,10318.248390022874446004,3500.646135683201464417
34402.090235500123526435,39763.810540958249475807,13406.731774229652728536,4214.938033604011252464
35600.321155650344735477,38389.923165054788114503,16736.715158782029902795,4977.005980424774861604
36679.889911263773683459,36901.090946514261304401,19628.345760848322242964,5631.265116742645659542
37426.974670249241171405,35736.448302639015309978,21559.330934674777381588,6063.852601271354615164
37693.606133696404867806,35294.945884055756323505,22233.304410108943557134,6213.952355631998216268
37960.237597143575840164,34840.110335343248152640,22898.878962183924159035,6361.704533349168741552
38707.322356129043328110,33496.155570854702091310,24716.910232584519690135,6762.720360809080375475
39786.891111742472276092,31379.735030263418593677,27213.204387496214621933,7306.479346912420623994
40985.122031892693485133,28803.844178955416282406,29786.008630325555714080,7856.908935994525563729
42064.690787506115157157,26294.375886336172698066,31910.050903470229968661,8301.631151736597530544
