Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-23760.532622380000248086,-33715.879108560002350714,-8669.038042340000174590
533.262926894324664318,-22388.931636555869772565,-34597.608989212392771151,-8845.334220920261941501
2027.432444865269872025,-18372.121794058759405743,-36785.260816016896569636,-9267.210410009409315535
4186.569956092117536173,-12195.425596731533005368,-39169.339700018717849161,-9681.437024356137044379
6583.031796392570868193,-4993.040419625867798459,-40678.036110790177190211,-9860.221994754518163973
8742.169307619416940724,1632.776283380757377017,-40975.860105043706425931,-9763.825095614311067038
10236.338825590362830553,6204.181700491528317798,-40587.499255315829941537,-9555.205989166288418346
10769.601752484688404365,7820.665643253545567859,-40331.853380529173591640,-9453.122093808613499277
11302.864679379013978178,9425.318546189177141059,-40015.193723507421964314,-9336.736509490301614278
12797.034197349958049017,13837.833411654639348853,-38807.403873450319224503,-8936.042410742500578635
14956.171708576806850033,19910.769295146870717872,-36253.690385571877413895,-8171.241497149700080627
17352.633548877260182053,26068.268471891242370475,-32372.327905732403451111,-7086.586768596442198032
19511.771060104103526101,30940.747890608567104209,-28026.830315749357396271,-5923.382848031827961677
21005.940578075053053908,33871.010934069934592117,-24606.561652879427128937,-5030.743134768688832992
21539.203504969376808731,34821.217653726409480441,-23313.012817710834497120,-4697.145407842946951860
22072.466431863700563554,35718.786411013636097778,-21984.222536713081353810,-4356.446646417034571641
23566.635949834646453382,37942.109672816652164329,-18090.650118615674728062,-3368.437689746273463243
25725.773461061493435409,40354.504441913399205077,-12098.053952530222886708,-1873.346964173493688577
28122.235301361946767429,41861.883206376056477893,-5103.106538184183591511,-161.305102752996390336
30281.372812588793749455,42129.073254233408079017,1338.320284016233927105,1386.881630592504734523
31775.542330559736001305,41703.522744293972209562,5786.135327920121198986,2440.460472859898800380
32308.805257454063394107,41431.520189333190501202,7359.654473319453245495,2810.113311066981623298
32842.068184348390786909,41096.916331488821015228,8922.053491388251131866,3175.519870671201715595
34336.237702319333038758,39830.612752818684384692,13220.522938218702620361,4172.070206817928919918
