Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-23760.532622380000248086,-33715.879108560002350714,-8669.038042340000174590
27.627671895039068062,-23690.337477755936561152,-33762.825775105666252784,-8678.496440635481121717
110.227190280299964797,-23479.899330692747753346,-33902.365036946255713701,-8706.564087281763931969
246.950972322142604298,-23129.698757036130700726,-34130.630498617581906728,-8752.327888536587124690
436.396046999979375869,-22640.662489424863451859,-34441.297730799269629642,-8814.297815852463827468
676.618451487469997119,-22014.340801841612119460,-34825.763990887753607240,-8890.454402169423701707
965.153178841721114622,-21253.134018980967084644,-35273.399830300761095714,-8978.314684192861022893
1299.039472310207884220,-20360.548001528874010546,-35771.870957069950236473,-9075.015690544732933631
1674.851206701598584914,-19341.455084832770808134,-36307.526240790000883862,-9177.413896470732652233
2088.732045066507907904,-18202.335299082842539065,-36865.844260545774886850,-9282.198189692320738686
2536.435009933052697306,-16951.473030830959032755,-37431.926563978326157667,-9386.012887478938864660
3013.366063042790301552,-15599.086722311760240700,-37991.021268801123369485,-9485.586320907837944105
3514.631246399987048790,-14157.373691231998236617,-38529.056369526959315408,-9577.859594233108509798
4035.086900903223522619,-12640.458423257219692459,-39033.158738194368197583,-9660.109478450514870929
4569.392447248268581461,-11064.240259837150006206,-39492.132914846501080319,-9730.059136641040822724
5112.065187498696104740,-9446.144604709799750708,-39896.873822389970882796,-9785.970595465883889119
5657.536564985991390131,-7804.789808026597711432,-40240.689745797091745771,-9826.713608277128514601
6200.209305236419822904,-6159.588929211390677665,-40519.516254386231594253,-9851.806771837858832441
6734.514851581463517505,-4530.310874230352965242,-40732.007907449427875690,-9861.428367177970358171
7254.970506084700900828,-2936.628374272835571901,-40879.502014508499996737,-9856.396248667097097496
7756.235689441897193319,-1397.680606629073281511,-40965.856701618991792202,-9838.118023613371406100
8233.166742551637071301,68.324052381188266736,-40997.173280324699589983,-9808.514559765930243884
8680.869707418178222724,1444.444308066439361937,-40981.419691024202620611,-9769.921361687211174285
9094.750545783088455210,2715.266864779901879956,-40927.977013516290753614,-9724.973443508994023432
9470.562280174481202266,3867.085059162209290662,-40847.134344545127532911,-9676.479927807744388701
9804.448573642968767672,4887.995979725299548591,-40749.558633029279008042,-9627.294714586889313068
10092.983300997218975681,5767.923953160892779124,-40645.765483313451113645,-9580.189245509416650748
10333.205705484708232689,6498.584125411427521612,-40545.614828481942822691,-9537.732735959532874404
10522.650780162546652718,7073.403951588496056502,-40457.852205122238956392,-9502.184385297130575054
10659.374562204387984821,7487.422448298219933349,-40389.712628394023340661,-9475.401130789696253487
10741.974080589649020112,7737.186987110710106208,-40346.600224006695498247,-9458.763593090237918659
10769.601752484688404365,7820.665347187255065364,-40331.853160184284206480,-9453.122048524683123105
10797.229424379727788619,7904.111947016318481474,-40316.942305995529750362,-9447.442111341111740330
10879.828942764988823910,8153.402688576013133570,-40271.386487714597024024,-9430.231835095180940698
11016.552724806830156012,8565.389248553896322846,-40192.768032537074759603,-9400.992321478124722489
11205.997799484668576042,9134.823015113624933292,-40077.228997828889987431,-9358.933153411737293936
11446.220203972157833050,9854.361167678029232775,-39919.720946023335272912,-9303.032014776548749069
11734.754931326409860048,10714.590513437346089631,-39714.339604359694931190,-9232.114174555135832634
12068.641224794895606465,11704.082040607245289721,-39454.729383611236698925,-9144.947911571836812072
12444.452959186286534532,12809.489712837637853227,-39134.538646390094072558,-9040.350964476279841620
12858.333797551196767017,14015.705652638727769954,-38747.903005247746477835,-8917.302262438523030141
13306.036762417741556419,15306.080552472618364845,-38289.931154036064981483,-8775.052611247299864772
13782.967815527477796422,16662.713144575624028221,-37757.166191411757608876,-8613.227766584266646532
14284.232998884675907902,18066.806309911000425927,-37147.995451175585913006,-8431.917497788012042292
14804.688653387911472237,19499.080554935793770710,-36462.983771542021713685,-8231.744877687358894036
15338.994199732956985827,20940.228896710763365263,-35705.108998558978782967,-8013.911127856791608792
15881.666939983384509105,22371.391470292990561575,-34879.884186548166326247,-7780.212849942033244588
16427.138317470678885002,23774.624135540529096033,-33995.358050139569968451,-7533.030273034762103634
16969.811057721108227270,25133.333570338392746635,-33061.993145368280238472,-7275.287088462833708036
17504.116604066151921870,26432.652097097798105096,-32092.429272618490358582,-7010.384342326346086338
18024.572258569387486205,27659.728801138779090252,-31101.146913806318480056,-6742.112523983880237211
18525.837441926585597685,28803.919060704491130309,-30104.051413022858469049,-6474.547259131657483522
19002.768495036325475667,29856.861854764771123882,-29118.002522599093936151,-6211.934769065906948526
19450.471459902866627090,30812.442402391738141887,-28160.315549735969398171,-5958.573436511179352237
19864.352298267775040586,31666.645997781717596808,-27248.259624244834412821,-5718.697437001361322473
20240.164032659169606632,32417.316555040011735400,-26398.575820920104888501,-5496.367534146792422689
20574.050326127657172037,33063.839714987836487126,-25627.033503098042274360,-5295.372931567820160126
20862.585053481907380046,33606.774938113820098806,-24948.037957399355946109,-5119.146690969319024589
21102.807457969396637054,34047.463584490578796249,-24374.296874683946953155,-4970.695840765649336390
21292.252532647235057084,34387.640550028430880047,-23916.548172523383982480,-4852.546074390401372511
21428.976314689076389186,34629.075751655123895034,-23583.347601259225484682,-4766.699999740716521046
21511.575833074337424478,34773.268912212697614450,-23380.911896752695611212,-4714.607332034225692041
21539.203504969376808731,34821.217024652607506141,-23313.012090583746612538,-4697.145249658992725017
21566.831176864416192984,34869.023831453610910103,-23245.017679448232229333,-4679.664104698144001304
21649.430695249677228276,35011.109003800491336733,-23041.170664256220334210,-4627.287062588933622465
21786.154477291518560378,35243.503840932353341486,-22701.917514429547736654,-4540.221413497293724504
21975.599551969356980408,35559.717470755669637583,-22228.125209833764529321,-4418.838914456395286834
22215.821956456846237415,35950.922599159173842054,-21621.254582551133353263,-4263.712570214124752965
22504.356683811096445424,36406.215402571469894610,-20883.581783396286482457,-4075.663054069834743132
22838.242977279584010830,36912.947747270925901830,-20018.448286651349917520,-3855.810127360963633691
23214.054711670974938897,37457.127349656373553444,-19030.516556967722863192,-3605.623694069262000994
23627.935550035883352393,38023.877903838292695582,-17926.006883157380798366,-3326.968830337877989223
24075.638514902428141795,38597.946863860546727665,-16712.891184864518436370,-3022.139310631876924162
