Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-3314.583721450000211917,2809.024805009999909089,-5400.462219259999983478
1.837146040729964902,-3320.872972728707281931,2796.850973906517538126,-5402.917472635832382366
7.329732558486184324,-3339.596296044316659390,2760.387391742421186791,-5410.127819756474309543
16.421398182939363153,-3370.323682463805653242,2699.812822051613238727,-5421.633387594152736710
29.018850121793299479,-3412.349462622160444880,2615.441459286839290144,-5436.688800842845921579
44.992821471079203377,-3464.709043454856782773,2507.745557543215454643,-5454.294293415352512966
64.179397668516443787,-3526.202683628129307181,2377.383734854088288557,-5473.238190561372903176
86.381698478733383695,-3595.426448816662286845,2225.231881998763583397,-5492.149568611196627899
111.371898250903811345,-3670.810272752624314307,2052.413151158104483329,-5509.559426343350423849
138.893563718221912495,-3750.662698960419675132,1860.323339721416914472,-5523.968189315126437577
168.664285350229192773,-3833.221415252124188555,1650.648150123060531769,-5533.916860646903842280
200.378575256758011847,-3916.708164070862494555,1425.369304322427296938,-5538.058689125648015761
233.711001907076450834,-3999.386079158031407133,1186.757296980909131889,-5535.227915828775621776
268.319529497772009563,-4079.617034306576897507,937.349626504776324509,-5524.502047805180154683
303.849027702943601525,-4155.916263744763455179,679.914558123752840402,-5505.254240349065185001
339.934915791913283556,-4227.001385045597999124,417.401733430903846056,-5477.192771100904792547
376.206903720879779485,-4291.833062337545925402,152.882118596573064906,-5440.385250211303173273
412.292791809849575202,-4349.644899991054444399,-110.519246821409510062,-5395.266087448872895038
447.822290015021110321,-4399.960734112406498753,-369.693584016807790249,-5342.626755352487634809
482.430817605716697472,-4442.598241580654757854,-621.617409982552203473,-5283.589451995222589176
515.763244256035136459,-4477.658642347306340525,-863.416044633029287070,-5219.565774110333222779
547.477534162564097642,-4505.503146586251205008,-1092.417914712553510981,-5152.202864204465186049
577.248255794571150545,-4526.717610212765976030,-1306.196868987371772164,-5083.320117127963385428
604.769921261889294328,-4542.067537919844653516,-1502.600844705657209488,-5014.839876416503102519
629.760121034059807243,-4552.446060538244637428,-1679.766463537985828225,-4948.715608689880355087
651.962421844276718730,-4558.817787642929943104,-1836.120357093824623007,-4886.860841206234908896
671.148998041713980456,-4562.161498270485026296,-1970.369108215830692643,-4831.081738603388657793
687.122969390999855932,-4563.414507157384832681,-2081.480547628903423174,-4783.015654562811505457
699.720421329853820680,-4563.421272317759758153,-2168.659699949961122911,-4744.077404203706464614
708.812086954307005726,-4562.888441007278743200,-2231.322896236505130219,-4715.414439520994164923
714.304673472063200279,-4562.348112880498774757,-2269.073462336671127559,-4697.871633053475306951
716.141819512793176727,-4562.130670422573530232,-2281.681981210269441362,-4691.966020705658593215
717.978965553523153176,-4561.894824392784357769,-2294.281295810306801286,-4686.041428875970268564
723.471552071279347729,-4561.079952975916967262,-2331.894553135318801651,-4668.215487743323137693
732.563217695732532775,-4559.369708911959605757,-2393.968883385824028665,-4638.338265413663066283
