Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-3314.583721450000211917,2809.024805009999909089,-5400.462219259999983478
17.730083782193332809,-3374.719244590528887784,2691.071711435396082379,-5423.245352689186802309
67.408674590502201340,-3536.400517083167414967,2355.339500926115761104,-5476.189607875611727650
139.196318247408015623,-3751.521313455028575845,1858.203254813498460862,-5524.098707917533829459
218.874591508988544319,-3963.232767230204444786,1293.181945378620184783,-5537.397178819754117285
290.662235165894344391,-4128.320792156889183389,775.607513051915589131,-5513.370790724996368226
340.340825974203255555,-4227.762035068775730906,414.451318124854196867,-5476.829331033673952334
358.070909756396588364,-4260.251668431775215140,285.205221436925228318,-5459.864693982717653853
375.800993538589921172,-4291.142859841010249511,155.852064829132757495,-5440.845848378737173334
425.479584346898775493,-4369.086997251037246315,-206.743368030399324198,-5376.678072977488227480
497.267228003804575565,-4458.932859952770741074,-729.352966714246235824,-5255.958180214405729203
576.945501265385132683,-4526.524791318395728013,-1304.016684890499163885,-5084.052149832320537826
648.733144922290875911,-4558.057295229526971525,-1813.430358597532176645,-4896.043198822563681460
698.411735730599843919,-4563.460859340313618304,-2159.607486401395362918,-4748.171114356660837075
716.141819512793176727,-4562.130882294300135982,-2281.667115290395486227,-4691.972947146471597080
733.871903294986509536,-4559.086866850067963242,-2402.869643025955610938,-4634.007036570474156179
783.550494103295363857,-4541.438922742418071721,-2737.517437711068851058,-4462.362323711225144507
855.338137760201220772,-4492.290096656819514465,-3206.576482511151880317,-4191.149168025960534578
935.016411021781777890,-4405.348542163877937128,-3703.939313133510040643,-3859.882663225100259297
1006.804054678687634805,-4298.348715608884958783,-4128.066489508702034072,-3536.179291305637434562
1056.482645486996489126,-4208.737611410108911514,-4406.818214049113521469,-3299.241930699386102788
1074.212729269189821935,-4173.729602452841390914,-4503.192150863446840958,-3212.275546770516029937
1091.942813051383154743,-4137.149987027019960806,-4597.870694273377921490,-3124.096139029499681783
1141.621403859692009064,-4026.403895538760025374,-4853.819205188457090117,-2870.847623593243042706
1213.409047516597865979,-3845.432712985863872746,-5198.132684175142458116,-2490.057984981473055086
1293.087320778178309411,-3616.817906848230904870,-5542.620573789423360722,-2049.464060901890206878
1364.874964435084166325,-3387.219973192320139788,-5816.941077811847208068,-1639.012942582493451482
1414.553555243393020646,-3215.986610763591215800,-5985.822403316517011262,-1348.869497686522436197
1432.283639025586353455,-3152.540989496140809933,-6041.827891984508823953,-1244.303531668138248278
1450.013722807779686264,-3087.905857215645028191,-6095.553660291945561767,-1139.266789209054650200
1499.692313616088540584,-2900.675217561645695241,-6233.776043828391266288,-842.791996450308943167
1571.479957272994397499,-2615.088970458341918857,-6400.791212483750314277,-410.183553637824047655
1651.158230534574840931,-2279.247757122956045350,-6539.761038194120374101,72.839455608107485318
1722.945874191480697846,-1961.712141140136736794,-6622.302407409790248494,507.656006318107017705
