Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-3314.583721450000211917,2809.024805009999909089,-5400.462219259999983478
1.837146040729964902,-3320.872972728706372436,2796.850973906519357115,-5402.917472635831472871
7.329732558486184324,-3339.596296044112932577,2760.387391742814088502,-5410.127819756392455020
16.421398182939363153,-3370.323682461089447315,2699.812822056870572851,-5421.633387593084989931
29.018850121793299479,-3412.349462606678571319,2615.441459317007684149,-5436.688800836856898968
44.992821471079203377,-3464.709043397868754255,2507.745557655339325720,-5454.294293393789303082
64.179397668516443787,-3526.202683468535269640,2377.383735172036722361,-5473.238190502746874699
86.381698478733383695,-3595.426448447136863251,2225.231882746082646918,-5492.149568480424022709
111.371898250903811345,-3670.810272010167864210,2052.413152685703153111,-5509.559426092220746796
138.893563718221912495,-3750.662697625431064807,1860.323342520835694813,-5523.968188887055475789
168.664285350229192773,-3833.221413058452071709,1650.648154817415388607,-5533.916859985486553342
200.378575256758011847,-3916.708160726649111893,1425.369311630788160983,-5538.058688184905804519
233.711001907076450834,-3999.386074374297550094,1186.757307657250748889,-5535.227914581763798196
268.319529497772009563,-4079.617027828252048494,937.349641258621318229,-5524.502046247498583398
303.849027702943601525,-4155.916255377950619732,679.914577534653858493,-5505.254238494879245991
339.934915791913283556,-4227.001374675593069696,417.401757871704262470,-5477.192768971302939462
376.206903720879779485,-4291.833049934315567953,152.882148179914793218,-5440.385247817283016047
412.292791809849575202,-4349.644885601893292915,-110.519212262609642039,-5395.266084773461443547
447.822290015021110321,-4399.960717844481223437,-369.693544910627053923,-5342.626752337266225368
482.430817605716697472,-4442.598223578236684261,-621.617366964294888021,-5283.589448535876726964
515.763244256035136459,-4477.658622769170506217,-863.415998466466589889,-5219.565770063586569449
547.477534162564097642,-4505.503125587872091273,-1092.417866200737307736,-5152.202859405718299968
577.248255794571150545,-4526.717587936093877943,-1306.196818888683992554,-5083.320111416064719378
604.769921261889294328,-4542.067514490985558950,-1502.600793668428423189,-5014.839869660153453879
629.760121034059807243,-4552.446036071470189199,-1679.766412061882647322,-4948.715600809927309456
651.962421844276718730,-4558.817762248107101186,-1836.120305519885505419,-4886.860832189447137353
671.148998041713980456,-4562.161472061004133138,-1970.369056740975565845,-4831.081728505840146681
687.122969390999855932,-4563.414480256212300446,-2081.480496336491341935,-4783.015643503735191189
699.720421329853820680,-4563.421244860521255760,-2168.659648846292839153,-4744.077392352937749820
708.812086954307005726,-4562.888413142275567225,-2231.322845284191316750,-4715.414427083980626776
714.304673472063200279,-4562.348084766404099355,-2269.073411478916568740,-4697.871620257447830227
716.141819512793176727,-4562.130642224692564923,-2281.681930384343104379,-4691.966007788870228978
717.978965553523153176,-4561.894796110884271911,-2294.281245016244611179,-4686.041415838114517101
723.471552071279347729,-4561.079924441407456470,-2331.894502436279708490,-4668.215474341839581029
732.563217695732532775,-4559.369679954626917606,-2393.968832840092090919,-4638.338251406195013260
745.160669634586497523,-4556.255468176242175105,-2479.587070660248627973,-4596.181361019551331992
761.134640983872372999,-4551.063746924563929497,-2587.475249603412976285,-4541.468885510704240005
780.321217181309634725,-4542.992870200512697920,-2716.015070426279635285,-4473.918056292271103302
802.523517991526546211,-4531.158061919793908601,-2863.262952452406352677,-4393.287195658194832504
827.513717763696945440,-4514.642671369972049433,-3026.977262645674727537,-4299.427885465182043845
855.035383231015089223,-4492.553447286053597054,-3204.655012101639840694,-4192.337943231616918638
