Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-3314.583721450000211917,2809.024805009999909089,-5400.462219259999983478
7.824708485606210573,-3322.417610133876223699,2797.016410258903306385,-5404.930165831803606125
30.956856634486833002,-3345.373623876746478345,2761.229723925215694180,-5417.755690321959264111
68.385458572173575931,-3381.865464863576562493,2702.449008546209370252,-5437.298148420386496582
118.474704791630927048,-3429.413554807216769404,2622.181281566763118462,-5461.118585807379531616
179.035454878198265760,-3484.875711308311565517,2522.865387885010932223,-5486.362651782422290125
247.420913450371870113,-3544.739740386661651428,2408.019838745773085975,-5510.193873321271894383
320.642307818709866751,-3605.448862553713752277,2282.252843647686859185,-5530.206588947896307218
395.499511694083309976,-3663.723408234111502679,2151.099475968875140097,-5544.756994829824179760
468.720906062421306615,-3716.836597195086142165,2020.700646477011105162,-5553.165909748722697259
537.106364634594797280,-3762.801922497539180767,1897.379705605161689164,-5555.764867678512928251
597.667114721162079150,-3800.438387998231974052,1787.193251400619828928,-5553.777366979235921463
647.756360940619629218,-3829.299346872033311229,1695.529028600236415514,-5549.049928397924304591
685.184962878306350831,-3849.479109586379763641,1626.799753605523164879,-5543.672549521950713824
708.317111027186911087,-3861.342743353658079286,1584.247673899511028139,-5539.552185097634719568
716.141819512793176727,-3865.248914227580371517,1569.843657991142663377,-5538.019707704173015372
723.966527998399442367,-3871.779597640719202900,1556.505288917920552194,-5540.257776594285132887
747.098676147280002624,-3890.833146963391754980,1516.872749816233408637,-5546.466939015221214504
784.527278084966724236,-3920.856895329227882030,1452.141342286986400723,-5555.232217589053107076
834.616524304424046932,-3959.463510575443706330,1364.436460518250669338,-5564.506490388640486344
895.177274390991442488,-4003.702286922779421730,1256.935100673787928827,-5572.005355368220079981
963.562732963164989997,-4050.386535054889463936,1133.912648086060698915,-5575.639008412664225034
1036.784127331502986635,-4096.435728893629857339,1000.653756433697253669,-5573.901894476937741274
1111.641331206876429860,-4139.189174046501648263,863.206388737890847551,-5566.156513945885308203
1184.862725575214426499,-4176.649195114718168043,728.005242835089347864,-5552.770390153483276663
1253.248184147387974008,-4207.617420364931604126,601.428419780196236388,-5535.089028040702942235
1313.808934233955369564,-4231.699842866937615327,489.367441992129442951,-5515.250138875028824259
1363.898180453412805946,-4249.176189244096349285,396.881407667522410065,-5495.865152526990641491
1401.326782391099641245,-4260.755365957178582903,327.975516664381927967,-5479.613315593127481407
1424.458930539979974128,-4267.266489200377691304,285.503756185492136410,-5468.810412107531192305
1432.283639025586353455,-4269.356019676473806612,271.159939966448973792,-5465.024619279181933962
1440.108347511192505408,-4274.336453614382662636,256.999289155268513696,-5464.949310863808932481
1463.240495660073293038,-4288.767352881675833487,215.029597361206043615,-5464.311538108841887151
1500.669097597759900964,-4311.190021552851248998,146.812094586784326111,-5461.977733218092907919
1550.758343817217337346,-4339.401967019775838708,55.009828819655410825,-5456.372991870066471165
1611.319093903784732902,-4370.758032707455640775,-56.583454980152083635,-5445.872054746800131397
1679.704552475958280411,-4402.519618658860963478,-183.099585120908386671,-5429.212568188570912753
1752.925946844296277050,-4432.200058664886455517,-318.780684025020775607,-5405.846064061004653922
1827.783150719669720274,-4457.857986495360819390,-457.298329147462823130,-5376.163522391314472770
1901.004545088007716913,-4478.298542289524448279,-592.170531882795671663,-5341.561510408465437649
1969.390003660181264422,-4493.153478592988903983,-717.207338418718109097,-5304.343529936687446025
2029.950753746748432604,-4502.826192982551219757,-826.904763625702685204,-5267.474948564087753766
2080.039999966205868986,-4508.307121981863019755,-916.721289559788942825,-5234.227747992072181660
2117.468601903892704286,-4510.887958414976310451,-983.206887296614809202,-5207.764239722318052372
2140.600750052773491916,-4511.826302202392071194,-1023.999642139722936918,-5190.717768230651927297
2148.425458538379643869,-4512.029154889050914790,-1037.743700308564257284,-5184.832229546445887536
2156.250167023985795822,-4515.274345079365048150,-1052.188065308271916365,-5182.451981721619631571
2179.382315172866583453,-4524.547475496398874384,-1094.899015347304839452,-5175.008717826664906170
2216.810917110553418752,-4538.540483654322088114,-1164.009769497768729707,-5161.694554902021081944
2266.900163330010400387,-4555.320935286757958238,-1256.422608476706955116,-5141.467936327736424573
2327.460913416578023316,-4572.650921608289536380,-1367.873646662468900104,-5113.425068663644196931
2395.846371988751343451,-4588.344218460865704401,-1493.089729043225815985,-5077.178166008281550603
2469.067766357089567464,-4600.601321053090032365,-1626.061177827548362984,-5033.154068898672448995
2543.924970232462783315,-4608.271192272160078574,-1760.421272165105847307,-4982.753096000790719700
2617.146364600801007327,-4611.002986760425301327,-1889.887003832544451143,-4928.342367962177377194
2685.531823172974327463,-4609.267345679784739332,-2008.689444723160477224,-4873.090076978933211649
2746.092573259541495645,-4604.244065173163107829,-2111.916540035813795839,-4820.671243185115599772
2796.181819478999386774,-4597.591144933719988330,-2195.710222657476151653,-4774.889798655271988537
2833.610421416685767326,-4591.129180667853688647,-2257.299135921502966085,-4739.267993935661252181
2856.742569565566554957,-4586.492788608105001913,-2294.896149120519567077,-4716.654924281777311990
2864.567278051172706910,-4584.812748371623456478,-2307.529905203721682483,-4708.903103167535846296
2872.391986536778858863,-4586.207016144782755873,-2321.711672301834823884,-4704.317071480973936559
2895.524134685659646493,-4589.993209302197101351,-2363.549275577944627003,-4690.377372500178353221
2932.952736623346481792,-4595.064294454780792876,-2430.943265188813256827,-4666.632588098448650271
2983.041982842803463427,-4599.831896059406972199,-2520.481795693776348344,-4632.613642262954272155
3043.602732929371086357,-4602.550186627599941858,-2627.596004185639230855,-4588.170978460113474284
3111.988191501544406492,-4601.666847344325105951,-2746.810823827242984407,-4533.802998931309957698
3185.209585869882630504,-4596.134743429473019205,-2872.094568318961592013,-4470.890953996165080753
3260.066789745255846356,-4585.632198671115475008,-2997.283542186488830339,-4401.785489177495946933
3333.288184113594070368,-4570.659917337176921137,-3116.529274096801145788,-4329.728217337019486877
3401.673642685767390503,-4552.503333328654662182,-3224.697126626204862987,-4258.626152567245298997
3462.234392772334558686,-4533.067901379951763374,-3317.645252219045687525,-4192.720260774241069157
3512.323638991791995068,-4514.611155948817213357,-3392.335697608618829690,-4136.199621083363126672
3549.752240929478830367,-4499.409595765276208112,-3446.770902028727050492,-4092.811983946064628981
3572.884389078359617997,-4489.410182719324438949,-3479.797560901925407961,-4065.514403026133095409
3580.709097563965769950,-4485.923084841236232023,-3490.859673368475341704,-4056.198354078836473491
3588.533806049571921903,-4485.423907229784163064,-3504.247778688991729723,-4049.590929724278339563
3611.665954198452709534,-4483.610665324342335225,-3543.646558298770742113,-4029.714519788744837570
3649.094556136139544833,-4479.619247473518953484,-3606.805885282479721354,-3996.490158291994248430
3699.183802355596526468,-4472.264898690355039435,-3690.132339978132677061,-3950.036817322468323255
3759.744552442164149397,-4460.358271197728754487,-3788.928300937035601237,-3890.961260196138937317
3828.130011014337924280,-4443.036482545448961901,-3897.726080414369334903,-3820.624175797104271624
3901.351405382675693545,-4420.039560969732519879,-4010.700138309121484781,-3741.302769451683161606
3976.208609258049364144,-4391.881254219378206471,-4122.120082076209655497,-3656.202456966123463644
4049.430003626387133409,-4359.888174480327506899,-4226.787216427282146469,-3569.310640741358838568
4117.815462198560453544,-4326.105479176345397718,-4320.386571982010536885,-3485.120824177639406116
4178.376212285128531221,-4293.086785317265821504,-4399.692214965046332509,-3408.277164580340013345
4228.465458504585512856,-4263.599844901817959908,-4462.589288355792632501,-3343.195423252679120196
4265.894060442272348155,-4240.288583681944146520,-4507.918098301210193313,-3293.708889657141298812
4289.026208591152681038,-4225.337548265275472659,-4535.193219416295505653,-3262.773318179707075615
4296.850917076759287738,-4220.186370386543785571,-4544.288688589305820642,-3252.249799761896156269
4304.675625562365894439,-4217.824721737476465933,-4556.388916547178268956,-3243.881338549151678308
4327.807773711246227322,-4210.516602524032350630,-4591.896028375018431689,-3218.850571403308094887
4365.236375648933062621,-4197.672458180218200141,-4648.496519148361585394,-3177.451674008966165275
4415.325621868390044256,-4178.553859836999436084,-4722.553898940157523612,-3120.383338471757269872
4475.886371954957212438,-4152.569439108841834241,-4809.421184717180949519,-3048.980473859575340612
4544.271830527130987321,-4119.573404993268013641,-4903.844476439996469708,-2965.408353602420902462
4617.493224895469211333,-4080.096542067346490512,-5000.421304237942422333,-2872.747449299662093836
4692.350428770842881931,-4035.461712753743995563,-5094.064521101557147631,-2774.930772024004454579
4765.571823139181105944,-3987.764625369757141016,-5180.411899979041663755,-2676.536398513759195339
4833.957281711353971332,-3939.727324266420509957,-5256.119046234936831752,-2582.472525475605380052
4894.518031797922049009,-3894.451343898432696733,-5318.984449035016950802,-2497.611831542520121729
4944.607278017379030643,-3855.108349116050703742,-5367.882948560817567341,-2426.433269214913252654
4982.035879955065865943,-3824.609795095750996552,-5402.524608254816484987,-2372.715801075726631097
5005.168028103946198826,-3805.296269093891169177,-5423.100816499755637778,-2339.307384783488032554
5012.992736589552805526,-3798.683564639701216947,-5429.914397054701112211,-2327.972296014177118195
5020.817445075158502732,-3794.560919364467736159,-5440.288495118667924544,-2318.166752577510578703
5043.949593224038835615,-3782.070099020272209600,-5470.619705047461138747,-2288.949566716988101689
5081.378195161725670914,-3760.916303239336230035,-5518.619784653499664273,-2240.973739898826352146
5131.467441381182652549,-3730.831780890334357537,-5580.747457449785542849,-2175.486345226723187807
5192.028191467749820731,-3691.840489257987883320,-5652.581179472129406349,-2094.493917714688450360
5260.413650039923595614,-3644.513042305725321057,-5729.275740001263329759,-2000.878101351140003317
5333.635044408261819626,-3590.144093034942216036,-5806.048775296973872173,-1898.400508020401730391
5408.492248283635490225,-3530.808998661523673945,-5878.638088211047943332,-1791.569102084892392668
5481.713642651973714237,-3469.287891045138167101,-5943.669569050412974320,-1685.378198343051508346
5550.099101224146579625,-3408.873342121362384205,-5998.881167277119857317,-1584.966875004225585144
5610.659851310714657302,-3353.096537653073482943,-6043.164390269551404344,-1495.256924653169562589
5660.749097530171638937,-3305.414467181592954148,-6076.413026244978027535,-1420.628336452667554113
5698.177699467858474236,-3268.898995693674351060,-6099.206903000635975332,-1364.671132314346550629
5721.309847616738807119,-3245.961717057393798314,-6112.398952345125508145,-1330.025473544557371497
5729.134556102345413819,-3238.140000538871845492,-6116.704476484527731373,-1318.297549732575816961
5736.959264587952020520,-3232.422366231896376121,-6124.985930356401695462,-1307.427868649098627429
5760.091412736832353403,-3215.250507285617914022,-6149.071588354253435682,-1275.134276322098457968
5797.520014674519188702,-3186.632576650476948998,-6186.784574180397612508,-1222.400316590749071111
5847.609260893976170337,-3146.776969267767526617,-6234.810974999424615817,-1150.969084085839767795
5908.170010980543338519,-3096.316128062676853006,-6289.117671032528051001,-1063.437077691627337117
5976.555469552717113402,-3036.508935223324442632,-6345.443856955638693762,-963.288161119436381341
6049.776863921055337414,-2969.358623017734771565,-6399.797127981532867125,-854.819424265086695414
6124.634067796429008013,-2897.609413461719213956,-6448.887517923339146364,-742.942615942844099663
6197.855462164767232025,-2824.617646807923847518,-6490.441082816685593571,-632.882022443243499765
6266.240920736940097413,-2754.121494875137159397,-6523.348061419826080964,-529.819226503175286780
6326.801670823508175090,-2689.950625657291311654,-6547.620786884300287056,-438.547831241583367046
6376.890917042965156725,-2635.721293104252254125,-6564.164492718626206624,-363.193836861801514715
6414.319518980651992024,-2594.555535373091061047,-6574.398400232955282263,-307.033456164226663532
6437.451667129532324907,-2568.850535723030588997,-6579.799255047560109233,-272.408679780788020253
6445.276375615138931607,-2560.111294818382248195,-6581.464824352270625241,-260.713316873313033284
6453.101084100745538308,-2553.020812719516470679,-6587.370735581672306580,-249.185510370540555414
6476.233232249625871191,-2531.833850469758999679,-6604.390155552044234355,-215.020375210661313758
6513.661834187312706490,-2496.857775938133727323,-6630.537579347747850989,-159.491423582201747422
6563.751080406769688125,-2448.764127832104804838,-6662.847160399667700403,-84.767301135796742528
6624.311830493336856307,-2388.763918879084030777,-6697.819095421967176662,6.068111764468976155
6692.697289065510631190,-2318.750809724076589191,-6731.927150416542644962,109.063314720350902576
6765.918683433848855202,-2241.356133282983591926,-6762.105907815586760989,219.548354573343544871
6840.775887309222525801,-2159.886578794960314553,-6786.146197006508373306,332.390117714265670656
6913.997281677560749813,-2078.147928269613203156,-6802.944105484897590941,442.324994129163599155
6982.382740249733615201,-2000.185781705734598290,-6812.569482305610108597,544.314771712071546972
7042.943490336301692878,-1929.989418146497200723,-6816.143277810573636089,633.863032476810872140
7093.032736555758674513,-1871.205489995634479783,-6815.539816223975321918,707.240640296452625080
7130.461338493445509812,-1826.896680773723119273,-6812.959403613298491109,761.596594403440690257
7153.593486642325842695,-1799.362764067197076656,-6810.444750144703903061,794.965349142980699071
7161.418195127932449395,-1790.024763978212604343,-6809.434038298879386275,806.211410817043088173
7169.242903613538146601,-1781.829520728016632347,-6812.772869974934110360,817.974580135778523982
7192.375051762418479484,-1757.427284955760342200,-6822.176482561629200063,852.759772304227794848
7229.803653700105314783,-1717.409593925866829522,-6835.921603189860434213,909.054206513255735445
7279.892899919562296418,-1662.880913365223022993,-6851.495262245980484295,984.348685809896664978
7340.453650006129464600,-1595.579927863516559228,-6866.052721542715516989,1075.190541252250341131
7408.839108578303239483,-1517.959308552490483635,-6876.922117983805037511,1177.309610771323832523
7482.060502946641463495,-1433.176874808902084624,-6882.065371657190553378,1285.835804840397713633
7556.917706822015134094,-1344.977472776877675642,-6880.421562741819798248,1395.601123436958687307
7630.139101190353358106,-1257.476334047185900999,-6872.083769701624078152,1501.490627658947232703
7698.524559762526223494,-1174.880453949578850370,-6858.287014618585089920,1598.786459224205145802
7759.085309849094301171,-1101.197176274287130582,-6841.210771475809451658,1683.444701173757493962
7809.174556068551282806,-1039.976216119592436371,-6823.624149542157283577,1752.259651349796513387
7846.603158006238118105,-994.115514550317243447,-6808.425383401367980696,1802.900528898029278935
7869.735306155118450988,-965.739290969878652504,-6798.147885232753651508,1833.842557999047585326
7877.560014640725057689,-956.136760960830656586,-6794.518006265342592087,1844.245151663125170671
7885.384723126331664389,-947.139489868038822351,-6795.193273246333774296,1855.820061881979654572
7908.516871275211997272,-920.422165923719489911,-6796.712831207400995481,1889.974036766770723261
7945.945473212898832571,-876.835250541604523278,-6797.674955252281506546,1945.013377362739674936
7996.034719432355814206,-817.870647770357322770,-6796.105071689431497362,2018.183887488659138398
8056.595469518922982388,-745.725690361099282200,-6789.908445651142756105,2105.793464963286169223
8124.980928091096757271,-663.317790668843599633,-6777.353837394937727368,2203.410464116948332958
8198.202322459435890778,-574.213088448963958399,-6757.492092644758486131,2306.140786386242325534
8273.059526334807742387,-482.457508563742237584,-6730.436259661094481999,2408.965319392780202179
8346.280920703145966399,-392.327874182665937042,-6697.461359622517193202,2507.096791190412204742
8414.666379275320650777,-308.043871920559638511,-6660.913622673051577294,2596.300256330397132842
8475.227129361886909464,-233.491359287465343186,-6623.946235859884836827,2673.121479574553632119
8525.316375581345710088,-172.001204391533008220,-6590.120433075755499885,2734.985170734611529042
