Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-3314.583721450000211917,2809.024805009999909089,-5400.462219259999983478
7.824708485606210573,-3341.277690348476426152,2757.096497501077919878,-5410.768003130223405606
30.956856634486833002,-3418.757587342939586961,2602.417300292733671085,-5438.913359910608050996
68.385458572173575931,-3539.477141355632738851,2348.664365157464089862,-5477.069075763995897432
118.474704791630927048,-3691.739243973881457350,2003.009170833170173864,-5513.756747676735358255
179.035454878198265760,-3861.034398761324155203,1577.182603628879405733,-5536.004599578715897223
247.420913450371870113,-4031.859244190474782954,1088.139357515065512416,-5531.927193763912327995
320.642307818709866751,-4189.807498153515552985,557.855676128699087712,-5493.260128243284270866
395.499511694083309976,-4323.576798261191470374,12.063223692583392221,-5417.313772054054425098
468.720906062421306615,-4426.464305513482941024,-521.906015467100360183,-5307.887671480312747008
537.106364634594797280,-4496.991419781880722439,-1017.661098716036349288,-5174.918656004476360977
597.667114721162079150,-4538.498938060704858799,-1452.035927737772226465,-5032.951375895240744285
647.756360940619629218,-4557.816754382543877000,-1806.580600083477747830,-4898.801437038028780080
685.184962878306350831,-4563.336654905474460975,-2068.033454542910476448,-4788.925371966878628882
708.317111027186911087,-4562.929054154785262654,-2227.917050926229876495,-4716.986939087217251654
716.141819512793176727,-4562.130671428370987996,-2281.682079111044913589,-4691.965978213017478993
723.966527998399442367,-4560.998440837456655572,-2335.280138203977458033,-4666.600722265802687616
747.098676147280002624,-4555.699674849718576297,-2492.717484028254148143,-4589.618067496184266929
784.527278084966724236,-4540.956268253189591633,-2744.035791955142030929,-4458.844689127756282687
834.616524304424046932,-4509.332700478224069229,-3073.101606086680931185,-4272.160081151773738384
895.177274390991442488,-4453.043748945466177247,-3458.558957911499874172,-4029.339923402312706457
963.562732963164989997,-4366.015634097954716708,-3875.495653094112640247,-3733.898136837986839964
1036.784127331502986635,-4245.767685272809103481,-4297.819071826289473393,-3394.385802180036080244
1111.641331206876429860,-4094.675259692143754364,-4701.046985635954115423,-3024.727159214165567391
1184.862725575214426499,-3920.295417962728151906,-5064.963728565353449085,-2643.438968465811285569
1253.248184147387974008,-3734.667612858946995402,-5375.508543211552023422,-2271.906892834203972598
1313.808934233955369564,-3552.765710759648754902,-5625.415177806022256846,-1932.156085125776371569
1363.898180453412805946,-3390.473533699142535625,-5813.461974565640048240,-1644.646687215561087214
1401.326782391099641245,-3262.513207437284563639,-5942.584985081404738594,-1426.520192326291635254
1424.458930539979974128,-3180.673117817448201095,-6017.405704679207701702,-1290.484722536715480601
1432.283639025586353455,-3152.524779478557320544,-6041.842279014688756433,-1244.276706998773079249
1440.108347511192505408,-3124.144755993425405904,-6065.834826632790282019,-1197.976995704362252582
1463.240495660073293038,-3038.910282992430438753,-6134.150170681042254728,-1060.598109693002470522
1500.669097597759900964,-2896.887735577497096529,-6236.322599497061673901,-836.906205391105459057
1550.758343817217337346,-2699.244671438870227576,-6356.617371169551006460,-535.406568795404837147
1611.319093903784732902,-2449.481252277316343680,-6476.458640589177775837,-168.801695880194756683
1679.704552475958280411,-2154.537529642964727827,-6577.472073557958538004,245.982191389702904871
1752.925946844296277050,-1825.366712158294149049,-6644.665200486044341233,688.501094796492793648
1827.783150719669720274,-1476.707303064171810547,-6669.123852195215476968,1136.288206835367418535
1901.004545088007716913,-1126.033194689885249318,-6649.615703604177724628,1566.890784492946067985
1969.390003660181264422,-791.923562202893435824,-6592.707517185800497828,1959.968460499847196843
2029.950753746748432604,-492.267213758597165452,-6511.365762725387867249,2298.918465610244766140
2080.039999966205868986,-242.726991741318244067,-6422.385319437756152183,2571.647979284606208239
2117.468601903892704286,-55.741707014778512530,-6343.236784274713500054,2770.410362984101993788
2140.600750052773491916,59.888540591704881422,-6288.970602846798101382,2890.934437865183554095
2148.425458538379643869,98.996762479060720352,-6269.697057544545714336,2931.284865957622514543
2156.250167023985795822,138.097698239281982069,-6249.962064558751990262,2971.418957564195352461
2179.382315172866583453,253.621198443470888151,-6188.935278167272372229,3088.773518684185091843
2216.810917110553418752,440.164261364438857527,-6081.778848626759099716,3274.405244365418184316
2266.900163330010400387,688.592858559590581535,-5922.388764814746537013,3514.125542549485544441
2327.460913416578023316,986.115548763376750685,-5705.881365449094118958,3789.708522148886913783
2395.846371988751343451,1316.788847843839903362,-5431.229915029250150837,4080.708327795741297450
2469.067766357089567464,1662.598408481058413599,-5103.378746271175259608,4366.764733570796124695
2543.924970232462783315,2005.050676785568612104,-4734.252772763711618609,4630.053412707206007326
