Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-3314.583721450000211917,2809.024805009999909089,-5400.462219259999983478
7.824708485606210573,-3341.277690347169482266,2757.096497503594036971,-5410.768003129704084131
30.956856634486833002,-3418.757587046601202019,2602.417300863970012870,-5438.913359793189556513
68.385458572173575931,-3539.477137836732254073,2348.664372086365347059,-5477.069074434880349145
118.474704791630927048,-3691.739227010378272098,2003.009205402582210809,-5513.756741791052263579
179.035454878198265760,-3861.034348459392731456,1577.182710691820830107,-5536.004584157974932168
247.420913450371870113,-4031.859135754052658740,1088.139599558436202642,-5531.927165530651109293
320.642307818709866751,-4189.807312325187922397,557.856109933530660783,-5493.260088302121403103
395.499511694083309976,-4323.576529666323040146,12.063871804421182787,-5417.313723619819029409
468.720906062421306615,-4426.463962415125024563,-521.905178161175967944,-5307.887613579162461974
537.106364634594797280,-4496.991016630544436339,-1017.660132467380208254,-5174.918579741087341972
597.667114721162079150,-4538.498488070793428051,-1452.034898575245961183,-5032.951268295563750144
647.756360940619629218,-4557.816267404346035619,-1806.579554557113624469,-4898.801289698041728116
685.184962878306350831,-4563.336139655636543466,-2068.032412785176802572,-4788.925186954734272149
708.317111027186911087,-4562.928520707265306555,-2227.916015343870640208,-4716.986728156477511220
716.141819512793176727,-4562.130131669792717730,-2281.681045855275897338,-4691.965758213439585234
723.966527998399442367,-4560.997894685602659592,-2335.279107289530202252,-4666.600493087776158063
747.098676147280002624,-4555.699109305843194306,-2492.716459507835679688,-4589.617810805187218648
784.527278084966724236,-4540.955669799363931816,-2744.034772204800447071,-4458.844388505170172721
834.616524304424046932,-4509.332055464445147663,-3073.100573081012043986,-4272.159727411362837302
895.177274390991442488,-4453.043045286399319593,-3458.557869501729328476,-4029.339520200838705932
963.562732963164989997,-4366.014863195751786407,-3875.494449579543470463,-3733.897700139948483411
1036.784127331502986635,-4245.766841245281284500,-4297.817697521380978287,-3394.385349586021220603
1111.641331206876429860,-4094.674334689768784301,-4701.045411811216581555,-3024.726693749553760426
1184.862725575214426499,-3920.294397432460755226,-5064.961961296548906830,-2643.438469092292962159
1253.248184147387974008,-3734.666477114550616534,-5375.506612286192648753,-2271.906321420247422793
1313.808934233955369564,-3552.764444528869262285,-5625.413118278422189178,-1932.155406761527501658
1363.898180453412805946,-3390.472137478986041970,-5813.459815698788588634,-1644.645889474381419859
1401.326782391099641245,-3262.511702336813868897,-5942.582751340773029369,-1426.519290900826263169
1424.458930539979974128,-3180.671541616792183049,-6017.403422307094842836,-1290.483753306861672172
1432.283639025586353455,-3152.523178773314612044,-6041.839979533167934278,-1244.275714560256801633
1440.108347511192505408,-3124.143130608794308500,-6065.832509650377687649,-1197.975980014373135418
1463.240495660073293038,-3038.908583955808808241,-6134.147799345148087014,-1060.597025576857959095
1500.669097597759900964,-2896.885917354185039585,-6236.320129990977875423,-836.905015164644964898
1550.758343817217337346,-2699.242699140991135209,-6356.614746496698899136,-535.405254156801902354
1611.319093903784732902,-2449.479109256831179664,-6476.455788689665496349,-168.800268329288542191
1679.704552475958280411,-2154.535218380101468938,-6577.468914423203386832,245.983692635917748248
1752.925946844296277050,-1825.364244748848477684,-6644.661659477210378100,688.502620790838932407
1827.783150719669720274,-1476.704686483182513257,-6669.119871292877178348,1136.289722543714333369
1901.004545088007716913,-1126.030422393925391589,-6649.611246027719971607,1566.892281475172467253
1969.390003660181264422,-791.920619814451129059,-6592.702569193409544823,1959.969950586289996863
2029.950753746748432604,-492.264094676941908801,-6511.360338564492849400,2298.919963487765471655
2080.039999966205868986,-242.723710041180396502,-6422.379468839673791081,2571.649489631583492155
2117.468601903892704286,-55.738298447762872456,-6343.230595687478853506,2770.411880658433346980
2140.600750052773491916,59.892027420957418826,-6288.964197728643739538,2890.935956434916533908
2148.425458538379643869,99.000275411415117333,-6269.690577997956097533,2931.286383829637543386
2156.250167023985795822,138.101236999858542731,-6249.955510026785304944,2971.420474140888018155
2179.382315172866583453,253.624811437946135584,-6188.928498961987315852,3088.775027407186826167
2216.810917110553418752,440.167984509995903863,-6081.771698197881050874,3274.406724359316740447
2266.900163330010400387,688.596702074329186871,-5922.381107796942160348,3514.126945609899394185
2327.460913416578023316,986.119486897027172745,-5705.873089472152059898,3789.709765130420237256
2395.846371988751343451,1316.792821264070425968,-5431.220940189883549465,4080.709299883514631802
