Time (s), X (km), Y (km), Z (km)
0.000000000000000000,-3314.583721450000211917,2809.024805009999909089,-5400.462219259999983478
7.824708485606210573,-3322.417610133851212595,2797.016410258947871625,-5404.930165831792692188
30.956856634486833002,-3345.373623876661895338,2761.229723925358484848,-5417.755690321917427354
68.385458572173575931,-3381.865464863436045562,2702.449008546436289180,-5437.298148420314646501
118.474704791630927048,-3429.413554807053515106,2622.181281566998222843,-5461.118585807281306188
179.035454878198265760,-3484.875711308171958080,2522.865387885150539660,-5486.362651782310422277
247.420913450371870113,-3544.739740386588437104,2408.019838745728520735,-5510.193873321160936030
320.642307818709866751,-3605.448862553744220349,2282.252843647411282291,-5530.206588947810814716
395.499511694083309976,-3663.723408234280213946,2151.099475968357637612,-5544.756994829805989866
468.720906062421306615,-3716.836597195428566920,2020.700646476257361428,-5553.165909748817284708
537.106364634594797280,-3762.801922498082603852,1897.379705604170794686,-5555.764867678752125357
597.667114721162079150,-3800.438387998989128391,1787.193251399366772603,-5553.777366979628823174
647.756360940619629218,-3829.299346872997830360,1695.529028598688000784,-5549.049928398443626065
685.184962878306350831,-3849.479109587522543734,1626.799753603676663261,-5543.672549522560075275
708.317111027186911087,-3861.342743354923641164,1584.247673897432150625,-5539.552185098295012722
716.141819512793176727,-3865.248914228889134392,1569.843657988974882755,-5538.019707704850588925
723.966527998399442367,-3871.779597642034332239,1556.505288915751179957,-5540.257776594967253914
747.098676147280002624,-3890.833146964734623907,1516.872749814027201865,-5546.466939015925163403
784.527278084966724236,-3920.856895330645329523,1452.141342284642632876,-5555.232217589788888290
834.616524304424046932,-3959.463510576999397017,1364.436460515610633593,-5564.506490389415375830
895.177274390991442488,-4003.702286924537020241,1256.935100670680412804,-5572.005355369039534708
963.562732963164989997,-4050.386535056905358942,1133.912648082347914169,-5575.639008413539158937
1036.784127331502986635,-4096.435728895947249839,1000.653756429297231989,-5573.901894477884525259
1111.641331206876429860,-4139.189174049163739255,863.206388732776304096,-5566.156513946943050541
1184.862725575214426499,-4176.649195117755880347,728.005242829271082883,-5552.770390154698361584
1253.248184147387974008,-4207.617420368358580163,601.428419773702785278,-5535.089028042104473570
1313.808934233955369564,-4231.699842870737484191,489.367441984996446536,-5515.250138876614983019
1363.898180453412805946,-4249.176189248230002704,396.881407659795286236,-5495.865152528730504855
1401.326782391099641245,-4260.755365961572351807,327.975516656145714478,-5479.613315594966479694
1424.458930539979974128,-4267.266489204939716728,285.503756176901561048,-5468.810412109422941285
1432.283639025586353455,-4269.356019681093130202,271.159939957730330207,-5465.024619281088234857
1440.108347511192505408,-4274.336453619032909046,256.999289146498028913,-5464.949310865728875797
1463.240495660073293038,-4288.767352886420667346,215.029597352254739917,-5464.311538110803667223
1500.669097597759900964,-4311.190021557771615335,146.812094577468059242,-5461.977733220109257672
1550.758343817217337346,-4339.401967024947225582,55.009828809750189293,-5456.372991872135571612
1611.319093903784732902,-4370.758032712949898269,-56.583454990864822776,-5445.872054748912887590
1679.704552475958280411,-4402.519618664738118241,-183.099585132600736870,-5429.212568190727324691
1752.925946844296277050,-4432.200058671198348748,-318.780684037797982455,-5405.846064063218364026
1827.783150719669720274,-4457.857986502145649865,-457.298329161361891693,-5376.163522393628227292
1901.004545088007716913,-4478.298542296824052755,-592.170531897798923637,-5341.561510410929258796
