Time (s),Error (km)
0.100000,0.194510
0.100000,0.194510
0.100000,0.194510
0.100000,0.194510
0.100000,0.194510
0.100000,0.194510
0.100000,0.194510
0.100000,0.194510
0.100000,0.194510
0.100000,0.194510
0.100000,0.194510
0.100000,0.194510
0.100000,0.194510
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.200000,0.389021
0.300000,0.583531
0.300000,0.583531
0.300000,0.583531
0.300000,0.583531
0.300000,0.583531
0.300000,0.583531
0.300000,0.583531
0.300000,0.583531
0.300000,0.583531
0.300000,0.583531
0.400000,0.778041
0.400000,0.778041
0.400000,0.778041
0.400000,0.778041
0.400000,0.778041
0.400000,0.778041
0.400000,0.778041
0.400000,0.778041
0.500000,0.972552
0.500000,0.972552
0.500000,0.972552
0.500000,0.972552
0.500000,0.972552
0.500000,0.972552
0.500000,0.972552
0.600000,1.167062
0.600000,1.167062
0.600000,1.167062
0.600000,1.167062
0.600000,1.167062
0.700000,1.361572
0.700000,1.361572
0.700000,1.361572
0.700000,1.361572
0.800000,1.556083
0.800000,1.556083
0.800000,1.556083
0.800000,1.556083
0.900000,1.750593
0.900000,1.750593
0.900000,1.750593
0.900000,1.750593
1.000000,1.945104
1.000000,0.000084
1.000000,0.000084
1.100000,0.194585
1.100000,0.194585
1.100000,0.194585
1.200000,0.389096
1.200000,0.389096
1.200000,0.389096
1.300000,0.583607
1.300000,0.583607
1.400000,0.778117
1.400000,0.778117
1.500000,0.972628
1.500000,0.972628
1.600000,1.167139
1.600000,1.167139
1.700000,1.361650
1.700000,1.361650
1.800000,1.556161
1.800000,1.556161
1.900000,1.750671
1.900000,1.750671
2.000000,0.000169
2.100000,0.194661
2.100000,0.194661
2.200000,0.389172
2.300000,0.583683
2.300000,0.583683
2.400000,0.778194
2.500000,0.972705
2.600000,1.167216
2.700000,1.361727
2.700000,1.361727
2.800000,1.556239
2.900000,1.750750
3.000000,0.000252
3.100000,0.194736
3.200000,0.389247
3.300000,0.583758
3.400000,0.778270
3.500000,0.972781
3.600000,1.167293
3.800000,1.556316
3.900000,1.750828
4.000000,0.000337
4.100000,0.194811
4.300000,0.583834
4.400000,0.778346
4.500000,0.972858
4.700000,1.361882
4.800000,1.556394
5.000000,1.945418
5.200000,0.389398
5.300000,0.583911
5.500000,0.972935
5.700000,1.361960
5.800000,1.556472
6.000000,0.000505
6.200000,0.389474
6.400000,0.778499
6.600000,1.167524
6.800000,1.556550
7.100000,0.195037
7.300000,0.584062
7.500000,0.973088
7.800000,1.556627
8.000000,0.000673
8.300000,0.584138
8.500000,0.973165
8.800000,1.556705
9.100000,0.195187
9.400000,0.778728
9.700000,1.362269
10.000000,0.000841
10.300000,0.584290
10.700000,1.362347
11.000000,1.945889
11.300000,0.584365
11.700000,1.362423
12.100000,0.195412
12.500000,0.973471
12.900000,1.751531
13.300000,0.584518
13.700000,1.362579
14.100000,0.195563
14.600000,1.168140
15.100000,0.195638
15.600000,1.168217
16.100000,0.195714
16.600000,1.168295
17.100000,0.195788
17.600000,1.168371
18.200000,0.390380
18.800000,1.557483
19.400000,0.779491
20.000000,0.001680
20.700000,1.363120
21.300000,0.585125
22.000000,0.001848
22.700000,1.363275
23.400000,0.779796
24.200000,0.390834
25.000000,1.946989
25.800000,1.558028
26.600000,1.169065
27.400000,0.780101
28.300000,0.585656
29.200000,0.391211
30.200000,0.391287
31.100000,0.196843
32.100000,0.196918
33.200000,0.391514
34.200000,0.391590
35.300000,0.586188
36.400000,0.780788
37.600000,1.169913
38.800000,1.559040
40.100000,0.197521
41.300000,0.586644
42.700000,1.364825
44.000000,0.003692
45.500000,0.976002
46.900000,1.754191
48.400000,0.781704
50.000000,1.948956
51.600000,1.170994
53.200000,0.393027
54.900000,1.754818
56.700000,1.365911
58.500000,0.977000
60.400000,0.782621
62.300000,0.588240
64.300000,0.588393
66.400000,0.783080
68.500000,0.977769
70.700000,1.366998
72.900000,1.756231
75.300000,0.589229
77.700000,1.367542
80.200000,0.395072
82.800000,1.562473
85.400000,0.784533
88.100000,0.201146
91.000000,1.952192
93.900000,1.757881
96.900000,1.758116
100.000000,0.008364
103.200000,0.396815
106.500000,0.980692
109.900000,1.759139
113.400000,0.786676
117.100000,0.203342
120.800000,1.565446
124.700000,1.371199
128.700000,1.371511
132.800000,1.566386
137.100000,0.204859
141.500000,0.983389
146.000000,0.012180
150.700000,1.373226
155.500000,0.984468
160.500000,0.984853
165.600000,1.179818
171.000000,1.958536
176.400000,0.791507
182.100000,0.208279
187.900000,1.765297
193.900000,1.765773
200.200000,0.404185
206.600000,1.183004
213.200000,0.405175
220.000000,0.018281
227.100000,0.211706
234.300000,0.601363
241.900000,1.769581
