Time (s),Error (km)
0.0,0.0
160.3336440032764,0.014515577958908394
639.6893358595473,0.056476807494944894
1433.1482374984744,1777.8662795859664
2532.568386867794,4312.98574199307
3926.6682454818097,7656.933390566719
5601.142462272616,11883.92696800475
7538.8086658502825,17096.515460411432
9719.783778884792,23431.42973461128
12121.688045385534,31058.85149341876
14719.874677282425,40135.711913012325
17487.682763823923,50467.991547893376
20396.710848599367,59606.38720214248
23417.108366914985,61394.62750283129
26517.881952981978,57264.0802742433
29667.21347379022,51631.62834120347
32832.78652620977,45893.00827888029
35982.11804701802,40354.034769386424
39082.89163308501,35047.34371302469
42103.28915140063,29938.445910415754
45012.31723617607,24986.76355259372
47780.125322717584,20167.298740011647
50378.31195461445,15478.925628373601
52780.216221115195,10946.877213018412
54961.19133414971,6621.990731850911
56898.85753772739,2577.64490956016
58573.33175451819,1095.3346445570187
59967.431613132205,4295.571110775529
61066.85176250152,6919.974652892247
61860.31066414045,8873.502007549574
62339.66635599672,10079.200797395295
62500.0,10136.468005194243
62500.0,10136.468005194243
62660.33364400328,10194.742169078572
63139.68933585955,11436.829791744976
63933.14823749848,13540.16923945424
65032.568386867795,16557.424599017373
66426.66824548181,20567.902996131677
68101.14246227262,25681.960743838852
70038.80866585029,32040.620217549527
72219.7837788848,39783.27441558365
74621.68804538553,48833.98538553187
77219.87467728242,57743.914573192684
79987.68276382392,61564.14332658853
82896.71084859937,58964.09974071427
85917.10836691498,53943.75625235505
89017.88195298197,48423.673601618815
92167.21347379022,42921.68490501364
95332.78652620976,37545.06201639223
98482.11804701801,32280.26711455052
101582.891633085,27081.871821063436
104603.28915140063,21905.942852644715
107512.31723617608,16725.018491049505
110280.12532271759,11535.510984193616
112878.31195461444,6361.25854694882
115280.2162211152,1254.7188510668295
117461.19133414971,3703.8686872254616
119398.8575377274,8408.615889333149
121073.33175451819,12733.27265760348
122467.43161313221,16538.610926657315
123566.85176250152,19683.297533333025
124360.31066414044,22037.17567337667
124839.66635599671,23495.14256989462
125000.0,23655.553189173657
125000.0,23655.553189173657
125160.33364400327,23818.54889159594
125639.68933585954,25329.84646839213
126433.14823749848,27896.644791087856
127532.56838686779,31591.554499939175
128926.66824548181,36510.809100914215
130601.14246227262,42735.69194062576
132538.8086658503,50137.60045991997
134719.7837788848,57528.824837508095
137121.68804538553,61301.97205562845
139719.87467728244,59760.11608818994
142487.68276382392,55559.65806329828
145396.71084859938,50534.91773981402
148417.108366915,45319.941860136016
151517.881952982,40097.99079157695
154667.2134737902,34893.22676667879
157832.78652620976,29671.679841987032
160982.118047018,24382.332854153767
164082.891633085,18977.33068765542
167103.28915140062,13423.478831679464
170012.31723617608,7709.37898010472
172780.1253227176,1850.136966770199
175378.31195461444,4109.649742876452
177780.2162211152,10092.860724782231
179961.1913341497,15989.103769601255
181898.8575377274,21654.15498539402
183573.3317545182,26913.359412765578
184967.4316131322,31571.107033009925
186066.85176250152,35429.12238774996
186860.31066414044,38311.95451842851
187339.6663559967,40090.384158288834
187500.0,40398.77762772438
187500.0,40398.77762772438
187660.3336440033,40711.02896627159
188139.68933585956,42541.20189856918
188933.14823749848,45603.798387279596
190032.5683868678,49839.15441544415
191426.66824548182,54871.35379860742
193101.1424622726,59388.52505763609
195038.8086658503,61153.745532203946
197219.7837788848,59620.709977829174
199621.68804538553,56140.17548438301
202219.87467728244,51801.31662022398
204987.68276382392,47111.815705102366
207896.71084859938,42272.65983882837
210917.108366915,37341.83696590027
214017.881952982,32308.4994079645
217167.2134737902,27129.34301090251
220332.78652620976,21749.298008146907
223482.118047018,16114.86245494839
226582.891633085,10183.367049254692
229603.28915140062,3929.7649342316
232512.31723617608,2648.2335392642703
235280.1253227176,9524.256026600222
237878.31195461444,16638.359002618712
240280.2162211152,23887.165290555145
242461.1913341497,31110.45675084705
244398.8575377274,38071.89759540056
246073.3317545182,44442.2586834908
247467.4316131322,49819.69100521782
248566.85176250152,53851.596688440004
249360.31066414044,56439.01400470369
249839.6663559967,57789.80372604088
250000.0,58007.6511758994
250000.0,58007.6511758994
250160.3336440033,58208.22831965372
250639.68933585956,59232.27461406642
251433.14823749848,60392.11821272844
252532.5683868678,60939.14928643417
253926.66824548182,60283.852604344764
255601.1424622726,58357.56483065323
257538.8086658503,55448.66005237559
259719.7837788848,51887.29446276905
262121.68804538553,47913.60676043547
264719.8746772824,43668.93203324169
267487.68276382395,39217.96799744087
270396.7108485994,34571.119039606994
273417.10836691497,29702.305205570858
276517.881952982,24563.035191376144
279667.2134737902,19093.750382744853
282832.7865262098,13232.981964373974
285982.118047018,6924.657877024189
289082.89163308503,126.91012038423919
292103.2891514006,7197.566009334511
295012.31723617605,15044.57513927917
297780.1253227176,23386.81174557953
300378.3119546145,32128.78941000245
302780.2162211152,41031.407125023616
304961.1913341497,49509.926781659764
306898.8575377274,56316.07849960879
308573.3317545182,60033.02507672986
309967.4316131322,60937.72242296213
311066.8517625015,60518.51388009175
311860.31066414044,59806.569197359626
312339.66635599674,59262.4067921163
312500.0,59037.51315537535
312500.0,59037.51315537535
312660.33364400326,58813.168651932894
313139.68933585956,58198.842301508994
313933.1482374985,57093.38954987949
315032.5683868678,55442.751564812286
316426.6682454818,53245.568085629035
318101.1424622726,50550.28908867054
320038.80866585026,47428.894897320446
322219.7837788848,43949.77240006903
324621.6880453855,40160.3405415125
327219.8746772824,36079.75808164887
329987.68276382395,31698.64695183214
332896.7108485994,26982.898821053757
335917.10836691497,21879.481991489603
339017.881952982,16322.833222062969
342167.2134737902,10240.884215480604
345332.7865262098,3560.234624612191
348482.118047018,3790.3185601329496
351582.89163308503,11873.398397754041
354603.2891514006,20737.06070075228
357512.31723617605,30383.8772228651
360280.1253227176,40659.686761270525
362878.3119546145,50811.5268559808
365280.2162211152,58379.80687519612
367461.1913341497,60716.149418836285
369398.8575377274,59607.297671934764
371073.3317545182,57519.988328949374
372467.4316131322,55449.098300655714
373566.8517625015,53722.63331816218
374360.31066414044,52453.09553641384
374839.66635599674,51681.50482792774
375000.0,51520.758103346154
375000.0,51520.758103346154
375160.33364400326,51365.42694677417
375639.68933585956,50612.433636398135
376433.1482374985,49365.401803906
377532.5683868678,47640.67449403165
378926.6682454818,45464.09416602431
380601.1424622726,42866.5277699278
382538.80866585026,39875.96558507483
384719.7837788848,36509.31514673086
387121.6880453855,32766.326817287707
389719.8746772824,28626.627750896143
392487.68276382395,24049.674888482143
395396.7108485994,18976.810229614395
398417.10836691497,13334.381978425863
401517.881952982,7036.942504890916
404667.2134737902,43.78927024901105
407832.7865262098,7910.409920679272
410982.118047018,16769.61045670516
414082.89163308503,26684.34612760694
417103.2891514006,37652.555462919
420012.31723617605,49110.229113388355
422780.1253227176,58130.35546375119
