Time (s),Error (km)
0.0,0.0
160.3336440032764,0.014515601491330615
639.6893358595473,0.05648268748825077
1433.1482374984744,0.12207704685413527
2532.568386867794,0.20822471168942827
3926.6682454818097,0.3179469732552416
5601.142462272616,0.4663280299083676
7538.8086658502825,0.6808363953008749
9719.783778884792,0.9893646912487859
12121.688045385534,1.4082798481818797
14719.874677282425,2.19778253331233
17487.682763823923,4.98480393102639
20396.710848599367,55.25527414982835
23417.108366914985,353.82136772896064
26517.881952981978,948.4107267335669
29667.21347379022,2098.0599889451832
32832.78652620977,3681.2380865700375
35982.11804701802,5586.205197359725
39082.89163308501,7750.347616016104
42103.28915140063,10135.15197961645
45012.31723617607,12713.116646913057
47780.125322717584,15460.603511058349
50378.31195461445,18352.400800905354
52780.216221115195,21355.976861962696
54961.19133414971,24424.38807399404
56898.85753772739,27487.75760349306
58573.33175451819,30445.12034973439
59967.431613132205,33161.733041447595
61066.85176250152,35479.81490069241
61860.31066414045,37246.52964279391
62339.66635599672,38347.16755334144
62500.0,38719.95155783346
62500.0,38719.95155783346
62660.33364400328,39094.682009949785
63139.68933585955,40223.652895216925
63933.14823749848,42096.809850777565
65032.568386867795,44578.168203639965
66426.66824548181,47123.952094718
68101.14246227262,48663.14494545167
70038.80866585029,48657.01277990658
72219.7837788848,47883.923749707166
74621.68804538553,47261.61230268276
77219.87467728242,46186.500975334195
79987.68276382392,42243.48724176184
82896.71084859937,36948.15666450781
85917.10836691498,33094.577064943536
89017.88195298197,31293.07242292547
92167.21347379022,31541.57326303921
95332.78652620976,33673.56620325948
98482.11804701801,37442.20651015391
101582.891633085,42601.78308465146
104603.28915140063,48910.41741246645
107512.31723617608,55879.80090093043
110280.12532271759,61757.528219336076
112878.31195461444,62987.62953848093
115280.2162211152,59814.84117429109
117461.19133414971,55639.63158440631
119398.8575377274,52017.3586009735
121073.33175451819,49279.20644731785
122467.43161313221,47382.08108210805
123566.85176250152,46170.353685397284
124360.31066414044,45465.732143152236
124839.66635599671,45112.74921500104
125000.0,45007.25187136777
125000.0,45007.25187136777
125160.33364400327,44908.14585187255
125639.68933585954,44650.48013695691
126433.14823749848,44354.030188309436
127532.56838686779,44219.224363706504
128926.66824548181,44519.84944520392
130601.14246227262,45564.57649433647
132538.8086658503,47537.945333980904
134719.7837788848,49890.72878469358
137121.68804538553,50571.50150485902
139719.87467728244,49407.356995553084
142487.68276382392,49055.930624689165
145396.71084859938,50887.54652273069
148417.108366915,54560.808930170766
151517.881952982,57295.29179971737
154667.2134737902,54100.31856067336
157832.78652620976,46180.45839519508
160982.118047018,37907.87356106737
164082.891633085,30554.483771804225
167103.28915140062,24467.916930039704
170012.31723617608,20054.938532639113
172780.1253227176,17932.137043140763
175378.31195461444,18456.78912593981
177780.2162211152,21138.6731344049
179961.1913341497,25024.830180088047
181898.8575377274,29235.610220039503
183573.3317545182,32969.17230901122
184967.4316131322,35583.46154072293
186066.85176250152,36968.626572834546
186860.31066414044,37516.904716413366
187339.6663559967,37672.541071563086
187500.0,37697.731976011026
187500.0,37697.731976011026
187660.3336440033,37710.399309580076
188139.68933585956,37679.62990945242
188933.14823749848,37437.89477617987
190032.5683868678,36809.37092119609
191426.66824548182,35632.51515771329
193101.1424622726,33633.153291810464
195038.8086658503,30838.97632221082
197219.7837788848,28486.48188198978
199621.68804538553,27944.262365954884
202219.87467728244,29805.2342102595
204987.68276382392,34051.79822982493
207896.71084859938,40364.92853653878
210917.108366915,48298.362727437445
214017.881952982,56914.81342296231
217167.2134737902,62962.48008228919
220332.78652620976,61000.796669600524
223482.118047018,52431.469355153495
226582.891633085,42171.32871702285
229603.28915140062,32382.81193610053
232512.31723617608,24318.502882113324
235280.1253227176,19736.89385462416
237878.31195461444,20321.594082975098
240280.2162211152,24733.181950789087
242461.1913341497,29683.130608060874
244398.8575377274,32689.375184510856
246073.3317545182,33355.03384712011
247467.4316131322,32728.275480758282
248566.85176250152,31739.061498261075
249360.31066414044,30848.69131349058
249839.6663559967,30262.718200386327
250000.0,30061.44209100334
250000.0,30061.44209100334
250160.3336440033,29858.4856883485
250639.68933585956,29248.59129550944
251433.14823749848,28277.421738994835
252532.5683868678,27196.3085631085
253926.66824548182,26631.264525777235
255601.1424622726,27457.9003640194
257538.8086658503,30373.870205406874
259719.7837788848,35581.75308314158
262121.68804538553,42769.6902791316
264719.8746772824,50961.72387903165
267487.68276382395,57459.45733582589
270396.7108485994,57327.45105964267
273417.10836691497,49554.799364296035
276517.881952982,38987.990692277395
279667.2134737902,31568.182225509234
282832.7865262098,34071.53777358999
285982.118047018,45622.90971998483
289082.89163308503,55525.90086797745
292103.2891514006,54046.42125152561
295012.31723617605,41449.2816191059
297780.1253227176,25619.165025839862
300378.3119546145,24996.808098754846
302780.2162211152,26410.072980484812
304961.1913341497,23660.561688010468
306898.8575377274,78035.57976291848
308573.3317545182,128436.71175678389
309967.4316131322,170799.20391450048
311066.8517625015,203545.98500141423
311860.31066414044,226665.19614025217
312339.66635599674,240419.66430957027
312500.0,244985.52380017107
312500.0,244985.52380017107
312660.33364400326,249534.4108931688
313139.68933585956,263036.01519297715
313933.1482374985,285078.55966112873
315032.5683868678,315051.2598490254
316426.6682454818,352235.84092916513
318101.1424622726,395884.5667899949
320038.80866585026,445262.8225753922
322219.7837788848,499661.4315057518
324621.6880453855,558394.1422802705
327219.8746772824,620791.6023528695
329987.68276382395,686196.8777514801
332896.7108485994,753963.984262581
335917.10836691497,823459.5805783467
339017.881952982,894067.7981396334
342167.2134737902,965198.5417113511
345332.7865262098,1036300.3983112358
348482.118047018,1106880.8764621513
351582.89163308503,1176540.068028919
354603.2891514006,1245031.5338264834
357512.31723617605,1312382.1336169664
360280.1253227176,1379134.631688267
362878.3119546145,1446687.961152932
365280.2162211152,1516170.7141722972
367461.1913341497,1582993.9435269474
369398.8575377274,1640758.4540273787
371073.3317545182,1688453.8172592951
372467.4316131322,1726775.2326659479
