Time (s),Error (km)
0.0,0.0
160.3336440032764,0.25744428042133055
639.6893358595473,5.471031915853417
1433.1482374984744,49.7919648482666
2532.568386867794,578.0967579121663
3926.6682454818097,3136.0991290020697
5601.142462272616,31420.791489370615
7538.8086658502825,21096.91615187421
9719.783778884792,91739.53326444012
12121.688045385534,100630.84273312273
14719.874677282425,139615.25611261366
17487.682763823923,176048.17712798636
20396.710848599367,213009.13533587995
23417.108366914985,255536.72005368123
26517.881952981978,294820.18765380245
29667.21347379022,336667.7528321029
32832.78652620977,380476.0082922994
35982.11804701802,418066.02819985326
39082.89163308501,464610.3131252619
42103.28915140063,498269.0718561889
45012.31723617607,542221.8922432818
47780.125322717584,575713.1919790464
50378.31195461445,608194.2445616766
52780.216221115195,648230.3502611052
54961.19133414971,664147.0044541563
56898.85753772739,697818.5765503888
58573.33175451819,725401.3344973511
59967.431613132205,735471.4400915629
61066.85176250152,744515.7304888313
61860.31066414045,756219.2190666338
62339.66635599672,765282.6485415031
62500.0,768518.6359524941
62500.0,768518.6359524941
62660.33364400328,771806.4357468336
63139.68933585955,781618.9686549718
63933.14823749848,796035.5804962358
65032.568386867795,808849.1767399119
66426.66824548181,817725.3413519572
68101.14246227262,839561.942499244
70038.80866585029,876686.4539286181
72219.7837788848,895557.3097013414
74621.68804538553,928758.3334472453
77219.87467728242,968697.7292426386
79987.68276382392,995312.0514855356
82896.71084859937,1045242.4676039887
85917.10836691498,1072988.4141876656
89017.88195298197,1125463.4234976748
92167.21347379022,1156373.2689166914
95332.78652620976,1207074.9945738562
98482.11804701801,1241291.946035975
101582.891633085,1287910.3303460528
104603.28915140063,1322535.7625979648
107512.31723617608,1366639.6626691557
110280.12532271759,1395048.8833876988
112878.31195461444,1440575.4952277257
115280.2162211152,1458651.6139679258
117461.19133414971,1497618.9208790201
119398.8575377274,1524170.9714487654
121073.33175451819,1535510.3520949478
122467.43161313221,1556274.7966849515
123566.85176250152,1578499.0874603954
124360.31066414044,1592178.851844588
124839.66635599671,1598270.6928604296
125000.0,1599922.9908470253
125000.0,1599922.9908470253
125160.33364400327,1601398.5541765052
125639.68933585954,1604950.5629694248
126433.14823749848,1609638.8474836193
127532.56838686779,1619746.9578150676
128926.66824548181,1644289.3041974867
130601.14246227262,1674443.055151231
132538.8086658503,1689467.31429277
134719.7837788848,1718854.1344182643
137121.68804538553,1759215.0861625038
139719.87467728244,1780198.219508407
142487.68276382392,1830817.4796883257
145396.71084859938,1855071.5776172108
148417.108366915,1908712.15830222
151517.881952982,1935485.0251661206
154667.2134737902,1991162.5180236022
157832.78652620976,2018589.171779127
160982.118047018,2073953.3110285425
164082.891633085,2101276.169202733
167103.28915140062,2154259.5485389032
170012.31723617608,2179053.6174866306
172780.1253227176,2229490.2700474835
175378.31195461444,2249943.137297722
177780.2162211152,2291745.3949714634
179961.1913341497,2319212.4437707774
181898.8575377274,2335198.8133212775
183573.3317545182,2366372.681570261
184967.4316131322,2389739.4370486042
186066.85176250152,2398977.8181653274
186860.31066414044,2403728.5437474335
187339.6663559967,2407614.4588396526
187500.0,2409238.600410373
187500.0,2409238.600410373
187660.3336440033,2411052.207442295
188139.68933585956,2417659.980998275
188933.14823749848,2432025.6576943602
190032.5683868678,2454132.8499013954
191426.66824548182,2473497.23627894
193101.1424622726,2484591.4654150694
