Time (s),Error (km)
0.0,0.0
160.3336440032764,0.2550023469304079
639.6893358595473,3.818815070450438
1433.1482374984744,16.78579627061018
2532.568386867794,52.25789533258646
3926.6682454818097,114.62911276164083
5601.142462272616,140.14579746196435
7538.8086658502825,141.47557814307893
9719.783778884792,218.83961992789384
12121.688045385534,245.92375239088307
14719.874677282425,189.04757321871497
17487.682763823923,680.8157387987909
20396.710848599367,2190.579053570008
23417.108366914985,5193.562831932037
26517.881952981978,5515.863594266174
29667.21347379022,16801.480877105754
32832.78652620977,13429.193817397465
35982.11804701802,15338.925041729504
39082.89163308501,16612.03207023226
42103.28915140063,38517.996600802886
45012.31723617607,79893.75206495536
47780.125322717584,99837.08053305345
50378.31195461445,130520.62999894035
52780.216221115195,158057.20970482094
54961.19133414971,169104.63031356226
56898.85753772739,199792.8069325857
58573.33175451819,217851.56611278772
59967.431613132205,222419.04519117836
61066.85176250152,230685.37415395735
61860.31066414045,242119.38346622014
62339.66635599672,250357.6988616211
62500.0,253155.2627792742
62500.0,253155.2627792742
62660.33364400328,255919.14384515284
63139.68933585955,263682.7059470234
63933.14823749848,273574.1159160713
65032.568386867795,280085.9800575227
66426.66824548181,285094.53898926504
68101.14246227262,306095.5990273542
70038.80866585029,334643.3603955683
72219.7837788848,344045.21772104903
74621.68804538553,374876.75433550164
77219.87467728242,400959.87397136225
79987.68276382392,423599.4713319072
82896.71084859937,459922.8112405782
85917.10836691498,482041.524417648
89017.88195298197,520286.5774398593
92167.21347379022,545739.9491652545
95332.78652620976,581112.3165624232
98482.11804701801,610641.794229687
101582.891633085,641595.4402272097
104603.28915140063,672178.623715784
107512.31723617608,701237.3849106824
110280.12532271759,725992.4959582612
112878.31195461444,758944.5905810262
115280.2162211152,770823.8124916381
117461.19133414971,805052.0638897646
119398.8575377274,820491.1174796238
121073.33175451819,828229.1094010067
122467.43161313221,847944.6101022585
123566.85176250152,866001.4843996357
124360.31066414044,874975.3095423472
124839.66635599671,878146.4191090884
125000.0,878883.7525773712
125000.0,878883.7525773712
125160.33364400327,879494.232093704
125639.68933585954,880843.7599686056
126433.14823749848,883390.2491177816
127532.56838686779,892838.6049209903
128926.66824548181,915225.0501804284
130601.14246227262,936380.1443033593
132538.8086658503,943569.2654772627
134719.7837788848,970969.8139771025
137121.68804538553,998722.221959562
139719.87467728244,1014160.0411711172
142487.68276382392,1054690.6876611856
145396.71084859938,1069565.7787282474
148417.108366915,1113629.4225170696
151517.881952982,1130391.9490116576
154667.2134737902,1175119.7753716663
157832.78652620976,1193836.9510977925
160982.118047018,1236589.3659703291
164082.891633085,1256817.3073588023
167103.28915140062,1296763.1083161507
170012.31723617608,1315071.2553590636
