Time (s),Error (km)
0.0,0.0
160.3336440032764,0.10789702468368802
639.6893358595473,1.5401768329074004
1433.1482374984744,36.47439868682575
2532.568386867794,512.838668198677
3926.6682454818097,2857.4830488101325
5601.142462272616,28231.593004121423
7538.8086658502825,22000.73295026364
9719.783778884792,87208.49163413742
12121.688045385534,94473.62050685182
14719.874677282425,131757.90215686214
17487.682763823923,166404.93415130873
20396.710848599367,200311.04043412916
23417.108366914985,241733.40726366366
26517.881952981978,276952.08567819325
29667.21347379022,318479.57610502734
32832.78652620977,357277.86951427377
35982.11804701802,395364.1170068255
39082.89163308501,436205.611296064
42103.28915140063,471176.7558949919
45012.31723617607,508710.45325092995
47780.125322717584,544678.0884141867
50378.31195461445,570380.2338152209
52780.216221115195,611947.5027441771
54961.19133414971,626427.5144734955
56898.85753772739,654134.2147522776
58573.33175451819,683915.7137630347
59967.431613132205,695761.7622399433
61066.85176250152,702060.3912494055
61860.31066414045,710396.4480075015
62339.66635599672,717703.0159340395
62500.0,720484.9216386586
62500.0,720484.9216386586
62660.33364400328,723403.4487163151
63139.68933585955,732673.8762520605
63933.14823749848,747974.641282694
65032.568386867795,763770.5711637671
66426.66824548181,773087.7265351148
68101.14246227262,788035.4749131651
70038.80866585029,823782.1591056603
72219.7837788848,847051.1378495564
74621.68804538553,870495.2687675492
77219.87467728242,914788.4355023783
79987.68276382392,935007.0415821831
82896.71084859937,985396.6887512124
85917.10836691498,1008539.5459667996
89017.88195298197,1061250.6993291357
92167.21347379022,1085884.2608040883
95332.78652620976,1139398.703888227
98482.11804701801,1164341.052981413
101582.891633085,1216502.0763929882
104603.28915140063,1240214.4620944343
107512.31723617608,1290200.2146130605
110280.12532271759,1310218.616525956
112878.31195461444,1355589.458715331
115280.2162211152,1376912.3846800555
117461.19133414971,1402485.069078946
119398.8575377274,1437400.6309879199
121073.33175451819,1450741.9864597316
122467.43161313221,1461071.618305964
123566.85176250152,1478199.6544043082
124360.31066414044,1493725.0851189932
124839.66635599671,1502690.5916883422
