Time (s),Error (km)
0.0,0.0
160.3336440032764,0.11549946488449657
639.6893358595473,1.8845437460470662
1433.1482374984744,8.635539172473479
2532.568386867794,17.963932055468852
3926.6682454818097,23.179173318541373
5601.142462272616,17.55041598358021
7538.8086658502825,18.211997210204583
9719.783778884792,28.210242904174322
12121.688045385534,13.101628122796296
14719.874677282425,36.25569103087875
17487.682763823923,718.952173144014
20396.710848599367,2467.7834401904643
23417.108366914985,3403.508664196591
26517.881952981978,12508.51455393445
29667.21347379022,9141.68551941999
32832.78652620977,28166.421702786472
35982.11804701802,90885.63055766064
39082.89163308501,139037.7166100601
42103.28915140063,198527.0986261943
45012.31723617607,242110.14338779415
47780.125322717584,300441.7192148229
50378.31195461445,333259.7774372875
52780.216221115195,388875.1375642146
54961.19133414971,419024.20785381354
56898.85753772739,448824.2829166826
58573.33175451819,489095.5582676881
59967.431613132205,513829.12470997666
61066.85176250152,525752.7018502533
61860.31066414045,535066.7027536392
62339.66635599672,542544.3515191597
62500.0,545436.7828691079
62500.0,545436.7828691079
62660.33364400328,548526.2928901924
63139.68933585955,558834.4862451277
63933.14823749848,578146.7956935472
65032.568386867795,603586.329707001
66426.66824548181,624742.3526257391
68101.14246227262,643774.3148454212
70038.80866585029,685107.0940143054
72219.7837788848,727777.9038727654
74621.68804538553,757432.499218675
77219.87467728242,816794.6603200355
79987.68276382392,852642.0431007589
82896.71084859937,914461.2984082266
85917.10836691498,957064.424673909
89017.88195298197,1021654.9644184806
92167.21347379022,1065512.1486872588
95332.78652620976,1133015.6023952293
98482.11804701801,1175052.7187567912
101582.891633085,1242738.6660864828
104603.28915140063,1281930.2315358608
107512.31723617608,1345910.9137043327
110280.12532271759,1382732.7918532528
112878.31195461444,1435752.6164668938
115280.2162211152,1477525.1239873846
117461.19133414971,1506650.3805224465
119398.8575377274,1552391.3729693522
121073.33175451819,1580668.0223985286
122467.43161313221,1595587.5110842825
123566.85176250152,1613391.5250183647
124360.31066414044,1631371.10001715
124839.66635599671,1643258.8042754647
125000.0,1647224.4430822965
125000.0,1647224.4430822965
125160.33364400327,1651131.2332723716
125639.68933585954,1662175.0836960964
126433.14823749848,1677189.7853127897
127532.56838686779,1691001.7561184093
128926.66824548181,1706976.1235128096
130601.14246227262,1741529.3753611478
132538.8086658503,1783829.4726888926
134719.7837788848,1809246.9123079586
137121.68804538553,1858670.5430358183
139719.87467728244,1903783.6981770154
142487.68276382392,1947224.3191897715
145396.71084859938,2005695.6071149774
148417.108366915,2049839.9534561362
151517.881952982,2112401.7024273803
154667.2134737902,2160066.345317834
157832.78652620976,2221192.221885021
160982.118047018,2271984.089164414
164082.891633085,2329181.892991039
167103.28915140062,2379178.224795086
170012.31723617608,2433862.5400479934
172780.1253227176,2475579.509369804
175378.31195461444,2531534.1188455294
177780.2162211152,2560037.2701100074
179961.1913341497,2608740.014084776
181898.8575377274,2643325.979069982
183573.3317545182,2661914.3796599344
184967.4316131322,2688572.298575895
186066.85176250152,2715525.52773777
186860.31066414044,2732755.807162075
187339.6663559967,2741030.794943018
187500.0,2743415.1876428653
187500.0,2743415.1876428653
187660.3336440033,2745621.905390634
188139.68933585956,2751341.0906580947
188933.14823749848,2759480.0862336745
190032.5683868678,2773962.8299295767
191426.66824548182,2803941.0949389036
193101.1424622726,2841921.0602338305
195038.8086658503,2865971.9851901536
197219.7837788848,2903107.944159467
199621.68804538553,2955273.626538057
202219.87467728244,2986815.8278267444
204987.68276382392,3049111.176045538
207896.71084859938,3086791.5294684237
210917.108366915,3152196.2456032364
214017.881952982,3193575.0749946544
217167.2134737902,3261860.4888687828
220332.78652620976,3303309.143418646
223482.118047018,3372518.7016221955
226582.891633085,3412311.9340011636
229603.28915140062,3479445.62132178
232512.31723617608,3516005.0142026725
235280.1253227176,3577790.885393224
237878.31195461444,3612535.0715915714
240280.2162211152,3658522.3913469617
242461.1913341497,3702537.1207333547
244398.8575377274,3724301.7718540137
246073.3317545182,3757570.456602031
247467.4316131322,3790699.621610769
248566.85176250152,3809068.476122473
249360.31066414044,3817860.3667638786
249839.6663559967,3822757.771602432
250000.0,3824513.555365893
250000.0,3824513.555365893
250160.3336440033,3826377.3724659816
250639.68933585956,3832829.247853369
251433.14823749848,3847156.4880430815
252532.5683868678,3873128.773357608
253926.66824548182,3904231.823761688
255601.1424622726,3925686.225192394
257538.8086658503,3953863.8015794414
259719.7837788848,4004928.311585313
262121.68804538553,4036496.974616977
264719.8746772824,4086110.732833039
267487.68276382395,4135349.1570522445
270396.7108485994,4182264.2784667294
273417.10836691497,4239998.420061629
276517.881952982,4289424.722634336
279667.2134737902,4347961.748206922
282832.7865262098,4401392.377876292
285982.118047018,4456533.941889886
289082.89163308503,4511775.583065193
292103.2891514006,4563153.1019803565
295012.31723617605,4614172.904729347
297780.1253227176,4665266.105135924
300378.3119546145,4703114.376287321
302780.2162211152,4757354.304705251
304961.1913341497,4783148.027668806
306898.8575377274,4819699.536628914
308573.3317545182,4858445.131970525
309967.4316131322,4877955.324418639
311066.8517625015,4889658.54313414
311860.31066414044,4901581.262094508
312339.66635599674,4911042.552864664
312500.0,4914559.421211701
312500.0,4914559.421211701
312660.33364400326,4918224.150082555
313139.68933585956,4929810.143771411
313933.1482374985,4949259.021358833
315032.5683868678,4971215.939041677
316426.6682454818,4988001.690518698
318101.1424622726,5010734.311096855
320038.80866585026,5056009.1369199185
322219.7837788848,5091310.471192727
324621.6880453855,5126014.384326157
327219.8746772824,5184008.2311718315
329987.68276382395,5218132.0616751965
332896.7108485994,5283179.006255536
335917.10836691497,5321837.5087216385
339017.881952982,5390118.569415248
342167.2134737902,5430811.525735087
345332.7865262098,5500459.223078135
348482.118047018,5541202.37453326
351582.89163308503,5609397.260945271
354603.2891514006,5648148.863671594
357512.31723617605,5713133.665642033
360280.1253227176,5747229.368513887
362878.3119546145,5805401.712321629
365280.2162211152,5839767.001968667
367461.1913341497,5875448.436470053
369398.8575377274,5920586.557993887
371073.3317545182,5943066.069756672
372467.4316131322,5960018.319896869
373566.8517625015,5982197.584404217
374360.31066414044,6001688.318689651
374839.66635599674,6013220.642477018
375000.0,6016857.27150762
375000.0,6016857.27150762
375160.33364400326,6020342.693187744
375639.68933585956,6029700.363395099
376433.1482374985,6041468.240459075
377532.5683868678,6053118.065924977
378926.6682454818,6072865.165196673
380601.1424622726,6111781.866716951
382538.80866585026,6147969.526330869
