Time (s),Error (km)
0.0,0.0
160.3336440032764,0.008785046159616741
639.6893358595473,1474.1548943149132
1433.1482374984744,3913.1028989836855
2532.568386867794,7286.726497136661
3926.6682454818097,11547.132673992703
5601.142462272616,16624.049592814623
7538.8086658502825,22420.464932291918
9719.783778884792,28809.47847834926
12121.688045385534,35633.34253195242
14719.874677282425,42705.50590677971
17487.682763823923,49816.15886770536
20396.710848599367,56741.317536060305
23417.108366914985,63254.943789374185
26517.881952981978,69143.05960817583
29667.21347379022,74218.38879903767
32832.78652620977,78333.84128246875
35982.11804701802,81393.20744398051
39082.89163308501,83357.7585288863
42103.28915140063,84247.99859431322
45012.31723617607,84140.47950596263
47780.125322717584,83160.24455528981
50378.31195461445,81469.98804413347
52780.216221115195,79257.32288115514
54961.19133414971,76721.60308891904
56898.85753772739,74061.57396333101
58573.33175451819,71464.78236178083
59967.431613132205,69099.25861067657
61066.85176250152,67107.56647057911
61860.31066414045,65602.979132677
62339.66635599672,64667.32197487694
62500.0,64667.48278922833
62500.0,64667.48278922833
62660.33364400328,64667.64416232956
63139.68933585955,63712.2370103169
63933.14823749848,62088.16060243853
65032.568386867795,59752.24050178062
66426.66824548181,56652.64087725351
68101.14246227262,52736.883783218145
70038.80866585029,47961.23776834771
72219.7837788848,42300.68758308021
74621.68804538553,35758.49101011797
77219.87467728242,28374.19024957665
79987.68276382392,20228.930148446492
82896.71084859937,11447.08943553365
85917.10836691498,2193.5722693758357
89017.88195298197,7333.387193261927
92167.21347379022,16913.446010824624
95332.78652620976,26318.344085460343
98482.11804701801,35327.51903114509
101582.891633085,43743.349230849984
104603.28915140063,51404.25223691465
107512.31723617608,58194.17908641253
110280.12532271759,64047.577348542865
112878.31195461444,68949.53965895434
115280.2162211152,72931.48382094172
117461.19133414971,76063.2147198759
119398.8575377274,78442.52676014003
121073.33175451819,80183.59851423196
122467.43161313221,81405.33590978832
123566.85176250152,82220.5959612109
124360.31066414044,82726.94200260771
124839.66635599671,82999.31036976464
125000.0,82999.28360251841
125000.0,82999.28360251841
125160.33364400327,82999.25646884616
125639.68933585954,83246.26927725087
126433.14823749848,83599.21540254957
127532.56838686779,83972.55848052273
128926.66824548181,84251.89989180096
130601.14246227262,84299.7141628641
132538.8086658503,83963.07351650577
134719.7837788848,83083.31862217633
137121.68804538553,81507.35885340533
139719.87467728244,79099.95226252652
142487.68276382392,75755.98678614547
145396.71084859938,71411.53782353348
148417.108366915,66052.38880811521
151517.881952982,59718.82407510327
154667.2134737902,52505.85071811947
157832.78652620976,44558.54211875146
160982.118047018,36062.837126298924
164082.891633085,27232.760529757514
167103.28915140062,18295.53153840526
170012.31723617608,9476.299594601824
172780.1253227176,984.2412255231841
175378.31195461444,6998.530838276154
177780.2162211152,14324.251424986212
179961.1913341497,20882.6203887697
181898.8575377274,26599.901525154848
183573.3317545182,31434.681742491728
184967.4316131322,35371.25207126568
186066.85176250152,38411.719477619816
186860.31066414044,40567.93968717085
187339.6663559967,41854.23045973452
187500.0,41854.275886845906
187500.0,41854.275886845906
187660.3336440033,41854.3199084309
188139.68933585956,43127.8080040983
188933.14823749848,45206.59191224286
190032.5683868678,48023.99162464214
191426.66824548182,51484.88074237553
193101.1424622726,55465.004657991005
195038.8086658503,59811.4929526924
197219.7837788848,64345.310878883174
199621.68804538553,68866.24720055152
202219.87467728244,73160.73965908182
204987.68276382392,77012.42066310531
207896.71084859938,80214.78202404034
210917.108366915,82584.89320746799
214017.881952982,83976.75948551168
217167.2134737902,84292.76144534227
220332.78652620976,83491.72849580279
223482.118047018,81592.56741758848
226582.891633085,78672.93665622297
229603.28915140062,74863.12528734321
232512.31723617608,70335.93655861673
235280.1253227176,65293.870575661895
237878.31195461444,59955.164354536406
240280.2162211152,54540.247341243754
242461.1913341497,49259.929171538875
244398.8575377274,44306.22136632745
246073.3317545182,39846.19813843654
247467.4316131322,36018.81759748082
248566.85176250152,32934.22967022993
249360.31066414044,30674.838031063544
249839.6663559967,29297.27595376706
250000.0,29297.378489419363
250000.0,29297.378489419363
250160.3336440033,29297.480603150176
250639.68933585956,27910.94067296205
251433.14823749848,25597.280748098838
252532.5683868678,22356.3841799209
253926.66824548182,18195.70233717727
255601.1424622726,13136.864009941228
257538.8086658503,7222.758508557906
259719.7837788848,524.1043393222551
262121.68804538553,6855.600950720599
264719.8746772824,14777.72056292828
267487.68276382395,23069.682025017508
270396.7108485994,31530.09376983994
273417.10836691497,39937.830964961344
276517.881952982,48064.45466316061
279667.2134737902,55688.806362559604
282832.7865262098,62612.19761086663
285982.118047018,68672.42906929807
289082.89163308503,73754.97260264383
292103.2891514006,77800.0242254026
295012.31723617605,80804.71451878392
297780.1253227176,82820.43192561551
300378.3119546145,83945.84417231643
302780.2162211152,84316.68240663048
304961.1913341497,84093.61191753374
306898.8575377274,83449.53606658151
308573.3317545182,82557.49943893806
309967.4316131322,81580.04011952541
311066.8517625015,80660.47188576797
311860.31066414044,79916.23253619974
312339.66635599674,79434.17287290102
312500.0,79434.26590237184
312500.0,79434.26590237184
312660.33364400326,79434.35966187467
313139.68933585956,78928.0533229297
313933.1482374985,78037.09612961653
315032.5683868678,76694.84437348932
316426.6682454818,74815.98585902216
318101.1424622726,72304.31951083518
320038.80866585026,69062.31854941597
322219.7837788848,65001.948451208955
324621.6880453855,60055.95543165642
327219.8746772824,54188.60230088329
329987.68276382395,47404.670698704125
332896.7108485994,39755.5357896796
335917.10836691497,31341.297025670243
339017.881952982,22308.32703045573
342167.2134737902,12842.14497782691
345332.7865262098,3156.1512772194114
348482.118047018,6522.641969463356
351582.89163308503,15969.265807476979
354603.2891514006,24976.061179506843
357512.31723617605,33365.76680127335
360280.1253227176,41001.06625771733
362878.3119546145,47789.72811161136
365280.2162211152,53685.12020049502
367461.1913341497,58682.47251184559
369398.8575377274,62811.726842406766
371073.3317545182,66128.08673040783
372467.4316131322,68701.4600050161
373566.8517625015,70605.90125077582
374360.31066414044,71909.96949779135
374839.66635599674,72668.68037586939
375000.0,72668.64941962439
375000.0,72668.64941962439
375160.33364400326,72668.61707310997
375639.68933585956,73405.10670787736
376433.1482374985,74574.766493976
377532.5683868678,76092.01941142532
378926.6682454818,77839.72670429529
380601.1424622726,79672.59983687515
382538.80866585026,81422.44233716962
384719.7837788848,82905.52904942089
387121.6880453855,83932.18514205904
389719.8746772824,84318.27704140551
392487.68276382395,83897.92588368758
395396.7108485994,82536.37794068143
398417.10836691497,80141.70257003355
401517.881952982,76673.91374503874
404667.2134737902,72150.27250837219
407832.7865262098,66645.92395690159
410982.118047018,60289.599923257105
414082.89163308503,53254.778980472845
417103.2891514006,45747.316503801456
420012.31723617605,37991.02146560561
422780.1253227176,30212.878037241488
425378.3119546145,22629.55571323073
427780.2162211152,15436.546424166403
429961.1913341497,8800.784601231866
431898.8575377274,2857.0481029864536
433573.3317545182,2292.1058824746306
434967.4316131322,6573.481165720457
436066.8517625015,9938.498741154091
436860.31066414044,12357.465156419581
437339.66635599674,13813.969588173526
437500.0,13814.001407157888
437500.0,13814.001407157888
437660.33364400326,13814.032832357652
438139.68933585956,15266.325562476566
438933.1482374985,17659.79300984148
440032.5683868678,20951.342041525553
441426.6682454818,25076.035082244038
443101.1424622726,29943.646765973826
445038.80866585026,35435.77924753349
447219.7837788848,41404.469941966025
449621.6880453855,47673.17114145566
452219.8746772824,54040.77195988398
454987.68276382395,60288.970702482475
457896.7108485994,66192.82361542177
460917.10836691497,71533.76227154712
464017.881952982,76113.88148159313
467167.2134737902,79769.95532374147
470332.7865262098,82385.5256948882
473482.118047018,83899.56830538186
476582.89163308503,84310.6600615265
479603.2891514006,83676.17632086147
482512.31723617605,82106.72207441067
485280.1253227176,79756.6194974549
487878.3119546145,76811.7243570094
490280.2162211152,73476.05608973722
492461.1913341497,69958.68560841489
494398.8575377274,66462.06744087147
496073.3317545182,63172.60241423053
497467.4316131322,60253.76395820188
498566.8517625015,57841.7007597971
499360.31066414044,56042.906005463075
499839.66635599674,54933.3554890521
500000.0,54933.515971057284
500000.0,54933.515971057284
500160.33364400326,54933.67632543311
500639.68933585956,53807.33280771627
501433.1482374985,51906.96243354787
502532.5683868678,49202.291080907715
503926.6682454818,45659.472903901245
505601.1424622726,41248.88545339259
507538.80866585026,35954.04140612995
509719.7837788848,29780.73870642721
512121.6880453855,22765.396586870214
514719.8746772824,14981.43914416392
517487.68276382395,6542.641733597851
520396.7108485994,2397.4270845785113
523417.10836691497,11650.266625216143
526517.8819529819,21001.644775113244
529667.2134737902,30224.23937220147
532832.7865262098,39092.62187455847
535982.1180470181,47398.82830126364
539082.891633085,54966.727916241616
542103.2891514007,61663.51842584753
545012.3172361761,67407.09129020953
547780.1253227176,72168.60698036052
550378.3119546145,75970.27973363732
552780.2162211152,78878.9694226801
554961.1913341497,80996.61482152165
556898.8575377273,82448.76394234461
558573.3317545182,83372.46108163612
559967.4316131322,83904.57849535777
561066.8517625015,84171.40192011329
561860.3106641405,84279.96929345968
562339.6663559967,84311.38663343941
562500.0,84311.38760030628
562500.0,84311.38760030628
562660.3336440033,84311.38873744008
563139.6893358595,84317.06279970621
563933.1482374985,84269.86492225251
565032.5683868678,84087.94529033233
566426.6682454818,83663.09652135397
568101.1424622727,82867.33396373506
570038.8086658503,81561.45528461924
572219.7837788848,79605.37464725165
574621.6880453855,76869.7515686382
577219.8746772824,73248.12342631028
579987.6827638239,68668.46911218532
582896.7108485993,63102.954689926206
585917.108366915,56574.60764733698
589017.8819529819,49159.87526229553
592167.2134737902,40986.44314256667
595332.7865262098,32226.27138884513
598482.1180470181,23084.45377740064
601582.891633085,13785.100529112487
604603.2891514007,4555.871733132408
607512.3172361761,4387.063097659772
610280.1253227176,12851.87247034014
612878.3119546145,20680.605521035926
615280.2162211152,27754.420704566313
617461.1913341497,33994.543979830065
619398.8575377273,39359.27430936522
621073.3317545182,43837.88659582377
622467.4316131322,47442.50549058236
623566.8517625015,50199.092421133086
624360.3106641405,52138.61166648947
624839.6663559967,53289.27105860377
625000.0,53289.28167752832
625000.0,53289.28167752832
625160.3336440033,53289.29065318663
625639.6893358595,54423.6440213251
626433.1482374985,56264.547102814955
627532.5683868678,58737.06020511624
628926.6682454818,61735.91098824273
630601.1424622727,65126.14808970054
632538.8086658503,68745.23607390517
634719.7837788848,72407.21387118175
637121.6880453855,75909.35393720724
639719.8746772824,79041.43605798236
642487.6827638239,81597.32412646593
645396.7108485993,83388.07224756623
648417.108366915,84255.37598024243
651517.8819529819,84083.9182161124
654667.2134737902,82811.11248651428
657832.7865262098,80432.95541963185
660982.1180470181,77005.14732482814
664082.891633085,72639.25412650537
667103.2891514007,67494.35382323789
670012.3172361761,61765.21049606977
672780.1253227176,55668.43791466047
675378.3119546145,49428.282776538275
