Time (s),Error (km)
0.0,0.0
160.3336440032764,0.14272512858650002
639.6893358595473,3.490497458270575
1433.1482374984744,98331.59659974351
2532.568386867794,412634.2552382664
3926.6682454818097,725834.7600401005
5601.142462272616,1124980.1669087762
7538.8086658502825,1604482.61428457
9719.783778884792,2124194.971446335
12121.688045385534,2702400.5934085813
14719.874677282425,3335874.1294223224
17487.682763823923,3994751.0278615966
20396.710848599367,4705928.585928822
23417.108366914985,5426586.545446535
26517.881952981978,6180302.482556015
29667.21347379022,6938347.461748773
32832.78652620977,7699645.477838927
35982.11804701802,8466092.119020402
39082.89163308501,9204559.631391976
42103.28915140063,9944896.042548425
45012.31723617607,10634447.547139732
47780.125322717584,11314391.236924097
50378.31195461445,11930846.430055667
52780.216221115195,12516388.119105147
54961.19133414971,13044754.481033858
56898.85753772739,13501773.398105677
58573.33175451819,13914586.950554943
59967.431613132205,14255828.218626453
61066.85176250152,14515306.075262913
61860.31066414045,14701175.836739669
62339.66635599672,14814877.434449693
62500.0,14853291.734406943
62500.0,14853291.734406943
62660.33364400328,14891917.439309416
63139.68933585955,15008645.099704498
63933.14823749848,15204995.322999962
65032.568386867795,15477268.364435805
66426.66824548181,15811193.544196974
68101.14246227262,16204957.758292034
70038.80866585029,16680961.116585229
72219.7837788848,17208583.130865358
74621.68804538553,17779090.37094472
77219.87467728242,18418434.318305474
79987.68276382392,19072788.80582667
82896.71084859937,19788258.24490155
85917.10836691498,20503856.588178672
89017.88195298197,21263979.26170984
92167.21347379022,22014279.882846523
95332.78652620976,22784116.052619148
98482.11804701801,23542073.046004687
101582.891633085,24288298.61218783
104603.28915140063,25021825.613402378
107512.31723617608,25717592.182441644
110280.12532271759,26391136.612799287
112878.31195461444,27014979.14289689
115280.2162211152,27592155.27648378
117461.19133414971,28127681.55124418
119398.8575377274,28583224.758304544
121073.33175451819,28990333.051354133
122467.43161313221,29335518.73469452
123566.85176250152,29599318.18637845
124360.31066414044,29785284.944593657
124839.66635599671,29897575.89645176
125000.0,29935336.328738235
125000.0,29935336.328738235
125160.33364400327,29973248.20849251
125639.68933585954,30087707.49714143
126433.14823749848,30281188.82382807
127532.56838686779,30554161.89918298
128926.66824548181,30894101.019226957
130601.14246227262,31287553.321068194
132538.8086658503,31756710.42555778
134719.7837788848,32291696.17792528
137121.68804538553,32858099.397346422
139719.87467728244,33498347.161839124
142487.68276382392,34153550.16230579
145396.71084859938,34867893.53544421
148417.108366915,35583691.4161145
151517.881952982,36345431.8527252
154667.2134737902,37091828.03767873
157832.78652620976,37867763.81489212
160982.118047018,38618027.479937255
164082.891633085,39372750.82245898
167103.28915140062,40097604.8113785
170012.31723617608,40801996.03020472
172780.1253227176,41466894.42766203
175378.31195461444,42099301.96307437
177780.2162211152,42669090.44615377
179961.1913341497,43208045.61953103
181898.8575377274,43666885.75567806
183573.3317545182,44067086.565385364
184967.4316131322,44412700.25544998
186066.85176250152,44681374.23107738
186860.31066414044,44869617.75409803
187339.6663559967,44981845.85512885
187500.0,45019324.099048086
187500.0,45019324.099048086
187660.3336440033,45056834.095242195
188139.68933585956,45169516.41120563
188933.14823749848,45359332.79572733
190032.5683868678,45629941.41214453
191426.66824548182,45974441.5887842
193101.1424622726,46371783.89522655
195038.8086658503,46833481.29587356
197219.7837788848,47372311.10676908
199621.68804538553,47939855.47879122
202219.87467728244,48575700.57853025
204987.68276382392,49236753.995947234
207896.71084859938,49945039.71693174
210917.108366915,50666181.01850474
214017.881952982,51424138.757555544
217167.2134737902,52172005.6056841
220332.78652620976,52949176.94315583
223482.118047018,53695614.44867366
226582.891633085,54456171.58958412
229603.28915140062,55173965.22166545
232512.31723617608,55885930.367731504
235280.1253227176,56543403.5980993
237878.31195461444,57182127.318566196
240280.2162211152,57748451.670838006
242461.1913341497,58285770.52237727
244398.8575377274,58751316.434658214
246073.3317545182,59146178.38249397
247467.4316131322,59488556.68718563
248566.85176250152,59760717.282101154
249360.31066414044,59952483.56366414
249839.6663559967,60066010.113723256
250000.0,60103687.125579976
250000.0,60103687.125579976
250160.3336440033,60141264.455005065
250639.68933585956,60253364.35163525
251433.14823749848,60440193.24446825
252532.5683868678,60706336.10532125
253926.66824548182,61052150.07186283
255601.1424622726,61455987.52322159
257538.8086658503,61912595.91077728
259719.7837788848,62450253.585990705
262121.68804538553,63023671.08387981
264719.8746772824,63651611.83575317
267487.68276382395,64321139.18897408
270396.7108485994,65020895.23679893
273417.10836691497,65750345.826842465
276517.881952982,66500686.33035456
279667.2134737902,67254754.34465763
282832.7865262098,68027862.94940957
285982.118047018,68775821.04348122
289082.89163308503,69537252.32430384
292103.2891514006,70252391.46882875
295012.31723617605,70967875.20607717
297780.1253227176,71622087.51821999
300378.3119546145,72262391.7394714
302780.2162211152,72830506.37934604
304961.1913341497,73361830.18336229
306898.8575377274,73834785.56828013
308573.3317545182,74227983.85255888
309967.4316131322,74564784.42782067
311066.8517625015,74837685.29153636
311860.31066414044,75032803.65973051
312339.66635599674,75148454.1498782
312500.0,75186725.9639514
312500.0,75186725.9639514
312660.33364400326,75224807.67111532
313139.68933585956,75337737.48980363
313933.1482374985,75523434.88311973
315032.5683868678,75784813.9827215
316426.6682454818,76128207.41915943
318101.1424622726,76538533.52024013
320038.80866585026,76994419.05723153
322219.7837788848,77526413.50095996
324621.6880453855,78108044.85127543
327219.8746772824,78727755.88444723
329987.68276382395,79404988.97707506
332896.7108485994,80097155.46323432
335917.10836691497,80834550.71214637
339017.881952982,81576506.35422534
342167.2134737902,82338988.59066741
345332.7865262098,83104421.99185562
348482.118047018,83858569.92072688
351582.89163308503,84615642.1778747
354603.2891514006,85333522.1166178
357512.31723617605,86047131.72558026
360280.1253227176,86703479.94339316
362878.3119546145,87340072.36356468
365280.2162211152,87914440.64657985
367461.1913341497,88437842.17878184
369398.8575377274,88915972.94359353
371073.3317545182,89311787.05218706
372467.4316131322,89642913.59008348
373566.8517625015,89913548.83867922
374360.31066414044,90110534.21976231
374839.66635599674,90228278.3658736
375000.0,90267297.98938937
375000.0,90267297.98938937
375160.33364400326,90306113.50737503
375639.68933585956,90420934.78141205
376433.1482374985,90607777.97751477
377532.5683868678,90865989.94111046
378926.6682454818,91204231.72690512
380601.1424622726,91618481.39364564
382538.80866585026,92078226.92085335
384719.7837788848,92602370.21773218
387121.6880453855,93191275.7582481
389719.8746772824,93805695.60081425
392487.68276382395,94486827.44920856
395396.7108485994,95175334.86099301
398417.10836691497,95917170.25818636
401517.881952982,96653298.82008588
404667.2134737902,97423049.48017772
407832.7865262098,98180281.99292715
410982.118047018,98942771.77589606
414082.89163308503,99692062.86158969
417103.2891514006,100416904.43849105
420012.31723617605,101124082.41301623
422780.1253227176,101787023.90628178
425378.3119546145,102416167.20257083
427780.2162211152,102998707.90977441
429961.1913341497,103515420.83578527
431898.8575377274,103994494.06829232
433573.3317545182,104396091.04755712
434967.4316131322,104723693.07048944
436066.8517625015,104989993.43973592
436860.31066414044,105186654.66550782
437339.66635599674,105305642.82436849
437500.0,105345265.89039765
437500.0,105345265.89039765
