Time (s),Error (km)
0.0,0.0
160.3336440032764,0.12585477389082414
639.6893358595473,2.559566610211998
1433.1482374984744,50.573995336750485
2532.568386867794,350.56892819447313
3926.6682454818097,1621.9068986731486
5601.142462272616,3017.9910539509015
7538.8086658502825,25466.168015008057
9719.783778884792,63640.113126294345
12121.688045385534,130137.39911265766
14719.874677282425,175632.49625536145
17487.682763823923,247457.4091591736
20396.710848599367,301684.97951233055
23417.108366914985,379511.7882507613
26517.881952981978,435672.074333382
29667.21347379022,518828.61524001975
32832.78652620977,575325.9773869466
35982.11804701802,657180.672562598
39082.89163308501,715674.1120341282
42103.28915140063,790373.6156764738
45012.31723617607,847959.3089534602
47780.125322717584,916232.6724058504
50378.31195461445,964394.6078956912
52780.216221115195,1029676.4165542347
54961.19133414971,1065273.242480262
56898.85753772739,1113679.5198521356
58573.33175451819,1157616.289767705
59967.431613132205,1180395.7232614066
61066.85176250152,1199166.5090733694
61860.31066414045,1218189.5698923508
62339.66635599672,1231722.455518721
62500.0,1236439.023031817
62500.0,1236439.023031817
62660.33364400328,1241192.5455111295
63139.68933585955,1255255.694578411
63933.14823749848,1276134.7973940326
65032.568386867795,1297216.0514895294
66426.66824548181,1318666.336829255
68101.14246227262,1359218.7992396676
70038.80866585029,1410984.909381514
72219.7837788848,1446442.0404048695
74621.68804538553,1509036.821920544
77219.87467728242,1561274.2110489768
79987.68276382392,1624968.9392043988
82896.71084859937,1687136.2875999883
85917.10836691498,1757402.3488949772
89017.88195298197,1819683.449868491
92167.21347379022,1898610.6552121514
95332.78652620976,1956562.2291877298
98482.11804701801,2039591.4903091926
101582.891633085,2094427.4055435376
104603.28915140063,2174297.7074750033
107512.31723617608,2225901.019058006
110280.12532271759,2299865.7603989947
112878.31195461444,2343792.824877849
115280.2162211152,2409928.998622994
117461.19133414971,2449629.405196549
119398.8575377274,2490428.6557583204
121073.33175451819,2538093.8641518597
122467.43161313221,2565597.6992633473
123566.85176250152,2582122.6587411836
124360.31066414044,2597446.803530923
124839.66635599671,2609131.7433554614
125000.0,2613418.820157615
125000.0,2613418.820157615
125160.33364400327,2617862.3040499077
125639.68933585954,2631785.615106345
126433.14823749848,2654860.8456849507
127532.56838686779,2680867.0941684074
128926.66824548181,2702945.038408116
130601.14246227262,2736516.8191018538
132538.8086658503,2791358.694560735
134719.7837788848,2830506.485186893
137121.68804538553,2885515.646897758
139719.87467728244,2946385.5399094615
142487.68276382392,3001401.8626876967
145396.71084859938,3072186.198026439
148417.108366915,3133733.177877891
151517.881952982,3204588.233074667
154667.2134737902,3275650.288440272
157832.78652620976,3339915.3035940994
160982.118047018,3418754.279042842
164082.891633085,3475497.1606846643
167103.28915140062,3555255.050491077
170012.31723617608,3606023.9409466335
172780.1253227176,3680527.935621549
175378.31195461444,3725648.478542475
177780.2162211152,3787419.105735428
179961.1913341497,3834600.802785971
181898.8575377274,3868660.5314124925
